id,time,lat,lon,mag,along_strike_distance
usp0004fsu,1990-10-15 06:30:20.390000,15.311,-46.35,5.4,5369.16559722
usp0005e1u,1992-09-16 00:17:53.220000,14.884,-45.036,5.451,5220.64463736
usp0005eyk,1992-10-05 01:51:47.910000,15.357,-46.011,5.3,5335.10592406
usp0006umd,1995-03-23 17:51:04.830000,15.546,-46.725,5.451,5414.52061472
usp000718t,1995-07-31 07:03:54.780000,15.467,-46.623,5.3,5401.78309559
usp00088h6,1997-10-04 15:29:46.280000,15.922,-46.646,5.5,5416.53798266
usp000aggm,2001-06-12 14:22:15.920000,14.537,-45.031,5.4,5210.75655002
usp000cfte,2003-12-22 19:35:12.120000,15.188,-45.144,5.451,5240.25064552
usp000e5yg,2005-12-11 04:42:31.080000,15.302,-45.862,5.6,5318.10040143
usp000e5yp,2005-12-11 06:26:35.030000,15.272,-45.835,5.7,5314.47289621
usp000f74q,2007-03-21 23:07:46.190000,15.185,-45.617,5.4,5289.40300478
usp000gsq9,2009-01-16 22:13:59.640000,14.487,-45.058,5.4,5212.24897691
usp000guvk,2009-03-11 23:50:33.500000,15.585,-46.733,5.0,5416.40157536
usp000gvch,2009-03-24 12:34:54.360000,14.473,-45.065,5.2,5212.60946097
usb000g6n2,2013-04-14 09:51:08.100000,15.436,-46.639,5.451,5402.61859783
usb000ji6r,2013-09-05 04:01:36.360000,15.1836,-45.232,6.0,5249.28517702
usb000jmx1,2013-09-10 00:35:15.910000,15.467,-46.663,5.2,5405.94777582
usb000pwdc,2014-04-23 18:21:09.490000,14.8536,-45.0172,5.451,5217.85499714
usb000spvk,2014-10-22 21:56:55.990000,14.9514,-44.9415,5.613,5212.63897117
usc000tbns,2015-01-04 21:23:15.150000,14.5111,-44.9905,5.37,5205.82882075
us20003lc6,2015-09-18 15:59:42.640000,15.2767,-45.9886,6.0,5330.59480554
us10006ag5,2016-08-05 17:49:31.220000,14.6093,-45.1055,5.4,5220.4794076
us1000htk7,2018-11-18 16:04:23.790000,14.9332,-44.9834,5.37,5216.50614117
us2000izi5,2018-12-31 20:45:30.820000,15.2862,-46.312,5.37,5364.54109243
us1000jjfx,2019-03-20 19:13:03.480000,15.2353,-44.9433,5.37,5220.69580865
us70003evi,2019-04-30 20:52:22.590000,15.3014,-46.4221,5.4,5376.42167693
us600040yl,2019-06-14 20:44:54.048000,15.3851,-46.5768,5.2,5394.77846499
