id,time,lat,lon,mag,group
usp000838b,1997-06-07 11:22:03.120000,13.8965753966,51.757314608,5.4,1
usp000agrb,2001-06-15 16:19:07.610000,13.71686949,51.6686657534,6.0,1
usp000an2v,2001-08-26 14:11:08.250000,14.0168171002,51.8718568347,5.7,1
usp000bb2f,2002-09-01 17:14:59.890000,14.1640311977,51.9353410275,6.0,1
usp000dy3w,2005-08-26 18:16:33.620000,14.3773445099,52.0296225873,6.2,1
usp000f08w,2006-12-15 13:19:06.640000,13.7552013821,51.6784485938,5.4,1
usp000f1ab,2006-12-30 08:30:49.790000,13.3746494457,51.5344854986,6.6,1
usp000husx,2011-02-20 09:09:58.040000,13.634546773,51.651658818,5.4,1
us100032x1,2015-08-17 16:16:59.190000,13.7321205711,51.7432054235,5.7,1
us20003mr8,2015-09-22 04:03:14.730000,13.4168385618,51.4791931209,5.532,1
us10005dz1,2016-05-05 07:01:47.490000,13.8186715601,51.7822637501,5.5,1
us2000g5b4,2018-07-15 01:57:19.410000,13.8290858234,51.7586658448,6.0,1
us2000g5mh,2018-07-15 13:09:16.470000,13.8674028192,51.7439996176,6.0,1
