net,sta,lat,lon,dep,azi,dist
II,ARTI,56.3879,58.3849,320.0,5.47043807034,4749.052286
IU,COL,64.9,-147.7933,320.0,8.2664956712,11113.2003255
II,ABKT,37.9304,58.1189,678.0,12.2524250166,2737.13879597
II,UOSS,24.9453,56.2042,284.4,20.4373232567,1310.66280918
II,SIMI,38.6585,69.0083,1400.5,28.6684301726,3229.32876921
IU,KBL,34.5408,69.0432,1920.0,34.3373264481,2876.23443714
II,NIL,33.6506,73.2686,629.0,41.16629444,3087.5930654
IC,MDJ,44.61763,129.59341,290.0,47.2219579211,7982.89514828
IC,BJT,40.0183,116.1679,197.0,51.8448974189,6860.84284512
IC,XAN,34.0313,108.9237,630.0,58.0945178835,6149.71328795
IC,LSA,29.7031,91.127,3660.0,60.0143539204,4408.17041395
IC,KMI,25.1233,102.74,1975.0,68.7084773571,5467.22215885
IU,CHTO,18.8141,98.9443,420.0,77.1742320962,5062.90861399
G,HYB,17.41867,78.55213,510.0,78.7507805834,2902.63410004
IU,DAV,7.0697,125.5791,151.0,86.7588018185,8095.52524812
IU,HNR,-9.4387,159.9475,100.0,95.0929015917,12223.20775
II,PALK,7.2728,80.7022,460.0,100.00151493,3254.42154106
G,NOUC,-22.09863,166.30665,137.0,107.842751029,13096.1466475
II,WRAB,-19.9336,134.36,366.0,110.973028062,9789.11860505
II,COCO,-12.1901,96.8349,1.0,117.980651834,5755.38922746
G,CAN,-35.318714,148.996323,700.0,123.416343313,11548.4191387
IU,NWAO,-32.9277,117.239,380.0,128.495511214,8673.10288301
II,DGAR,-7.4121,72.4525,1.0,134.533588228,3288.29663372
AU,MCQ,-54.4986,158.9561,14.0,143.405275238,12368.4670187
G,AIS,-37.796349,77.569183,35.9,155.629268382,6328.77847975
G,RODM,-19.696196,63.44128,300.0,160.63451838,3932.37060222
G,PAF,-49.351,70.210708,17.0,166.771983252,7238.89135894
II,MSEY,-4.6737,55.4792,475.0,168.254383247,2096.07931606
G,CRZF,-46.43096,51.855308,140.0,179.876079171,6681.2894262
IU,SPA,-90.0,0.0,2927.0,180.0,11539.2474906
II,ABPO,-19.018,47.229,1528.0,187.78211883,3673.80553468
IU,PMSA,-64.7744,-64.0489,40.0,204.770909254,12602.2388207
GT,LBTB,-25.0151,25.596649,1128.0,213.512206553,5154.02096198
IU,LSZ,-15.2779,28.1882,1200.0,219.597275763,4137.00869342
IU,KMBO,-1.1271,37.2525,1950.0,224.933141833,2302.48471925
II,RPN,-27.1267,-109.3344,110.0,229.843059508,17567.2798502
II,MBAR,-0.6019,30.7382,1390.0,236.929510239,2813.2189513
II,SHEL,-15.9594,-5.7455,537.0,244.387134566,7130.5715071
IU,AAE,9.0292,38.7656,2442.0,250.483702625,1510.10685915
G,BNG,4.435,18.547001,378.0,257.142298583,3785.56471692
G,EDA,3.778868,10.153427,140.0,260.194356058,4696.81850598
IU,SAML,-8.9489,-63.1831,120.0,266.824033551,12927.9314623
IU,PTGA,-0.7308,-59.9666,237.0,274.777389194,12376.5690996
IU,KOWA,14.4967,-4.014,321.0,277.968450954,5998.49815568
IU,BOCO,4.5869,-74.0432,3160.0,285.159867836,13702.8239043
G,TAM,22.791491,5.52838,1410.0,288.445617392,4958.33856436
IU,MACI,28.2502,-16.508199,1674.0,294.910021087,7176.67509024
II,CMLA,37.7637,-25.5243,429.0,305.549386131,7962.92341416
IU,TOL,39.8814,-4.048499,480.0,309.15830323,6121.9208207
G,SSB3,45.278999,4.542,700.0,317.959263733,5623.16967264
II,BFO,48.3301,8.3296,638.0,323.014630714,5509.73617706
II,RAYN,23.5225,45.5032,631.0,329.409100806,1249.10944151
IU,ANTO,39.868,32.7934,1090.0,330.819250526,3419.72386084
IU,KIEV,50.7012,29.2242,180.0,338.267700319,4558.11113081
II,KIV,43.9553,42.6863,1054.0,347.292835857,3440.50184414
IU,GNI,40.148,44.741,1609.0,348.1421098,2987.00445502
IU,COR,44.5855,-123.3046,110.0,355.846843825,13508.1867023
