id,time,lat,lon,mag,group
usp0006ajj,1994-04-03 04:04:08.810000,-36.8847821286,78.3754621055,5.7,1
usp0006nzr,1994-11-21 03:25:57.810000,-36.7943160205,78.5457271382,5.3,1
usp0007p41,1996-08-27 10:50:49.420000,-36.8455813031,78.4449485091,6.0,1
usp0009sgz,2000-05-06 23:59:06.370000,-36.7493369053,78.631872769,5.3,1
usp000a16s,2000-10-03 09:43:21.100000,-36.9150284618,78.3386079688,5.0,1
usp000amjz,2001-08-16 18:50:18.960000,-36.7950104377,78.5538274583,5.5,1
usp000b4aj,2002-05-14 14:56:49.370000,-36.6635144174,78.7285185148,5.2,1
usp000b4aq,2002-05-14 16:56:10.420000,-36.6956285518,78.6772259464,6.2,1
usp000c1ey,2003-07-01 22:29:05.400000,-37.0305648914,78.1397119213,5.4,1
usp000edrv,2006-04-05 17:43:15.630000,-37.2423030177,78.218320999,5.8,1
usp000edv2,2006-04-06 21:11:04.200000,-37.1908964595,78.1884373707,5.0,1
usp000eggk,2006-05-07 14:17:35.170000,-36.9211166339,78.2934979122,6.1,1
usp000eggq,2006-05-07 14:47:17.260000,-37.0201939929,78.1390024561,5.2,1
usp000egh2,2006-05-07 16:45:08.210000,-36.8283163218,78.4894114646,5.5,1
usp000eghc,2006-05-07 18:38:08.200000,-36.9538226873,78.2674746431,5.0,1
usp000gjta,2008-10-09 20:20:34.590000,-36.5898601118,78.8549842428,5.2,1
usp000hdp1,2010-06-07 05:21:38.540000,-36.9204406591,78.3110726971,5.1,1
usp000hhd8,2010-08-02 21:47:41.870000,-37.3644350509,78.0380553637,5.2,1
usp000hp9b,2010-11-08 07:37:08.920000,-37.0010109447,78.1920788422,5.2,1
usp000hqrh,2010-12-10 10:13:43.410000,-37.3662984362,78.059699687,5.2,1
usp000hqy2,2010-12-15 04:23:03.670000,-37.3451432865,78.1309288176,5.3,1
usp000j9f1,2011-10-17 07:21:55.820000,-37.3161275583,78.0534658976,5.0,1
usp000j9g7,2011-10-17 21:28:26.490000,-37.3555728591,78.0726283648,5.1,1
usp000j9gd,2011-10-18 04:38:37.710000,-37.2660507406,78.0837931086,5.0,1
usp000jj3f,2012-04-16 23:53:29.810000,-36.6345235852,78.8034449965,5.37,1
usb000kbz3,2013-10-12 20:01:37.080000,-36.8017250677,78.544263755,5.5,1
us20002mbq,2015-06-05 14:54:00.970000,-37.0393717098,78.1579117544,5.6,1
us100031wx,2015-08-13 10:39:53.840000,-36.8611401507,78.4133609985,6.0,1
us100031xf,2015-08-13 11:28:15.300000,-36.9424316588,78.2600015059,5.6,1
us20003gqk,2015-09-05 15:05:45.040000,-37.2158338751,78.2300303796,5.613,1
us10008e1c,2017-04-03 07:19:43.570000,-36.6000576749,78.8480275045,5.613,1
us1000hdxw,2018-10-18 15:18:04.160000,-36.9335993554,78.3072623036,5.37,1
us7000bqaf,2020-09-19 21:09:31.865000,-37.5465723415,77.8867892388,5.8,1
