net,sta,lat,lon,dep,azi,dist
II,PALK,7.2728,80.7022,460.0,3.02252526017,4861.31083492
IC,LSA,29.7031,91.127,3660.0,11.8397393177,7455.22394928
II,TLY,51.6807,103.6438,579.0,15.2881035758,10080.1928163
IU,CHTO,18.8141,98.9443,420.0,22.772804343,6495.80957675
IC,KMI,25.1233,102.74,1975.0,24.0668820888,7286.66764767
IC,QIZ,19.0291,109.8445,240.0,33.544912285,6978.71752881
II,COCO,-12.1901,96.8349,1.0,38.6829966118,3262.47940667
G,INU,35.35,137.029,132.0,44.1830246152,9998.74313712
IU,ADK,51.8823,-176.6842,130.0,48.0825525535,14053.5587048
IU,DAV,7.0697,125.5791,151.0,55.4677191059,6878.47933427
II,KAPI,-5.0142,119.7517,300.0,60.2550838335,5459.18206729
IU,WAKE,19.2834,166.652,20.0,73.4087482632,11097.9060801
IU,MBWA,-21.159,119.7313,190.0,78.229504232,4321.19438325
II,WRAB,-19.9336,134.36,366.0,87.024294106,5689.90327704
IU,NWAO,-32.9277,117.239,380.0,94.9922173529,3536.98894707
G,SANVU,-15.447148,167.203232,56.0,101.810124694,8881.72480092
G,NOUC,-22.09863,166.30665,137.0,106.89238679,8385.2600578
G,CAN,-35.318714,148.996323,700.0,111.392142505,6200.27102142
II,TAU,-42.9099,147.3204,132.0,119.606785842,5766.31151026
IU,RAO,-29.245,-177.929,60.0,121.224404451,9207.68406494
IU,SNZO,-41.3087,174.7043,120.0,127.718757827,7887.48734647
AU,MCQ,-54.4986,158.9561,14.0,136.089727966,6209.02038394
IU,SLBS,23.6858,-109.9443,825.0,148.644821353,18360.343111
G,DRV,-66.664909,140.002075,40.0,150.813001202,5080.39371786
IU,CASY,-66.2792,110.5354,10.0,158.119370007,3887.90226248
G,CCD,-75.1065,123.305,3240.0,164.793702214,4868.1574868
II,RPN,-27.1267,-109.3344,110.0,172.179617657,12901.6760264
IU,QSPA,-89.9289,144.4382,2850.0,179.918989653,5946.59682528
IU,SPA,-90.0,0.0,2927.0,180.0,5949.8443141
G,UNM,19.329662,-99.178062,2280.0,186.884895371,18078.0181279
IU,PMSA,-64.7744,-64.0489,40.0,195.57667618,8304.56524638
G,PAF,-49.351,70.210708,17.0,202.990750091,1570.83662626
II,EFI,-51.6753,-58.0637,110.0,205.33637834,9356.73487808
II,HOPE,-54.2836,-36.4879,20.0,213.493131956,8184.69214639
CU,BCIP,9.1665,-79.8373,61.0,220.528490719,16275.0298455
IU,SAML,-8.9489,-63.1831,120.0,225.960896258,13583.5501733
G,SPB,-23.592691,-47.426979,647.0,228.986798584,11271.5458361
G,CRZF,-46.43096,51.855308,140.0,235.391864146,2468.85099625
CU,GRGR,12.1324,-61.654,195.0,245.640028831,15217.0184946
IU,RCBR,-5.8274,-35.9014,400.0,249.970373195,11765.8840781
II,SUR,-32.3797,20.8117,1770.0,257.234923176,5248.75889449
II,SHEL,-15.9594,-5.7455,537.0,260.165471595,8475.09779089
GT,LBTB,-25.0151,25.596649,1128.0,268.794529774,5165.59249096
IU,TSUM,-19.2022,17.5838,1260.0,270.517673591,6202.3061837
IU,LSZ,-15.2779,28.1882,1200.0,281.65534501,5498.44829459
G,FOMA,-24.97565,46.978877,28.0,284.209730404,3270.14284927
II,ABPO,-19.018,47.229,1528.0,293.917742572,3627.62295631
II,MBAR,-0.6019,30.7382,1390.0,297.672321307,6331.34958998
G,RER,-21.1712,55.739861,834.0,301.401829927,2797.05681995
IU,TOL,39.8814,-4.048499,480.0,306.828475011,11955.6725338
G,ROCAM,-19.75553,63.37014,52.0,317.383618328,2385.09221387
II,MSEY,-4.6737,55.4792,475.0,320.721003462,4251.82338712
II,RAYN,23.5225,45.5032,631.0,327.107043675,7507.9894735
IU,GNI,40.148,44.741,1609.0,334.465656315,9176.77816653
II,UOSS,24.9453,56.2042,284.4,337.499665836,7206.50743433
II,DGAR,-7.4121,72.4525,1.0,347.571807388,3292.22882521
IU,KBL,34.5408,69.0432,1920.0,351.676148864,7937.91530233
G,HYB,17.41867,78.55213,510.0,359.943263886,5978.7655502
