id,time,lat,lon,mag,along_strike_distance
usp0004hwr,1990-12-09 11:07:34.120000,-48.3,31.392,5.613,6146.17628026
usp0004jp4,1990-12-23 16:39:16.580000,-49.231,30.493,5.451,6185.67673676
usp0004nya,1991-03-11 21:15:56.420000,-51.154,29.255,6.4,6303.60704057
usp0005qay,1993-03-29 06:57:19.560000,-53.039,27.396,5.7,6404.47752802
usp0005x20,1993-07-20 16:50:44.840000,-52.917,27.174,5.624,6384.97228143
usp0006108,1993-09-25 04:14:49.390000,-47.77,31.999,5.5,6129.9257572
usp0006f4t,1994-07-03 21:44:44.690000,-48.219,31.542,5.4,6146.30756413
usp00072hv,1995-08-27 17:51:00.200000,-48.004,32.018,5.2,6150.70191974
usp0007fwy,1996-04-08 09:31:39.560000,-52.759,27.183,5.2,6370.53824859
usp0007m98,1996-07-19 23:43:03.950000,-48.247,31.642,5.532,6153.4442618
usp00082xm,1997-05-28 17:47:11.730000,-47.852,32.459,5.37,6159.24271735
usp0008dc4,1997-12-29 05:12:21.530000,-52.145,28.096,5.7,6347.90253915
usp0009980,1999-06-03 13:45:23.470000,-48.371,31.459,5.4,6155.42978525
usp000a9vw,2001-02-18 13:04:53.420000,-47.456,32.386,6.0,6122.33339729
usp000avz4,2002-01-07 00:48:01.780000,-52.72,27.517,5.3,6379.23048268
usp000bwxd,2003-05-09 20:26:15.980000,-48.209,32.272,6.3,6180.3210209
usp000cv51,2004-05-15 18:54:17.360000,-47.719,32.126,5.2,6131.77502151
usp000d580,2004-09-28 15:29:53.820000,-52.515,28.016,6.4,6378.95632884
usp000d8k1,2004-11-16 09:27:20.990000,-52.657,28.171,5.1,6397.9309881
usp000dcmy,2005-01-06 03:28:51,-52.57,27.612,5.6,6368.8342703
usp000ek1f,2006-06-09 23:17:27.880000,-47.75,32.612,5.9,6158.1651005
usp000em2m,2006-06-23 10:41:56.660000,-47.178,32.508,5.2,6105.05352181
usp000es0w,2006-08-29 11:17:34.370000,-52.522,27.863,5.532,6373.81616246
usp000eutv,2006-10-09 18:19:33.730000,-51.03,29.024,5.7,6282.95767586
usp000g774,2008-05-19 03:16:13.620000,-47.781,31.965,5.9,6129.21177962
usp000guxe,2009-03-12 11:47:45.870000,-52.933,27.204,5.2,6387.56290358
usp000h180,2009-09-04 22:16:47.500000,-48.301,31.67,5.3,6159.39222149
usp000hct9,2010-05-16 01:08:06.940000,-51.842,28.316,5.3,6328.59497385
usp000hs5y,2010-12-28 02:47:11.110000,-52.919,27.317,5.0,6390.38990657
usp000j7mw,2011-09-05 06:01:20.750000,-47.924,31.948,5.1,6140.53334528
usp000j7v4,2011-09-10 02:19:12.290000,-48.302,31.706,5.0,6161.18423692
usp000jcjp,2011-12-23 19:12:34.010000,-52.12,27.958,5.9,6340.30137656
usp000jdd9,2012-01-12 14:11:08.430000,-52.113,28.152,5.5,6347.11397143
usp000jddn,2012-01-12 22:08:11.100000,-52.042,28.196,5.613,6342.28571398
us20002eph,2015-05-12 14:52:18.230000,-52.3912,27.8909,5.37,6362.77872586
us100029am,2015-05-15 13:15:57.130000,-52.984,27.4062,5.532,6399.72294711
us20005hn1,2016-04-12 22:34:17.310000,-50.7215,29.2097,5.451,6262.76356564
us100072vw,2016-10-29 00:33:48.020000,-47.3676,32.4559,5.2,6118.36174234
us10007uy3,2017-01-23 07:13:41.960000,-48.9431,31.2656,5.451,6195.72736946
us10008m5k,2017-04-30 05:15:22.440000,-52.9318,27.4982,5.37,6398.24187432
us1000g8qc,2018-08-14 08:17:20.230000,-52.6939,27.8134,5.37,6387.86219006
us1000gfp8,2018-08-22 20:26:29,-52.7337,27.9005,5.6,6394.81285918
us70007lyh,2020-02-09 07:05:40.709000,-52.814,27.5391,5.451,6388.79137747
us70008ct5,2020-03-20 09:54:18.030000,-48.4146,31.42,5.1,6157.34308638
