id,time,lat,lon,mag,along_strike_distance
us70008iqd,2020-03-30 17:54:40.558000,-13.7624,66.1511,5.6,308.254225216
us2000b2xs,2017-10-09 03:46:44.160000,-12.7838,66.3823,5.1,398.092996451
us2000b2x2,2017-10-09 00:28:24.530000,-12.7978,66.4262,5.37,400.31881084
us200025ml,2015-04-10 16:23:04.080000,-13.7935,65.858,5.7,280.784757905
usc000rkxq,2014-06-24 05:55:10.580000,-13.9161,66.2246,5.451,305.502967082
usc000rkvf,2014-06-24 02:40:40.870000,-13.7662,66.4496,5.451,334.917218513
usp000jxu7,2013-01-05 04:00:44.670000,-13.144,66.797,5.532,405.157322742
usp000j5z9,2011-08-04 18:11:12.310000,-14.615,66.487,5.0,299.888162192
usp000j3n4,2011-06-24 05:28:48.480000,-12.729,66.261,5.451,393.52626845
usp000j3n3,2011-06-24 05:18:49.040000,-12.695,66.25,5.613,395.531474332
usp000j3n2,2011-06-24 05:12:10.180000,-12.715,66.354,5.451,401.496213822
usp000j2ad,2011-05-27 20:28:46.880000,-12.738,66.348,5.37,399.192647436
usp000j2ac,2011-05-27 20:27:38.100000,-12.722,66.337,5.0,399.671678942
usp000hkkd,2010-09-11 20:22:43.820000,-13.749,66.108,5.0,305.324057102
usp000hk37,2010-09-03 04:19:13.680000,-13.941,65.93,5.7,277.344558757
usp000gzh5,2009-07-21 19:55:45.020000,-13.671,66.11,5.2,310.636975298
usp000gv9f,2009-03-21 23:22:39.920000,-14.505,66.103,5.0,264.554027799
usp000gu60,2009-02-19 00:28:50.360000,-14.347,66.135,5.694,274.495914988
usp000gshh,2009-01-13 01:04:42.640000,-13.147,66.078,6.0,346.286258975
usp000g3rj,2008-04-12 08:50:17.530000,-14.506,67.075,5.5,364.146190662
usp000fp77,2007-09-27 10:18:28.800000,-13.88,66.048,5.0,291.677429261
usp000drn0,2005-05-26 22:34:32.380000,-13.737,66.197,5.2,313.930993995
usp000de25,2005-01-23 03:32:27.070000,-13.882,66.191,5.5,304.442533551
usp000ah2e,2001-06-22 13:05:10.430000,-14.223,66.262,5.0,292.71406829
usp000a7xe,2001-01-18 07:23:37.180000,-13.773,66.187,5.5,310.767140518
usp0009xvj,2000-08-04 03:14:10.970000,-12.776,66.252,5.451,389.022345539
usp0009xvh,2000-08-04 03:11:49.970000,-12.723,66.171,5.37,387.542553764
usp0008804,1997-09-25 14:20:48.930000,-13.761,66.248,6.0,316.961143791
usp0007mx6,1996-07-31 10:29:10.400000,-12.739,66.307,5.2,396.07819102
usp0006scc,1995-02-04 17:25:01.660000,-13.908,66.082,5.5,293.000301558
usp0005rzr,1993-04-30 10:15:16.370000,-13.437,66.718,5.37,379.178646172
usp0004gnj,1990-11-08 14:56:00.480000,-13.809,66.221,5.2,311.576218768
