id,time,lat,lon,mag,group
usp0006k9t,1994-10-02 00:44:19.870000,-7.06881431837,-13.0291570096,5.686,1
usp00078yc,1995-12-14 02:09:15.580000,-7.09370272341,-12.7408183779,5.6,1
usp00078yk,1995-12-14 05:13:48.030000,-7.10947903415,-12.8459181164,5.451,1
usp0007p46,1996-08-27 14:36:39.160000,-7.12279873573,-12.9258864628,5.6,1
usp0008gs6,1998-03-01 12:31:20.350000,-7.11940870824,-12.8247222519,5.3,1
usp000929n,1999-02-05 04:23:08.220000,-6.90512936818,-12.0036781905,5.3,1
usp0009uq5,2000-06-16 17:59:03.320000,-7.76891938537,-13.4312912016,5.4,1
usp0009uq6,2000-06-16 18:17:58.880000,-7.75217793795,-13.4378624992,5.4,1
usp000a25p,2000-10-21 08:24:42.380000,-7.409069747,-13.5839019755,5.451,1
usp000ab2q,2001-03-07 18:10:58.650000,-7.10138475043,-12.8424731923,6.0,1
usp000aey8,2001-05-14 18:05:04.110000,-7.41401872398,-13.5645476651,5.451,1
usp000ajdq,2001-07-12 06:12:16.790000,-7.3823798953,-13.4302853684,5.7,1
usp000bqkb,2003-02-13 05:59:10.580000,-6.91057388209,-11.964589335,5.4,1
usp000cq5a,2004-03-17 06:40:57.170000,-7.04603770235,-13.0311104462,5.3,1
usp000dvmy,2005-07-21 19:17:49.590000,-7.97020712051,-13.4512208148,5.2,1
usp000fp5v,2007-09-26 18:39:34.820000,-6.89174301459,-11.9110621726,5.6,1
usp000gf02,2008-08-19 08:33:55.250000,-7.85501575227,-13.4463315368,5.5,1
usp000gvev,2009-03-26 18:43:47.580000,-7.09902030422,-12.8013669891,5.4,1
usp000hpte,2010-11-17 22:33:43.390000,-7.43973834471,-13.4395289369,5.2,1
usp000j4gb,2011-07-09 23:17:58.410000,-7.73359622611,-13.4379482637,5.2,1
usp000j4gf,2011-07-09 23:47:30.120000,-7.76520291702,-13.4289406133,5.3,1
usp000j69g,2011-08-10 23:45:43.040000,-7.11033209274,-12.8794427884,6.0,1
usp000j69q,2011-08-11 01:36:45.820000,-7.07610868553,-12.6496736861,5.2,1
usp000j6a0,2011-08-11 08:19:39.590000,-7.14998225899,-12.9594606699,5.2,1
usp000jeva,2012-02-12 18:09:21.670000,-7.08158820061,-13.0340223288,5.37,1
usb000tq8c,2015-02-18 02:20:37.640000,-7.5191472327,-13.4590941104,5.694,1
us10003ziq,2015-11-19 13:49:44.680000,-7.37408126283,-13.4314249902,5.532,1
us200063gd,2016-06-10 09:26:53.070000,-7.43412998299,-13.5803626683,5.5,1
us10006thz,2016-09-28 09:41:17.540000,-7.07144279559,-12.6593018845,5.37,1
us20009lv8,2017-06-11 16:29:55.880000,-6.90661117898,-11.9913133249,5.451,1
us100098nb,2017-07-10 21:37:53.110000,-7.40894853043,-13.4721536304,5.532,1
us2000cp7j,2018-01-25 10:25:41.790000,-7.96450387469,-13.4501284212,5.37,1
us2000hilf,2018-09-22 08:42:31.790000,-7.11894431073,-12.8571558312,5.37,1
us1000h8dp,2018-10-07 09:44:28.710000,-7.19713234856,-13.0338899227,5.37,1
us70006xnd,2019-12-27 18:04:47.909000,-6.91335836302,-12.0365723977,5.37,1
us6000a71c,2020-06-06 05:03:05.872000,-7.35753067011,-13.4247866877,5.613,1
us6000biyj,2020-08-22 08:38:01.740000,-7.09539258696,-12.7788216178,5.8,1
us6000bizy,2020-08-22 10:21:29.589000,-7.1347122255,-12.9698164861,5.5,1
