time,mag,magType,lat,lon,dep,text,id
2020-08-22 10:21:29.589000,5.5,mww,-7.1347,-12.9698,10000.0,"181 km ENE of Georgetown, Saint Helena",us6000bizy
2020-08-22 08:38:01.740000,5.8,mww,-7.1849,-12.972,10000.0,Ascension Island region,us6000biyj
2020-06-12 00:53:26.309000,5.1,mww,-6.7595,-11.7955,10000.0,Ascension Island region,us6000aacm
2020-06-06 05:03:05.872000,5.3,mb,-7.4871,-13.6871,10000.0,"93 km ENE of Georgetown, Saint Helena",us6000a71c
2019-12-27 18:04:47.909000,5.0,mb,-6.3499,-11.0268,10000.0,Ascension Island region,us70006xnd
2018-10-07 09:44:28.710000,5.0,mb,-7.3314,-13.147,10000.0,"155km ENE of Georgetown, Saint Helena",us1000h8dp
2018-09-22 08:42:31.790000,5.0,mb,-7.0476,-12.8247,10000.0,"201km ENE of Georgetown, Saint Helena",us2000hilf
2018-01-25 10:25:41.790000,5.0,mb,-8.0528,-13.6288,10000.0,"87km E of Georgetown, Saint Helena",us2000cp7j
2017-07-10 21:37:53.110000,5.2,mb,-7.5966,-13.6263,10000.0,"94km ENE of Georgetown, Saint Helena",us100098nb
2017-06-11 16:29:55.880000,5.1,mb,-6.8,-11.8117,10000.0,Ascension Island region,us20009lv8
2016-09-28 09:41:17.540000,5.0,mb,-6.926,-12.5941,10000.0,"229km ENE of Georgetown, Saint Helena",us10006thz
2016-06-10 09:26:53.070000,5.5,mww,-7.4584,-13.6003,10000.0,"104km ENE of Georgetown, Saint Helena",us200063gd
2015-11-19 13:49:44.680000,5.2,mb,-7.6355,-13.5566,10000.0,"100km ENE of Georgetown, Saint Helena",us10003ziq
2015-02-18 02:20:37.640000,5.4,mb,-7.7076,-13.4636,10000.0,"108km ENE of Georgetown, Saint Helena",usb000tq8c
2012-02-12 18:09:21.670000,5.0,mb,-7.074,-13.051,10000.0,Ascension Island region,usp000jeva
2011-08-11 08:19:39.590000,5.2,mwc,-7.024,-12.795,10000.0,Ascension Island region,usp000j6a0
2011-08-11 01:36:45.820000,5.2,mwc,-7.008,-12.562,10000.0,Ascension Island region,usp000j69q
2011-08-10 23:45:43.040000,6.0,mww,-7.04,-12.618,10000.0,Ascension Island region,usp000j69g
2011-07-09 23:47:30.120000,5.3,mwc,-7.799,-13.479,10000.0,Ascension Island region,usp000j4gf
2011-07-09 23:17:58.410000,5.2,mwc,-7.859,-13.587,6800.0,Ascension Island region,usp000j4gb
2011-07-09 22:58:23.200000,5.0,mwc,-8.019,-13.303,10000.0,Ascension Island region,usp000j4g9
2010-11-17 22:33:43.390000,5.2,mwc,-7.52,-13.464,10000.0,Ascension Island region,usp000hpte
2009-03-26 19:13:36.420000,5.1,mwc,-6.86,-12.424,10000.0,Ascension Island region,usp000gvew
2009-03-26 18:43:47.580000,5.4,mwc,-6.775,-12.537,10000.0,Ascension Island region,usp000gvev
2009-03-05 22:13:52.780000,5.0,mwc,-8.029,-13.532,10000.0,Ascension Island region,usp000gunz
2008-09-19 21:17:35.180000,5.1,mwc,-7.112,-13.004,10000.0,Ascension Island region,usp000ghcd
2008-08-19 08:33:55.250000,5.5,mwc,-8.201,-13.449,10000.0,Ascension Island region,usp000gf02
2007-09-26 18:39:34.820000,5.6,mwc,-7.074,-11.713,10000.0,Ascension Island region,usp000fp5v
2007-05-06 17:44:40.460000,5.0,mwc,-7.666,-13.563,10000.0,Ascension Island region,usp000fbda
2006-08-01 12:01:43.440000,5.0,mwc,-7.07,-12.828,10000.0,Ascension Island region,usp000eq0v
2006-02-18 14:59:04.950000,5.0,mwc,-6.545,-11.063,10000.0,Ascension Island region,usp000eaa6
2005-07-21 19:17:49.590000,5.2,mwc,-8.13,-13.492,10000.0,Ascension Island region,usp000dvmy
2004-05-05 05:24:18.690000,5.2,mwc,-7.408,-13.483,8500.0,Ascension Island region,usp000cu73
2004-03-17 06:40:57.170000,5.3,mwc,-7.043,-13.012,10000.0,Ascension Island region,usp000cq5a
2003-02-13 05:59:10.580000,5.4,mwc,-6.726,-11.802,10000.0,Ascension Island region,usp000bqkb
2001-07-12 06:12:16.790000,5.7,mwc,-7.429,-13.378,10000.0,Ascension Island region,usp000ajdq
2001-05-14 18:05:04.110000,5.1,mb,-7.33,-13.425,10000.0,Ascension Island region,usp000aey8
2001-03-07 18:10:58.650000,6.0,mwc,-6.81,-12.911,10000.0,Ascension Island region,usp000ab2q
2000-10-21 08:24:42.380000,5.1,mb,-7.42,-13.495,10000.0,Ascension Island region,usp000a25p
2000-06-16 18:17:58.880000,5.4,mwc,-7.775,-13.486,10000.0,Ascension Island region,usp0009uq6
2000-06-16 17:59:03.320000,5.4,mwc,-7.983,-13.395,10000.0,Ascension Island region,usp0009uq5
1999-02-05 04:23:08.220000,5.3,mwc,-6.661,-11.432,10000.0,Ascension Island region,usp000929n
1998-03-01 12:31:20.350000,5.3,mwc,-6.766,-12.61,10000.0,Ascension Island region,usp0008gs6
1996-08-27 14:36:39.160000,5.6,mwc,-6.933,-12.724,10000.0,Ascension Island region,usp0007p46
1995-12-14 05:13:48.030000,5.1,mb,-6.866,-12.726,10000.0,Ascension Island region,usp00078yk
1995-12-14 02:09:15.580000,5.6,mw,-6.98,-12.657,10000.0,Ascension Island region,usp00078yc
1994-10-02 00:44:19.870000,5.3,ms,-7.021,-13.113,10000.0,Ascension Island region,usp0006k9t
1992-09-21 10:18:49.330000,5.6,mw,-7.816,-13.585,10000.0,Ascension Island region,usp0005e98
1992-03-12 16:34:46.970000,5.3,mw,-7.84,-13.635,10000.0,Ascension Island region,usp000545u
1991-08-29 16:59:49.020000,5.4,mw,-6.988,-12.677,10000.0,Ascension Island region,usp0004w0y
1989-08-12 17:18:36.940000,5.6,mw,-7.259,-12.7,10000.0,Ascension Island region,usp0003ydd
1985-06-03 20:11:56.140000,5.4,mw,-7.803,-13.473,10000.0,Ascension Island region,usp0002fg9
1984-10-21 03:51:47.310000,5.5,mw,-6.993,-12.559,10000.0,Ascension Island region,usp00028bj
1984-07-19 05:22:15.750000,5.5,mw,-7.024,-12.8,10000.0,Ascension Island region,usp00025uc
1983-11-17 14:53:17.390000,5.1,mb,-7.242,-13.531,10000.0,Ascension Island region,usp0001zwg
1983-09-24 20:40:23.330000,5.1,ms,-7.022,-12.814,10000.0,Ascension Island region,usp0001ymz
1983-01-05 16:52:20.380000,5.1,mb,-6.71,-11.609,10000.0,Ascension Island region,usp0001s0f
1982-05-24 01:46:23.010000,5.2,ms,-6.887,-12.44,10000.0,Ascension Island region,usp0001mg8
1981-08-10 17:15:27.810000,5.3,ms,-6.937,-12.566,10000.0,Ascension Island region,usp0001f74
1980-10-16 01:32:35.700000,5.4,ms,-6.834,-11.59,10000.0,Ascension Island region,usp0001a9e
1979-12-16 07:18:54.100000,5.1,mb,-6.831,-12.551,10000.0,Ascension Island region,usp00014j4
1976-10-07 09:54:16.400000,5.1,mb,-7.605,-13.346,33000.0,Ascension Island region,usp0000jsz
1976-10-07 07:29:08.800000,5.1,mb,-7.381,-13.149,33000.0,Ascension Island region,usp0000jsv
1976-07-17 04:14:11.700000,5.3,ms,-6.89,-12.474,33000.0,Ascension Island region,usp0000hcs
1973-09-09 08:32:14.800000,5.2,mb,-7.112,-12.841,33000.0,Ascension Island region,usp00003cp
1973-03-04 14:12:15.700000,5.1,mb,-7.319,-13.314,33000.0,Ascension Island region,usp00000tt
1961-07-06 16:08:22,5.6,mw,-7.396,-13.555,15000.0,Ascension Island region,iscgem876922
1957-08-08 22:33:07,5.7,mw,-7.34,-12.658,15000.0,Ascension Island region,iscgem886990
1952-03-27 16:10:02,5.9,mw,-7.138,-11.467,15000.0,Ascension Island region,iscgem892682
1951-08-21 18:57:05,5.6,mw,-7.001,-12.728,15000.0,Ascension Island region,iscgem894642
