id,time,lat,lon,mag,group
iscgem895020,1951-12-08 04:14:16,-34.229,57.47,7.5,-1
iscgem886709,1957-06-15 00:44:18,-34.01,56.342,6.2,-1
usp00006sz,1974-06-19 02:55:19.700000,-33.416,56.875,6.492,-1
usp0000md9,1977-01-29 13:56:06,-33.754,56.329,5.686,-1
usp0001e25,1981-06-09 01:09:07.480000,-32.837,57.597,5.37,-1
usp0001j98,1982-01-24 10:32:07.460000,-32.7,57.024,5.694,-1
usp0001j9f,1982-01-24 13:56:43.430000,-32.651,57.001,5.37,-1
usp0001s6m,1983-01-13 10:53:31.610000,-34.177,56.85,5.694,-1
usp0001swn,1983-02-08 06:47:11.420000,-31.91,57.319,5.694,-1
usp00023rv,1984-04-21 13:57:27.110000,-33.926,56.418,5.4,-1
usp0002gbg,1985-07-02 13:12:32.960000,-33.797,56.337,5.6,-1
usp0002gbh,1985-07-02 13:48:19.120000,-33.749,56.419,5.9,-1
usp0002ud7,1986-05-25 03:09:19.700000,-31.911,57.067,5.2,-1
usp00032wa,1987-03-01 04:55:04.340000,-32.665,57.225,5.2,-1
usp0003ezd,1988-04-12 20:26:19.340000,-33.803,56.334,5.7,-1
usp0003jfb,1988-07-31 15:22:48.790000,-31.891,57.448,5.9,-1
usp0003jna,1988-08-04 17:17:21.060000,-33.175,57.755,5.532,-1
usp00043zx,1990-01-07 20:53:29.230000,-32.159,57.447,5.3,-1
usp0004xm7,1991-10-10 07:04:02.530000,-31.656,57.778,5.451,-1
usp0005kju,1993-01-10 18:07:57.080000,-33.744,57.211,5.37,-1
usp0007cmc,1996-02-09 04:20:32.280000,-31.9665432584,57.4643761804,5.4,1
usp0007g8s,1996-04-16 14:03:25.440000,-33.1879398147,57.0525498938,5.5,1
usp0008404,1997-06-26 12:06:04.680000,-32.0841527346,56.939690644,5.4,1
usp000a091,2000-09-14 22:18:32.210000,-33.4255731614,56.6437790532,5.2,1
usp000adav,2001-04-15 22:38:36.770000,-33.3333056062,57.0849292332,5.37,1
usp000aed6,2001-05-04 01:10:48.910000,-33.3325036089,57.0830114414,5.1,1
usp000c3px,2003-07-30 05:43:19.400000,-32.1335014767,57.060069003,5.3,1
usp000ec0x,2006-03-12 17:11:18.030000,-32.9974532572,56.9075647621,5.6,1
usp000f6h6,2007-03-11 19:40:56.390000,-32.1116847446,57.0528958726,5.37,1
usb000jbng,2013-08-25 16:07:14.650000,-33.3107464826,57.0753222134,5.8,1
usb000q28e,2014-04-28 12:43:52.720000,-32.1394340909,57.0477024935,5.613,1
us200065bg,2016-06-19 01:16:11.420000,-32.0627025606,56.9399881302,5.613,1
us100062ue,2016-07-12 06:41:54.200000,-32.1101961349,57.0267611455,5.4,1
us2000jf6y,2019-02-08 03:11:05.100000,-32.8284528337,57.0900943194,5.5,1
us700034pa,2019-04-11 22:28:10.876000,-32.0934460219,56.9806532179,5.37,1
us60005n4s,2019-09-24 21:12:01.194000,-33.165932021,56.8906909926,5.1,1
us60005n52,2019-09-24 21:19:47.423000,-33.8756589383,56.1349209582,6.0,1
us60005n75,2019-09-24 21:25:10.422000,-33.786,56.2852,5.37,-1
us60007gl1,2020-01-26 17:46:44.782000,-32.1951721489,57.0368536745,5.451,1
