id,time,lat,lon,mag,group
usp0007cmc,1996-02-09 04:20:32.280000,-31.9648095012,57.4651745055,5.4,1
usp0007g8s,1996-04-16 14:03:25.440000,-33.187938216,57.0525337909,5.5,1
usp0008404,1997-06-26 12:06:04.680000,-32.078495706,56.9390105058,5.4,1
usp000a091,2000-09-14 22:18:32.210000,-33.4255638329,56.6438592689,5.2,1
usp000adav,2001-04-15 22:38:36.770000,-33.3332845049,57.0848900578,5.37,1
usp000aed6,2001-05-04 01:10:48.910000,-33.3324924443,57.0829953596,5.1,1
usp000c3px,2003-07-30 05:43:19.400000,-32.1273333525,57.0581773235,5.3,1
usp000ec0x,2006-03-12 17:11:18.030000,-32.9974202773,56.9076514732,5.6,1
usp000f6h6,2007-03-11 19:40:56.390000,-32.1114686697,57.0529599473,5.37,1
usb000jbng,2013-08-25 16:07:14.650000,-33.3107446132,57.0753154477,5.8,1
usb000q28e,2014-04-28 12:43:52.720000,-32.1318570571,57.0491623138,5.613,1
us200065bg,2016-06-19 01:16:11.420000,-32.055079972,56.939355468,5.613,1
us100062ue,2016-07-12 06:41:54.200000,-32.1097876414,57.0235157653,5.4,1
us2000jf6y,2019-02-08 03:11:05.100000,-32.8284559157,57.090089363,5.5,1
us700034pa,2019-04-11 22:28:10.876000,-32.0934102887,56.9806657622,5.37,1
us60005n4s,2019-09-24 21:12:01.194000,-33.1659351347,56.8906860535,5.1,1
us60005n52,2019-09-24 21:19:47.423000,-33.8756753731,56.1349087846,6.0,1
us60007gl1,2020-01-26 17:46:44.782000,-32.1951334978,57.0368473931,5.451,1
