id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us20006fa7,2016-07-17 01:31:46.530000,30.7145709069,-41.7574560331,5.532,us2000iuyv,2018-12-19 03:38:37.940000,30.5546182948,-41.8401491369,5.7,19.4241970295,17.7012858712,1.13600549629,204.108170737,204.346090997,3.5110258202,1,1
usc000nvb5,2014-03-28 20:48:01.530000,30.5118967563,-42.0872140634,5.37,us2000iuyv,2018-12-19 03:38:37.940000,30.5546182948,-41.8401491369,5.7,24.1782995214,23.4175519374,23.2349006325,78.6408171487,108.457535112,50.9356247969,1,1
usp0008bjk,1997-11-30 17:57:36.440000,30.7151842071,-41.7505395216,5.3,us2000iuyv,2018-12-19 03:38:37.940000,30.5546182948,-41.8401491369,5.7,19.7653103061,18.0697606313,3.42820577487,205.784382711,205.770489276,10.6500662499,1,1
us2000iuyv,2018-12-19 03:38:37.940000,30.5546182948,-41.8401491369,5.7,us100072yi,2016-10-29 12:20:15.070000,29.8861579914,-42.5734806651,5.532,102.349471627,102.350005483,0.914289960462,223.798194653,43.3476371594,0.531213261963,1,1
us20006fa7,2016-07-17 01:31:46.530000,30.7145709069,-41.7574560331,5.532,us100072yi,2016-10-29 12:20:15.070000,29.8861579914,-42.5734806651,5.532,120.811216489,119.543708822,73.6852682948,220.728872953,220.347036422,58.0815439356,1,1
usc000nvb5,2014-03-28 20:48:01.530000,30.5118967563,-42.0872140634,5.37,us100072yi,2016-10-29 12:20:15.070000,29.8861579914,-42.5734806651,5.532,83.6911198559,33.4453516659,19.8562102296,214.142833315,185.918170285,31.3183181436,1,1
usp000h783,2010-02-13 01:02:57.540000,29.866534227,-42.6258083863,5.2,us100072yi,2016-10-29 12:20:15.070000,29.8861579914,-42.5734806651,5.532,5.50331947743,6.06477191079,19.1498621108,66.7041059982,66.721042116,61.2892207623,1,1
usp000h782,2010-02-13 01:00:57.620000,29.8610704367,-42.5990263564,5.2,us100072yi,2016-10-29 12:20:15.070000,29.8861579914,-42.5734806651,5.532,3.71811990614,3.77456542529,1.96257649062,41.58063091,53.7053750363,34.3891070114,1,1
usp0008bjk,1997-11-30 17:57:36.440000,30.7151842071,-41.7505395216,5.3,us100072yi,2016-10-29 12:20:15.070000,29.8861579914,-42.5734806651,5.532,121.295896711,120.805641891,110.154082732,220.948570337,220.771610612,87.5639017622,1,1
usp0007j1a,1996-06-02 02:19:30.990000,30.5170903686,-41.8582176389,5.6,us100072yi,2016-10-29 12:20:15.070000,29.8861579914,-42.5734806651,5.532,98.1598497271,96.7469920601,1.10762561606,224.739035468,224.955556309,0.717574885909,1,1
