net,sta,lat,lon,dep,azi,dist
IU,PET,53.0233,158.6499,110.0,2.81750837216,12703.9875636
IU,HNR,-9.4387,159.9475,100.0,6.94767693273,5795.34018797
G,NOUC,-22.09863,166.30665,137.0,17.247708601,4471.6781336
G,PVC,-17.74,168.311996,80.0,18.991091657,4981.34186348
IU,MIDW,28.2156,-177.3698,20.0,24.7299584235,10264.3554072
II,MSVF,-17.7448,178.0528,801.1,31.6626635465,5202.76778792
IU,SNZO,-41.3087,174.7043,120.0,40.6618663664,2628.8298319
IU,RAO,-29.245,-177.929,60.0,42.3323881696,4121.41276985
IU,XMAS,2.0448,-157.4457,20.0,51.1065815106,8142.35906118
IU,RAR,-21.2125,-159.7733,28.0,59.3168322564,5683.41451483
II,FFC,54.725,-101.9783,338.0,64.4515129895,15711.6899748
G,PPTF,-17.5896,-149.565247,705.0,67.8272311628,6527.40580085
G,TAOE,-8.85492,-140.14775,800.0,72.3859998412,7855.75490895
IU,SLBS,23.6858,-109.9443,825.0,83.1296360048,12588.2584135
IM,TX10,29.3305,-103.703499,1034.1,85.0915885801,13448.4871526
IU,PTCN,-25.0713,-130.0953,220.0,90.2789188274,6823.00428874
IU,SSPA,40.6358,-77.8876,270.0,99.4103319826,15837.0210275
IU,TEIG,20.2263,-88.2763,40.0,104.535263947,13404.0485504
II,RPN,-27.1267,-109.3344,110.0,108.97456505,7713.71088311
CU,BCIP,9.1665,-79.8373,61.0,118.423494723,12734.6049713
IU,OTAV,0.2376,-78.4508,3510.0,123.675007739,11897.8706014
II,NNA,-11.9875,-76.8422,575.0,129.963397561,10718.7890559
CU,GRGR,12.1324,-61.654,195.0,136.059101177,13806.9701509
G,PEL,-33.143607,-70.67494,700.0,142.821669838,8756.29753794
G,COYC,-45.57299,-72.08139,235.0,146.433733989,7425.22639997
IU,TRQA,-38.0568,-61.9787,540.0,151.276933877,8491.09644256
IU,PMSA,-64.7744,-64.0489,40.0,159.920730367,5639.26897863
IU,SBA,-77.8492,166.7572,50.0,171.032908177,1875.98019527
GT,VNDA,-77.517273,161.852753,121.1,174.225251744,1806.83542832
IU,QSPA,-89.9289,144.4382,2850.0,180.025854988,3172.93411483
G,TRIS,-37.0681,-12.3152,60.0,190.691956948,9012.78254576
G,SOK,14.494418,-16.456223,70.9,192.003252402,14734.8438918
II,SHEL,-15.9594,-5.7455,537.0,199.387983521,11239.8055638
G,CCD,-75.1065,123.305,3240.0,206.397830173,1939.87649772
G,EVO,38.532001,-8.013,0.0,213.214625673,17178.7953926
II,SUR,-32.3797,20.8117,1770.0,218.521999153,8792.01741379
GT,LBTB,-25.0151,25.596649,1128.0,225.159985616,9382.6655361
IU,LSZ,-15.2779,28.1882,1200.0,231.084124528,10277.3694649
IU,CASY,-66.2792,110.5354,10.0,236.882501597,2170.22989581
G,PAF,-49.351,70.210708,17.0,244.836347691,5099.51480042
IU,FURI,8.8952,38.6798,2570.0,251.057243921,12218.3460665
G,RER,-21.1712,55.739861,834.0,252.130331112,8406.90835558
G,AIS,-37.796349,77.569183,35.9,260.046161188,5724.16973281
II,RAYN,23.5225,45.5032,631.0,265.183544208,13276.6272091
II,DGAR,-7.4121,72.4525,1.0,273.411760793,8857.9336418
IU,GNI,40.148,44.741,1609.0,276.29133621,14836.5661873
II,PALK,7.2728,80.7022,460.0,287.636635125,9860.1125236
II,COCO,-12.1901,96.8349,1.0,293.465564602,7134.12634355
II,NIL,33.6506,73.2686,629.0,294.487681854,12788.0786002
IU,NWAO,-32.9277,117.239,380.0,302.856823951,4137.0203465
MS,BTDF,1.3617,103.775002,57.0,306.236845131,8176.75895459
IU,MBWA,-21.159,119.7313,190.0,313.323123613,5214.59538601
II,KAPI,-5.0142,119.7517,300.0,320.056957121,6895.36013735
IU,DAV,7.0697,125.5791,151.0,329.747577593,8002.33583282
II,WRAB,-19.9336,134.36,366.0,332.233687673,4872.81411476
IU,INCN,37.47768,126.62436,55.0,337.761996696,11255.0972563
II,TAU,-42.9099,147.3204,132.0,343.925111279,2121.39963647
G,CAN,-35.318714,148.996323,700.0,350.029392351,2936.28852482
IU,MA2,59.5756,150.77,337.0,357.847999544,13431.6313144
