id,time,lat,lon,mag,along_strike_distance
us70004az7,2019-07-05 11:56:39.383000,-48.9447,127.3464,5.451,341.131785723
us2000a8zw,2017-08-17 03:00:19.040000,-48.7607,126.388,5.451,354.264531778
us10007u2v,2017-01-19 10:15:58.840000,-49.0063,127.52,5.3,337.227206474
us10007s8e,2017-01-10 03:01:32.450000,-48.7795,126.4062,5.532,352.184891793
us100068c5,2016-07-25 09:00:28.390000,-49.4245,126.3706,5.775,280.436726908
usp000jbx2,2011-12-07 03:41:09.670000,-49.073,127.505,5.1,329.762132604
usp000h4hh,2009-11-28 17:40:26.500000,-49.772,126.574,5.2,242.275649947
usp000gv8t,2009-03-21 15:55:42.130000,-48.734,126.561,5.0,357.526168398
usp000d1aw,2004-08-02 14:04:13.290000,-49.111,127.309,5.3,322.465923951
usp000cms2,2004-02-21 19:29:30.900000,-49.988,126.899,5.2,221.085026503
usp000a970,2001-02-07 01:58:07.300000,-50.04,126.922,5.2,215.678712746
usp0009ekc,1999-09-18 07:51:53.550000,-49.167,126.69,5.3,309.981485965
usp0006ssw,1995-02-12 08:37:20.210000,-49.19,127.349,5.4,314.490734309
