id,time,lat,lon,mag,group
usp0006ssw,1995-02-12 08:37:20.210000,-49.1432985586,127.249545739,5.4,1
usp0009ekc,1999-09-18 07:51:53.550000,-49.1274814152,127.25404777,5.3,1
usp000a970,2001-02-07 01:58:07.300000,-49.8433839043,126.718679311,5.2,1
usp000cms2,2004-02-21 19:29:30.900000,-49.766646262,126.887823455,5.2,1
usp000d1aw,2004-08-02 14:04:13.290000,-49.1274805801,127.254047545,5.3,1
usp000gv8t,2009-03-21 15:55:42.130000,-48.6814922551,126.422205046,5.0,1
usp000h4hh,2009-11-28 17:40:26.500000,-49.4273995546,126.552681979,5.2,1
usp000jbx2,2011-12-07 03:41:09.670000,-49.1324642434,127.267667441,5.1,1
us10007s8e,2017-01-10 03:01:32.450000,-48.8067605073,126.46625935,5.532,1
us10007u2v,2017-01-19 10:15:58.840000,-49.1424000899,127.247824816,5.3,1
us2000a8zw,2017-08-17 03:00:19.040000,-48.7840121075,126.532503431,5.451,1
us70004az7,2019-07-05 11:56:39.383000,-48.9458053102,127.34670072,5.451,1
