id,time,lat,lon,mag,along_strike_distance
us70005cba,2019-09-05 15:02:45.258000,43.7183,-127.8191,5.9,323.468090366
us700059qh,2019-08-29 15:07:58.646000,43.5425,-127.8817,6.3,325.784913902
us6000561j,2019-08-16 15:23:18.914000,44.2729,-129.3962,5.4,184.695362438
us70004m7u,2019-07-17 14:59:59.507000,43.4212,-127.1745,5.4,383.83215612
us1000gf8u,2018-08-22 09:31:45.530000,43.5637,-127.7166,6.2,337.238793074
us2000cqrl,2018-01-28 22:46:16.210000,43.5517,-127.4685,5.5,356.40189832
us10007cvf,2016-11-28 04:34:44.900000,43.3669,-127.0223,5.5,397.524315716
us20002l3n,2015-06-01 20:11:30.610000,44.4971,-129.9582,5.9,136.333424592
us20002l01,2015-06-01 10:46:27.260000,44.5389,-129.6521,5.4,160.169337739
us20002pax,2015-06-01 06:54:10.800000,44.1977,-129.8272,5.532,153.731110714
us20002kxa,2015-06-01 06:52:41.340000,44.4584,-129.8114,5.8,148.445960824
usb000qjhw,2014-05-12 18:51:00.720000,43.7071,-128.0971,5.451,302.84745286
usc000n8ii,2014-03-12 00:31:44.470000,44.3113,-129.0809,5.451,208.500402794
usc000ey2g,2013-01-30 03:14:28.490000,43.638,-127.62,5.4,341.589806885
usp000jmz5,2012-06-19 13:40:57.260000,43.443,-127.273,5.532,375.528383965
usp000jhpg,2012-04-11 22:41:46.040000,43.584,-127.638,6.0,342.330596357
usp000jeyq,2012-02-15 03:31:20.610000,43.625,-127.518,5.8,349.821042507
usp000j99k,2011-10-13 04:14:00.510000,43.462,-127.135,5.6,385.151578136
usp000hu8d,2011-02-08 22:02:01.870000,43.541,-127.313,5.4,368.579500812
usp000hcf0,2010-05-07 17:46:13.940000,44.362,-129.467,5.5,177.197496791
usp000gcf5,2008-07-17 22:51:55.320000,44.371,-129.417,5.7,180.955250298
usp000gcf2,2008-07-17 22:37:04.210000,43.937,-129.418,5.451,194.759914215
usp000gcf1,2008-07-17 22:36:18.780000,44.367,-129.356,5.5,185.824102918
usp000gays,2008-06-29 19:33:40.930000,44.247,-129.25,5.4,196.717956948
usp000g3ru,2008-04-12 12:05:14.620000,43.648,-127.621,5.5,341.135502769
usp000g1j2,2008-03-15 14:44:36.060000,42.412,-126.835,5.7,461.037715977
usp000g0kq,2008-03-03 15:44:46.890000,43.831,-128.403,5.451,274.975648712
usp000fwcm,2008-01-10 01:37:19,43.785,-127.264,6.3,363.784206943
usp000fsx6,2007-11-19 20:32:48.800000,43.542,-127.414,5.8,360.901414967
usp000e81b,2006-01-11 10:02:32.560000,43.507,-127.266,5.6,373.467086605
usp000bnms,2003-01-16 05:03:29.390000,44.149,-129.183,5.5,204.59986699
usp000bnmd,2003-01-16 02:25:05.070000,44.281,-129.351,5.7,188.021795645
usp000bnm3,2003-01-16 01:06:30.630000,44.172,-129.263,5.451,197.750357119
usp000bnkx,2003-01-16 00:53:15.720000,44.284,-129.024,6.3,213.523372814
usp000bb3y,2002-09-02 13:39:18.220000,43.916,-128.243,5.7,284.197160978
usp000bb3x,2002-09-02 13:38:11.060000,43.891,-128.366,5.532,275.62456239
usp000b7tv,2002-07-09 18:40:35.630000,43.519,-127.169,5.9,380.342715637
usp000b4bp,2002-05-15 07:06:20.450000,43.41,-127.076,5.4,391.703423936
usp000a5ja,2000-12-05 18:14:29.720000,43.915,-128.36,5.624,275.262412345
usp0009ttw,2000-06-02 11:13:49.380000,44.513,-130.081,6.2,126.435768875
usp0009mdh,2000-01-20 09:41:47.340000,43.649,-127.257,6.1,368.840270432
usp00088vq,1997-10-11 15:54:00.510000,44.55,-129.726,5.4,154.229262592
usp00084pr,1997-07-11 02:03:49.880000,44.269,-129.36,5.4,187.609855264
usp0007sex,1996-11-04 22:54:15.910000,43.523,-127.356,5.5,366.034172775
usp0007qwc,1996-10-03 10:09:30.600000,44.179,-128.927,5.4,223.576920432
usp0007g7a,1996-04-15 12:29:20.560000,43.662,-127.503,5.4,349.590691726
usp0006mta,1994-10-27 17:45:58,43.515,-127.427,6.3,360.999384651
usp000693g,1994-02-28 21:52:55.990000,44.636,-129.94,5.6,136.959595495
usp000693f,1994-02-28 21:51:39.520000,44.702,-129.893,5.748,140.900778109
usp0005jwy,1992-12-26 22:11:05.450000,43.934,-127.887,5.686,311.079679974
usp0005e3s,1992-09-17 07:02:42.590000,44.47,-129.534,5.686,170.206079195
usp0005e3r,1992-09-17 07:02:08.960000,44.432,-129.481,5.686,174.90452593
usp0005ctk,1992-08-21 01:02:18.440000,43.93,-128.344,5.4,275.988484147
usp0005bz4,1992-08-04 14:27:41.180000,43.468,-127.014,5.7,394.06893304
usp0004crr,1990-07-31 03:19:46.870000,42.416,-126.682,5.8,471.311595586
usp00045cq,1990-02-12 13:44:29.220000,44.13,-128.926,5.5,224.994508626
usp00044q2,1990-01-24 20:47:08.870000,42.35,-126.301,5.5,501.720156864
usp00044d1,1990-01-17 12:05:29.840000,43.589,-127.443,5.7,356.878740707
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652
