id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us1000gf8u,2018-08-22 09:31:45.530000,43.5900769491,-127.659649504,6.2,us70005cba,2019-09-05 15:02:45.258000,43.716870141,-127.815557431,5.9,18.8850291826,18.5408899514,10.0663005219,318.295119345,318.478155995,25.9904537003,1,1
us2000cqrl,2018-01-28 22:46:16.210000,43.5296682148,-127.406393537,5.5,us70005cba,2019-09-05 15:02:45.258000,43.716870141,-127.815557431,5.9,39.02828082,39.0318393182,10.3451134036,302.344084511,302.187726703,13.4163382201,1,1
us10007cvf,2016-11-28 04:34:44.900000,43.4182442308,-127.054005904,5.5,us70005cba,2019-09-05 15:02:45.258000,43.716870141,-127.815557431,5.9,69.8987661021,69.3251453928,14.5511577062,298.599391647,295.714018706,15.523387315,1,1
usp000jhpg,2012-04-11 22:41:46.040000,43.5609409103,-127.558644359,6.0,us70005cba,2019-09-05 15:02:45.258000,43.716870141,-127.815557431,5.9,27.0165795135,27.639772437,12.9589872446,309.974100362,308.787473574,23.0832349228,1,1
usp0007sex,1996-11-04 22:54:15.910000,43.514481824,-127.433334065,5.5,us70005cba,2019-09-05 15:02:45.258000,43.716870141,-127.815557431,5.9,38.1783979593,22.1696953458,22.3101407153,306.216278887,326.181475323,44.6950165081,1,1
us70005cba,2019-09-05 15:02:45.258000,43.716870141,-127.815557431,5.9,us700059qh,2019-08-29 15:07:58.646000,43.6275718621,-127.796436188,6.3,10.0406828978,7.32523832085,8.14754586596,171.158877902,349.25282465,41.4502473841,1,1
us1000gf8u,2018-08-22 09:31:45.530000,43.5900769491,-127.659649504,6.2,us700059qh,2019-08-29 15:07:58.646000,43.6275718621,-127.796436188,6.3,11.8025998522,11.4395116727,7.35541237265,290.715691392,290.618869451,56.3916953581,1,1
usp000jhpg,2012-04-11 22:41:46.040000,43.5609409103,-127.558644359,6.0,us700059qh,2019-08-29 15:07:58.646000,43.6275718621,-127.796436188,6.3,20.5794949596,21.8040917869,1.48666940817,291.165336793,297.299063353,4.36022170093,1,1
usp000fwcm,2008-01-10 01:37:19,43.665569976,-127.918864266,6.3,us700059qh,2019-08-29 15:07:58.646000,43.6275718621,-127.796436188,6.3,10.7419889798,11.2060585772,6.37321772659,113.100148147,112.648254144,50.9093833532,1,1
usp0009mdh,2000-01-20 09:41:47.340000,43.5746662328,-127.589825896,6.1,us700059qh,2019-08-29 15:07:58.646000,43.6275718621,-127.796436188,6.3,17.6873334769,17.6875192056,0.594801180159,289.481541358,289.258361142,1.91847476004,1,1
us20002kxa,2015-06-01 06:52:41.340000,44.090394415,-129.446725775,5.8,us6000561j,2019-08-16 15:23:18.914000,43.8777329971,-128.871054707,5.4,51.8782466937,50.19153228,3.3679396508,116.895273913,114.807859526,4.40410121144,1,1
usc000n8ii,2014-03-12 00:31:44.470000,43.9191785322,-128.823890379,5.451,us6000561j,2019-08-16 15:23:18.914000,43.8777329971,-128.871054707,5.4,5.96365394961,10.5712452873,6.08657824898,219.46615064,328.0523486,42.7836035646,1,1
usp000hcf0,2010-05-07 17:46:13.940000,43.9405614419,-129.011627325,5.5,us6000561j,2019-08-16 15:23:18.914000,43.8777329971,-128.871054707,5.4,13.2756086052,13.8657673689,2.79079414331,121.676305344,119.611579774,17.898900665,1,1
usp000gays,2008-06-29 19:33:40.930000,43.8513458035,-128.754988024,5.4,us6000561j,2019-08-16 15:23:18.914000,43.8777329971,-128.871054707,5.4,9.78021457987,9.77839873165,2.8357063539,287.484337258,291.515927968,24.2093635112,1,1
usp000bnmd,2003-01-16 02:25:05.070000,43.8617294158,-128.8345032,5.7,us6000561j,2019-08-16 15:23:18.914000,43.8777329971,-128.871054707,5.4,3.43424636715,3.28796118473,2.27878812542,301.195515407,302.257391421,43.1982371235,1,1
usp000693g,1994-02-28 21:52:55.990000,44.1184009765,-129.592177439,5.6,us6000561j,2019-08-16 15:23:18.914000,43.8777329971,-128.871054707,5.4,63.7225190018,61.4056849367,27.0915103514,114.561592007,110.956153494,38.4874153249,1,1
us2000cqrl,2018-01-28 22:46:16.210000,43.5296682148,-127.406393537,5.5,us70004m7u,2019-07-17 14:59:59.507000,43.48187347,-127.296139557,5.4,10.3776036537,10.4587586774,10.3068556787,120.738528701,120.993682153,75.7115105589,1,1
us10007cvf,2016-11-28 04:34:44.900000,43.4182442308,-127.054005904,5.5,us70004m7u,2019-07-17 14:59:59.507000,43.48187347,-127.296139557,5.4,20.8350504768,19.9964376833,2.5209395706,289.91737223,286.483261165,10.8479812296,1,1
usb000qjhw,2014-05-12 18:51:00.720000,43.7115170527,-128.029278081,5.451,us70004m7u,2019-07-17 14:59:59.507000,43.48187347,-127.296139557,5.4,64.4629971971,69.6637868589,67.0131609958,113.062632311,124.877825646,72.1055833813,1,1
usc000ey2g,2013-01-30 03:14:28.490000,43.5658654016,-127.56573619,5.4,us70004m7u,2019-07-17 14:59:59.507000,43.48187347,-127.296139557,5.4,23.7091582141,23.3911362585,23.3662294746,113.085346623,112.245352261,74.419750339,1,1
