id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp00044d1,1990-01-17 12:05:29.840000,43.589,-127.443,5.7,356.878740707,0.1,4.224645813
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp0004crr,1990-07-31 03:19:46.870000,42.416,-126.682,5.8,471.311595586,0.2,110.208209066
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp0005bz4,1992-08-04 14:27:41.180000,43.468,-127.014,5.7,394.06893304,0.1,32.96554652
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp0005ctk,1992-08-21 01:02:18.440000,43.93,-128.344,5.4,275.988484147,0.2,85.114902373
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp0005jwy,1992-12-26 22:11:05.450000,43.934,-127.887,5.686,311.079679974,0.086,50.023706546
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp0007g7a,1996-04-15 12:29:20.560000,43.662,-127.503,5.4,349.590691726,0.2,11.512694794
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp0007sex,1996-11-04 22:54:15.910000,43.523,-127.356,5.5,366.034172775,0.1,4.930786255
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000a5ja,2000-12-05 18:14:29.720000,43.915,-128.36,5.624,275.262412345,0.024,85.840974175
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000b4bp,2002-05-15 07:06:20.450000,43.41,-127.076,5.4,391.703423936,0.2,30.600037416
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000b7tv,2002-07-09 18:40:35.630000,43.519,-127.169,5.9,380.342715637,0.3,19.239329117
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000bb3x,2002-09-02 13:38:11.060000,43.891,-128.366,5.532,275.62456239,0.068,85.47882413
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000bb3y,2002-09-02 13:39:18.220000,43.916,-128.243,5.7,284.197160978,0.1,76.906225542
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000e81b,2006-01-11 10:02:32.560000,43.507,-127.266,5.6,373.467086605,0.0,12.363700085
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000fsx6,2007-11-19 20:32:48.800000,43.542,-127.414,5.8,360.901414967,0.2,0.201971553
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000g0kq,2008-03-03 15:44:46.890000,43.831,-128.403,5.451,274.975648712,0.149,86.127737808
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000g1j2,2008-03-15 14:44:36.060000,42.412,-126.835,5.7,461.037715977,0.1,99.934329457
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000g3ru,2008-04-12 12:05:14.620000,43.648,-127.621,5.5,341.135502769,0.1,19.967883751
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000hu8d,2011-02-08 22:02:01.870000,43.541,-127.313,5.4,368.579500812,0.2,7.476114292
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000j99k,2011-10-13 04:14:00.510000,43.462,-127.135,5.6,385.151578136,0.0,24.048191616
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000jeyq,2012-02-15 03:31:20.610000,43.625,-127.518,5.8,349.821042507,0.2,11.282344013
usp00044bz,1990-01-16 12:57:20.700000,43.56,-127.402,5.6,361.10338652,usp000jhpg,2012-04-11 22:41:46.040000,43.584,-127.638,6.0,342.330596357,0.4,18.772790163
