id,time,lat,lon,mag,group
iscgem893493,1952-10-04 04:04:12,-10.95,-14.953,5.8,-1
iscgem890411,1954-03-07 01:44:29,-12.28,-14.023,6.0,-1
iscgem880669,1960-11-01 06:15:31,-11.295,-12.995,5.7,-1
iscgem873031,1963-09-07 08:50:56,-11.788,-13.595,5.9,-1
iscgem790645,1970-11-29 06:01:19,-11.803,-13.97,6.4,-1
usp00005da,1974-02-25 01:32:17.300000,-11.518,-13.302,5.37,-1
usp00005e8,1974-02-27 04:28:30.300000,-11.604,-13.406,5.451,-1
usp00005v8,1974-04-04 14:50:06.100000,-12.653,-14.066,5.532,-1
usp0000cxf,1975-09-24 11:03:00.500000,-11.96,-14.486,6.182,-1
usp0000mq4,1977-02-24 08:51:16.600000,-11.686,-13.622,5.81,-1
usp0000n1v,1977-03-22 04:11:37.700000,-12.521,-14.724,5.451,-1
usp0000qky,1977-09-12 14:18:06.600000,-12.784,-14.693,5.686,-1
usp0001c7c,1981-02-16 04:58:12.120000,-11.426,-12.98,5.856,-1
usp0001e3t,1981-06-12 08:07:35.700000,-12.923,-14.777,5.37,-1
usp0001j0p,1982-01-13 10:30:51.960000,-11.444,-13.101,5.451,-1
usp0001pe2,1982-09-05 11:28:53.180000,-12.523,-14.751,5.532,-1
usp0001yqs,1983-09-29 06:34:15.330000,-12.723,-14.715,5.613,-1
usp0001yqt,1983-09-29 06:48:50.260000,-12.773,-14.607,5.37,-1
usp00028tb,1984-11-05 04:17:33,-11.832,-13.866,5.9,-1
usp0003m4j,1988-09-20 21:58:35.790000,-12.425,-14.939,5.1,-1
usp0003y8a,1989-08-08 20:08:45.970000,-11.598,-14.175,5.624,-1
usp0003y8b,1989-08-08 20:17:57.540000,-11.592,-14.214,5.3,-1
usp0005anw,1992-07-11 08:40:05.120000,-12.183,-14.87,5.451,-1
usp0005anx,1992-07-11 08:41:15.110000,-12.842,-14.358,5.532,-1
usp0005e0b,1992-09-15 04:07:26.460000,-12.295,-14.776,5.37,-1
usp0005y0y,1993-08-06 09:50:12.870000,-11.556,-13.236,5.2,-1
usp00077k0,1995-11-26 17:31:02.850000,-11.5001357845,-13.5192564218,5.562,1
usp0007jak,1996-06-08 16:07:03.750000,-12.2076510606,-14.3162935189,5.2,1
usp0007jam,1996-06-08 16:37:03.780000,-12.201956893,-14.3147212727,5.2,1
usp0008grs,1998-03-01 06:58:24.050000,-11.8668729845,-14.4883938845,5.2,1
