time,mag,magType,lat,lon,dep,text,id
2020-06-29 19:40:12.948000,5.7,mww,-11.5062,-13.5309,10000.0,Ascension Island region,us7000ael8
2020-02-27 04:11:10.694000,5.1,mww,-12.283,-14.7983,10000.0,Southern Mid-Atlantic Ridge,us60008535
2020-01-17 06:37:52.714000,5.8,mww,-11.6371,-13.782,10000.0,Ascension Island region,us700071ij
2018-08-12 02:56:59.330000,5.2,mww,-12.8681,-14.6735,10000.0,Southern Mid-Atlantic Ridge,us1000g736
2018-08-10 07:18:31.900000,5.2,mb,-12.8612,-14.6415,10000.0,Southern Mid-Atlantic Ridge,us1000g68v
2018-08-10 07:17:05.280000,5.2,mb,-12.8267,-14.6546,10000.0,Southern Mid-Atlantic Ridge,us1000g68u
2017-11-11 00:36:14.980000,6.1,mww,-11.7424,-14.1142,10000.0,Ascension Island region,us2000blul
2017-07-09 06:42:00.730000,5.0,mb,-11.6068,-13.1802,10000.0,Ascension Island region,us100098c8
2017-05-02 15:10:22.440000,5.9,mww,-11.7119,-13.9378,10000.0,Ascension Island region,us10008n0i
2017-04-14 05:29:38.130000,5.2,mww,-12.3571,-14.7969,10000.0,Southern Mid-Atlantic Ridge,us10008hgq
2017-04-13 02:58:32.730000,5.3,mb,-12.3413,-14.7744,10000.0,Southern Mid-Atlantic Ridge,us10008h4w
2016-10-26 19:16:02.860000,5.1,mb,-11.498,-13.751,10000.0,Ascension Island region,us10007261
2016-06-29 09:59:31.150000,5.1,mb,-12.9116,-14.609,10000.0,Southern Mid-Atlantic Ridge,us10006037
2016-06-29 09:58:56.880000,5.1,mb,-12.8188,-14.6708,10000.0,Southern Mid-Atlantic Ridge,us200067xa
2013-05-24 17:52:28.510000,5.2,mb,-12.444,-14.809,7300.0,Southern Mid-Atlantic Ridge,usb000h5g6
2012-12-27 16:33:59.870000,5.2,mb,-12.396,-14.876,10000.0,southern Mid-Atlantic Ridge,usp000jxg1
2012-04-25 13:27:20.980000,5.2,mb,-12.771,-14.631,10000.0,southern Mid-Atlantic Ridge,usp000jjkc
2011-10-25 06:07:31.090000,5.3,mwc,-11.699,-14.394,10000.0,Ascension Island region,usp000j9vq
2011-09-29 00:08:03.900000,5.1,mwc,-12.95,-14.516,10000.0,southern Mid-Atlantic Ridge,usp000j8q4
2011-06-02 12:30:27.110000,5.2,mwc,-11.701,-13.212,10000.0,Ascension Island region,usp000j2k3
2009-07-02 03:20:49.140000,5.4,mwc,-11.633,-14.159,10000.0,Ascension Island region,usp000gyur
2009-03-27 10:00:47.140000,5.0,mwc,-12.804,-14.551,10000.0,southern Mid-Atlantic Ridge,usp000gvfm
2009-03-22 12:54:51.360000,5.0,mwc,-12.738,-14.687,10000.0,southern Mid-Atlantic Ridge,usp000gva9
2009-03-22 08:02:26.740000,5.1,mwc,-12.867,-14.56,10000.0,southern Mid-Atlantic Ridge,usp000gv9y
2009-03-22 06:06:35.970000,5.3,mwc,-12.826,-14.553,10000.0,southern Mid-Atlantic Ridge,usp000gv9v
2009-03-22 05:52:28.420000,5.1,mb,-12.931,-14.59,10000.0,southern Mid-Atlantic Ridge,usp000gv9u
2008-12-16 17:26:29.440000,5.0,mwc,-11.628,-13.412,10000.0,Ascension Island region,usp000gqqx
2008-07-11 09:28:17.830000,5.0,mwc,-11.598,-14.486,10000.0,Ascension Island region,usp000gbw4
2007-08-16 01:20:31.210000,5.1,mb,-12.362,-14.864,10000.0,southern Mid-Atlantic Ridge,usp000fjtz
2006-11-17 23:42:40.810000,5.0,mwc,-12.718,-14.695,10000.0,southern Mid-Atlantic Ridge,usp000ey2d
2006-11-13 08:53:57.750000,5.2,mwc,-12.509,-14.773,10000.0,southern Mid-Atlantic Ridge,usp000ex9h
2006-07-10 07:21:37.880000,5.5,mwb,-11.627,-13.432,10000.0,Ascension Island region,usp000enaf
2004-09-28 13:39:50.570000,5.1,mwc,-12.833,-14.687,10000.0,southern Mid-Atlantic Ridge,usp000d57u
2004-07-06 15:31:52.960000,5.4,mwc,-11.725,-13.523,10000.0,Ascension Island region,usp000czp9
2004-07-06 15:09:41.260000,5.3,mwc,-11.601,-13.654,10000.0,Ascension Island region,usp000czp7
2004-07-06 15:02:54.880000,5.4,mwc,-11.776,-13.375,10000.0,Ascension Island region,usp000czp4
2003-02-13 08:23:47.240000,5.1,mwc,-12.914,-14.544,10000.0,southern Mid-Atlantic Ridge,usp000bqke
2002-05-13 13:20:48.430000,5.0,mwc,-12.499,-14.717,10000.0,southern Mid-Atlantic Ridge,usp000b48r
2001-08-28 17:40:35.850000,5.2,mwc,-11.478,-13.251,10000.0,Ascension Island region,usp000an7e
2001-07-25 19:47:06.710000,5.2,mwc,-11.694,-14.306,10000.0,Ascension Island region,usp000ak5a
1999-12-25 07:52:27.710000,5.0,mwc,-12.916,-14.503,10000.0,southern Mid-Atlantic Ridge,usp0009k93
1999-03-31 09:01:08.130000,5.0,mb,-12.331,-14.84,10000.0,southern Mid-Atlantic Ridge,usp00095hq
1998-06-18 04:17:54.980000,6.3,mwc,-11.572,-13.894,10000.0,Ascension Island region,usp0008q2e
1998-03-01 06:58:24.050000,5.2,mwc,-12.33,-14.854,10000.0,southern Mid-Atlantic Ridge,usp0008grs
