id,time,lat,lon,mag,along_strike_distance
usp00046ee,1990-03-11 00:55:31.290000,-37.278,78.241,5.3,8972.30377016
usp0004cd1,1990-07-22 16:32:18.120000,-36.918,78.381,5.3,8979.81235579
usp0005eht,1992-09-26 07:39:21.430000,-36.978,78.298,5.7,8973.27595445
usp0005ehw,1992-09-26 08:07:58.120000,-37.081,78.109,5.37,8957.98255869
usp0007p41,1996-08-27 10:50:49.420000,-36.883,78.486,6.0,8988.63996863
usp0009sgz,2000-05-06 23:59:06.370000,-36.889,78.575,5.3,8996.59686601
usp000c1ey,2003-07-01 22:29:05.400000,-37.064,78.177,5.4,8963.75162234
usp000cx5a,2004-06-05 06:03:45.450000,-37.592,78.066,5.1,8961.25362525
usp000edrv,2006-04-05 17:43:15.630000,-37.28,78.278,5.8,8975.58763784
usp000eggk,2006-05-07 14:17:35.170000,-36.805,78.545,6.1,8992.84064688
usp000eggq,2006-05-07 14:47:17.260000,-36.881,78.168,5.2,8960.47040916
usp000egh2,2006-05-07 16:45:08.210000,-36.829,78.57,5.5,8995.36961934
usp000f3xb,2007-01-30 02:35:10.600000,-37.856,77.995,5.2,8958.73802383
usp000f428,2007-02-01 00:14:26.050000,-37.654,78.066,5.5,8962.11648286
usp000hdp1,2010-06-07 05:21:38.540000,-36.984,78.401,5.1,8982.45983635
usp000hhd8,2010-08-02 21:47:41.870000,-37.404,78.287,5.2,8978.06169087
usp000hp9b,2010-11-08 07:37:08.920000,-37.094,78.226,5.2,8968.48341089
usp000hqrh,2010-12-10 10:13:43.410000,-37.372,78.078,5.2,8959.25632868
usp000hqy2,2010-12-15 04:23:03.670000,-37.31,78.169,5.3,8966.40482228
usp000j9f1,2011-10-17 07:21:55.820000,-37.395,78.4,5.0,8987.87107254
usp000j9g7,2011-10-17 21:28:26.490000,-37.525,78.114,5.1,8964.53235563
usp000j9gd,2011-10-18 04:38:37.710000,-37.426,78.219,5.0,8972.38729114
us20002mbq,2015-06-05 14:54:00.970000,-37.1708,78.1817,5.6,8965.62095056
us100031wx,2015-08-13 10:39:53.840000,-37.0152,78.0623,6.0,8952.95797257
us100031xf,2015-08-13 11:28:15.300000,-36.8531,78.3516,5.6,8976.34555427
us20003gqk,2015-09-05 15:05:45.040000,-37.3417,78.1671,5.613,8966.67202501
us10004f8d,2016-01-17 19:25:16.790000,-38.0132,77.9091,5.451,8953.47313688
us1000hdxw,2018-10-18 15:18:04.160000,-37.0453,78.2413,5.37,8969.17439172
