id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us1000hdxw,2018-10-18 15:18:04.160000,-37.0429205529,78.2396714141,5.37,usp000hdp1,2010-06-07 05:21:38.540000,-37.0328444359,78.2468342459,5.1,1.28706625896,1.28809144906,5.45831182373,29.680176766,31.6799484424,55.6303440278,1,1
us1000hdxw,2018-10-18 15:18:04.160000,-37.0429205529,78.2396714141,5.37,usp0009sgz,2000-05-06 23:59:06.370000,-36.8476032788,78.5424937821,5.3,34.6038995397,36.197053194,7.40033202076,51.3066089417,50.4870138615,14.5133404022,1,1
us1000hdxw,2018-10-18 15:18:04.160000,-37.0429205529,78.2396714141,5.37,us10004f8d,2016-01-17 19:25:16.790000,-37.8820194931,77.8016871349,5.451,100.86761973,39.3174865257,49.6454639404,202.45798378,192.812062483,59.0427620899,1,1
us10004f8d,2016-01-17 19:25:16.790000,-37.8820194931,77.8016871349,5.451,usp000hdp1,2010-06-07 05:21:38.540000,-37.0328444359,78.2468342459,5.1,102.144602657,108.009951043,29.7183798314,22.8151579256,10.1518186902,16.052385531,1,1
us10004f8d,2016-01-17 19:25:16.790000,-37.8820194931,77.8016871349,5.451,usp000eggq,2006-05-07 14:47:17.260000,-37.1179004447,78.0693289285,5.2,88.047448623,76.0117144768,34.0482178916,15.6739106258,333.283702489,33.374398428,1,1
us10004f8d,2016-01-17 19:25:16.790000,-37.8820194931,77.8016871349,5.451,usp000edrv,2006-04-05 17:43:15.630000,-37.3448326148,78.1549530062,5.8,67.28739266,78.2156835685,21.2277225076,27.7236512227,42.0901336625,19.4922538931,1,1
us1000hdxw,2018-10-18 15:18:04.160000,-37.0429205529,78.2396714141,5.37,us20003gqk,2015-09-05 15:05:45.040000,-37.3191214351,78.1647079184,5.613,31.3675396851,21.5172097677,15.8086584219,192.229757976,184.096993363,45.322376064,1,1
us10004f8d,2016-01-17 19:25:16.790000,-37.8820194931,77.8016871349,5.451,us20003gqk,2015-09-05 15:05:45.040000,-37.3191214351,78.1647079184,5.613,70.2198016337,79.2554558436,16.8565243028,27.2740164713,36.1708159674,14.058811531,1,1
us20003gqk,2015-09-05 15:05:45.040000,-37.3191214351,78.1647079184,5.613,us100031wx,2015-08-13 10:39:53.840000,-36.9854663981,78.343198816,6.0,40.2811809895,43.9227173684,12.1973088714,23.2347176926,21.2063535592,20.6085781265,1,1
us20003gqk,2015-09-05 15:05:45.040000,-37.3191214351,78.1647079184,5.613,us20002mbq,2015-06-05 14:54:00.970000,-37.1530054776,78.0619698578,5.6,20.5667998464,23.7648540526,12.1910091976,333.656534771,338.071569517,35.8280236156,1,1
us20003gqk,2015-09-05 15:05:45.040000,-37.3191214351,78.1647079184,5.613,usp000hqy2,2010-12-15 04:23:03.670000,-37.4962946875,78.0709117179,5.3,21.3451927776,54.0832905726,27.2033178912,202.86639683,194.286701925,33.9046350958,1,1
us20003gqk,2015-09-05 15:05:45.040000,-37.3191214351,78.1647079184,5.613,usp000f428,2007-02-01 00:14:26.050000,-37.736723964,77.8704081553,5.5,53.1499259882,53.6605466333,7.33384622377,209.214440192,206.982713358,9.58760669733,1,1
us20003gqk,2015-09-05 15:05:45.040000,-37.3191214351,78.1647079184,5.613,usp000egh2,2006-05-07 16:45:08.210000,-36.9463765146,78.4109674717,5.5,46.7980835048,48.1363103623,14.6341445856,27.95164248,26.5269561712,29.1314369386,1,1
us20003gqk,2015-09-05 15:05:45.040000,-37.3191214351,78.1647079184,5.613,usp000edrv,2006-04-05 17:43:15.630000,-37.3448326148,78.1549530062,5.8,2.98160908154,2.97869537693,6.45873251296,196.85188402,197.084559555,51.528404956,1,1
us20003gqk,2015-09-05 15:05:45.040000,-37.3191214351,78.1647079184,5.613,usp0009sgz,2000-05-06 23:59:06.370000,-36.8476032788,78.5424937821,5.3,62.1820228058,57.8292111044,24.066166184,32.8110953243,35.9265689298,37.9505030261,1,1
us1000hdxw,2018-10-18 15:18:04.160000,-37.0429205529,78.2396714141,5.37,us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,5.42791129826,5.47033253573,8.08017633798,238.391305953,237.274910811,66.6985160092,1,1
us10004f8d,2016-01-17 19:25:16.790000,-37.8820194931,77.8016871349,5.451,us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,96.5252053094,72.5291688184,20.619048801,20.8332147041,15.9967314665,16.5182964814,1,1
us20003gqk,2015-09-05 15:05:45.040000,-37.3191214351,78.1647079184,5.613,us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,27.8842401968,30.4471171918,11.8659408979,4.20366746199,3.92695041721,29.5892115173,1,1
us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,us100031wx,2015-08-13 10:39:53.840000,-36.9854663981,78.343198816,6.0,16.6273230997,16.6272164595,0.85034894955,56.3710713167,56.2777758542,3.05862688557,1,1
us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,us20002mbq,2015-06-05 14:54:00.970000,-37.1530054776,78.0619698578,5.6,14.5853323072,14.131631688,4.96064071366,229.970762792,230.447339003,28.6238535202,1,1
us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,usp000hqy2,2010-12-15 04:23:03.670000,-37.4962946875,78.0709117179,5.3,48.5895513051,54.0948838445,22.970727352,192.270858124,189.134715597,22.942658298,1,1
us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,usp000hhd8,2010-08-02 21:47:41.870000,-37.4795358151,77.9835123085,5.2,49.0762853019,50.8516526992,12.8982309599,201.59185387,199.780343709,18.4187658365,1,1
us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,usp000f428,2007-02-01 00:14:26.050000,-37.736723964,77.8704081553,5.5,79.3005995093,79.687554303,55.2643836647,200.651284984,201.224770766,62.3906106596,1,1
us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,usp000egh2,2006-05-07 16:45:08.210000,-36.9463765146,78.4109674717,5.5,24.0565805568,24.1374012533,4.68235800742,55.7635153084,55.2402319271,11.0937452134,1,1
us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,usp000eggq,2006-05-07 14:47:17.260000,-37.1179004447,78.0693289285,5.2,11.8630921678,11.0230172228,2.68539310141,242.465129532,239.22397089,18.8988321713,1,1
us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,usp000edrv,2006-04-05 17:43:15.630000,-37.3448326148,78.1549530062,5.8,30.8004141265,30.3904602088,21.9569865604,185.404349201,187.198726048,52.0275984562,1,1
us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,usp0009sgz,2000-05-06 23:59:06.370000,-36.8476032788,78.5424937821,5.3,39.9959713706,40.256193103,4.21373549823,52.2969925363,52.9862970232,6.78010450774,1,1
us100031xf,2015-08-13 11:28:15.300000,-37.0685433741,78.1876914537,5.6,usp0007p41,1996-08-27 10:50:49.420000,-36.9655348898,78.3787691061,6.0,20.4897673991,20.4926202623,7.25048787153,56.1454187081,56.1252109218,27.341923792,1,1
