id,time,lat,lon,mag,along_strike_distance
us7000be5j,2020-08-28 02:24:18.151000,-54.7673,1.4756,5.9,237.942435494
us2000c3y6,2017-12-13 18:03:43.920000,-54.2189,2.1628,6.5,310.415051542
us10008dl3,2017-03-31 16:09:44.700000,-53.9657,3.0646,5.451,374.038481502
us1000787e,2016-11-15 12:31:08.590000,-53.9001,2.5532,5.532,352.970441938
usc000jtxz,2013-09-13 19:30:35.210000,-53.7514,2.5397,5.37,363.589665593
usb000gch7,2013-04-20 05:11:57.540000,-54.78,1.173,5.8,221.341082887
usp000j1fc,2011-05-12 03:41:00.840000,-54.645,1.63,5.1,253.947910935
usp000g88q,2008-06-01 00:31:14.950000,-54.816,0.979,5.5,209.010088133
usp000g847,2008-05-30 10:44:11.730000,-54.744,0.987,5.7,214.446291729
usp000fq63,2007-10-09 07:22:22.620000,-54.679,1.011,5.2,220.308403997
usp000eang,2006-02-23 04:04:05.020000,-54.669,1.765,6.2,259.504302553
usp000dzys,2005-09-22 19:18:06.410000,-54.214,1.949,5.3,300.186210421
usp000c6tr,2003-09-05 07:46:48.210000,-54.715,1.089,5.5,221.569076616
usp000c3ts,2003-08-01 01:37:13.790000,-54.647,1.253,5.5,234.549016138
usp000bvcx,2003-04-17 14:50:48.580000,-54.624,1.432,6.5,245.168414693
usp0009k59,1999-12-22 12:11:27.620000,-54.345,1.974,5.7,291.999359163
usp0005g9m,1992-11-04 14:49:08.820000,-54.147,2.792,5.37,347.588915045
usp00053ep,1992-02-24 06:39:53.410000,-53.674,2.524,5.451,368.882947002
usp00048ns,1990-04-30 05:54:41.490000,-54.279,1.271,6.0,263.218424478
