net,sta,lat,lon,dep,azi,dist
G,TAM,22.791491,5.52838,1410.0,3.44460354953,8536.74111768
G,EDA,3.778868,10.153427,140.0,9.71668895294,6471.66356966
IU,MSKU,-1.6557,13.6116,312.0,14.6848903274,5922.88007872
G,BNG,4.435,18.547001,378.0,19.2688782904,6680.63783357
IU,TSUM,-19.2022,17.5838,1260.0,25.1703173562,4108.45865488
II,MBAR,-0.6019,30.7382,1390.0,34.5067023164,6502.11983574
II,SUR,-32.3797,20.8117,1770.0,39.3627792631,2849.04034426
II,UOSS,24.9453,56.2042,284.4,47.5948854869,10191.6977409
IU,KBL,34.5408,69.0432,1920.0,52.2355442653,11743.1614824
II,NIL,33.6506,73.2686,629.0,55.7673674397,11885.2239833
II,ABPO,-19.018,47.229,1528.0,62.7194150683,5474.19931169
G,FOMA,-24.97565,46.978877,28.0,67.1287055439,4918.58855701
G,RER,-21.1712,55.739861,834.0,72.7761122458,5793.21163901
G,ROCAM,-19.75553,63.37014,52.0,78.7019038541,6400.35314113
IU,CHTO,18.8141,98.9443,420.0,84.4313836221,12137.49981
IC,QIZ,19.0291,109.8445,240.0,93.0807026279,12866.7030393
G,CRZF,-46.43096,51.855308,140.0,96.9700998022,3580.78361674
G,AIS,-37.796349,77.569183,35.9,104.683693375,5830.46768128
G,PAF,-49.351,70.210708,17.0,112.342382929,4558.87983926
II,KAPI,-5.0142,119.7517,300.0,116.077015725,11307.1538456
IU,MBWA,-21.159,119.7313,190.0,124.463541611,9781.13478449
IU,NWAO,-32.9277,117.239,380.0,128.824933968,8544.11771659
II,WRAB,-19.9336,134.36,366.0,135.916873033,10629.1019771
IU,PMG,-9.4047,147.1597,90.0,143.353874732,12241.93718
IU,CASY,-66.2792,110.5354,10.0,149.202173637,5371.42896895
II,TAU,-42.9099,147.3204,132.0,154.919880819,8753.07057103
G,CCD,-75.1065,123.305,3240.0,161.957158195,5036.10499605
AU,MCQ,-54.4986,158.9561,14.0,166.033743408,7772.13426098
IU,TARA,1.3549,172.9229,20.0,168.836517141,14088.5552712
IU,QSPA,-89.9289,144.4382,2850.0,179.926086935,4000.09444642
IU,SPA,-90.0,0.0,2927.0,180.0,3993.7883279
IU,AFI,-13.9085,-171.7827,706.0,186.581333055,12433.8647278
IU,RAR,-21.2125,-159.7733,28.0,197.466693861,11467.5070014
IU,ADK,51.8823,-176.6842,130.0,199.193803526,19730.4362837
G,PPTF,-17.5896,-149.565247,705.0,207.948096829,11600.2922978
IU,POHA,19.7573,-155.5326,1990.0,215.262874753,15730.5351477
G,TAOE,-8.85492,-140.14775,800.0,219.985881906,12168.5236769
IU,PMSA,-64.7744,-64.0489,40.0,225.08961162,3721.12506981
II,RPN,-27.1267,-109.3344,110.0,237.44717491,8864.0399488
II,EFI,-51.6753,-58.0637,110.0,248.888987711,3918.85676657
II,HOPE,-54.2836,-36.4879,20.0,254.019851532,2471.53817682
IU,TRQA,-38.0568,-61.9787,540.0,263.531557763,5055.05055535
IU,LCO,-29.011,-70.7005,2274.0,265.015785749,6336.84677079
IU,LVC,-22.6127,-68.9111,2960.0,271.291954648,6758.39487634
IU,OTAV,0.2376,-78.4508,3510.0,277.845943885,9401.26134454
IU,SAML,-8.9489,-63.1831,120.0,285.257429517,7595.39794001
G,SPB,-23.592691,-47.426979,647.0,289.696642516,5299.57192699
CU,GRGR,12.1324,-61.654,195.0,298.390201793,9456.33670877
G,CAY,4.948,-52.317001,25.0,302.763074498,8248.5285884
IU,BBSR,32.371299,-64.696299,30.0,306.906600859,11515.1345592
IU,RCBR,-5.8274,-35.9014,400.0,313.355459439,6347.77216192
G,TRIS,-37.0681,-12.3152,60.0,324.42622105,2193.8131947
II,SACV,14.9702,-23.6085,387.0,334.052207348,8037.94206562
II,ASCN,-7.9327,-14.3601,173.0,338.048240614,5333.59605059
IU,MACI,28.2502,-16.508199,1674.0,343.698609167,9304.68939581
II,SHEL,-15.9594,-5.7455,537.0,348.158016687,4294.56058171
IU,PAB,39.5446,-4.3499,950.0,355.155664015,10404.3812426
