id,time,lat,lon,mag,along_strike_distance
usp00064f1,1993-11-30 04:59:26.110000,-59.047,-18.158,5.9,6737.75447689
usp00087d3,1997-09-11 00:47:26.500000,-59.053,-16.665,5.5,6708.87631385
usp0009meq,2000-01-21 05:04:10.610000,-59.287,-17.224,5.8,6744.15364625
usp000dnxj,2005-04-21 17:17:29.120000,-59.23,-17.081,5.4,6735.41518891
usp000dvmk,2005-07-21 12:02:40.380000,-59.014,-16.784,5.3,6707.04364167
usp000gcaa,2008-07-16 07:24:23.470000,-59.345,-17.996,5.0,6765.47627994
usp000hv6a,2011-02-28 11:04:16.490000,-59.233,-17.012,5.6,6734.40232583
usp000hv6d,2011-02-28 12:57:15.520000,-59.077,-16.85,5.1,6714.92297721
usp000jj50,2012-04-17 19:03:56.370000,-59.016,-16.612,6.2,6703.9813147
usp000jvsw,2012-11-19 04:09:26.720000,-59.391,-18.067,5.451,6771.69971747
usb000s4rb,2014-08-20 23:18:20.320000,-59.1064,-17.1165,5.5,6723.14424962
us1000871g,2017-03-04 20:11:49.780000,-59.1161,-17.7372,5.37,6736.40717582
us20008uzq,2017-03-27 10:48:50.990000,-59.1029,-17.7216,5.3,6734.71690211
us2000bnnl,2017-11-15 02:02:25.280000,-59.0311,-17.1009,5.6,6714.94876303
us70005e1r,2019-09-10 09:53:00.772000,-58.8474,-16.2765,5.37,6679.91890389
