id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us70005e1r,2019-09-10 09:53:00.772000,-58.8418677846,-16.3185706183,5.37,us20008uzq,2017-03-27 10:48:50.990000,-58.7981340738,-16.8549095496,5.3,31.3674871755,24.5551105622,20.2317288928,278.705071638,300.33588435,35.2777637366,1,1
us70005e1r,2019-09-10 09:53:00.772000,-58.8418677846,-16.3185706183,5.37,usb000s4rb,2014-08-20 23:18:20.320000,-58.8016328204,-16.5684621877,5.5,15.116433601,30.0227646216,17.1789261016,287.139901412,305.490546702,38.4652359167,1,1
us70005e1r,2019-09-10 09:53:00.772000,-58.8418677846,-16.3185706183,5.37,usp000jvsw,2012-11-19 04:09:26.720000,-58.8745221142,-16.9585405081,5.451,37.1121274922,77.6421610191,24.9813559049,264.101473929,251.282214863,31.9916778382,1,1
us70005e1r,2019-09-10 09:53:00.772000,-58.8418677846,-16.3185706183,5.37,usp000hv6a,2011-02-28 11:04:16.490000,-58.8079948261,-16.6691443048,5.6,20.5999913371,13.5782066325,28.3286025786,280.404097057,296.980205905,52.6094739899,1,1
us70005e1r,2019-09-10 09:53:00.772000,-58.8418677846,-16.3185706183,5.37,usp000dvmk,2005-07-21 12:02:40.380000,-58.8147135812,-16.3517599044,5.3,3.58110235949,1.78342822352,11.7169376199,327.619862378,327.644497925,56.8356654787,1,1
us70005e1r,2019-09-10 09:53:00.772000,-58.8418677846,-16.3185706183,5.37,us2000bnnl,2017-11-15 02:02:25.280000,-58.7963828469,-16.4324391457,5.6,8.30380340131,28.7018348097,20.4097305317,307.552421638,256.810330516,51.4898841881,1,1
us2000bnnl,2017-11-15 02:02:25.280000,-58.7963828469,-16.4324391457,5.6,us20008uzq,2017-03-27 10:48:50.990000,-58.7981340738,-16.8549095496,5.3,24.4249380246,25.7141713487,1.50767358869,269.361722024,265.605365442,4.43511546946,1,1
us2000bnnl,2017-11-15 02:02:25.280000,-58.7963828469,-16.4324391457,5.6,us1000871g,2017-03-04 20:11:49.780000,-58.795210542,-16.8326759153,5.37,23.1401176553,20.3266511712,3.03372444598,270.152166227,271.24178241,11.9460853598,1,1
us2000bnnl,2017-11-15 02:02:25.280000,-58.7963828469,-16.4324391457,5.6,usb000s4rb,2014-08-20 23:18:20.320000,-58.8016328204,-16.5684621877,5.5,7.8851924565,6.817076584,6.04851790651,265.688597694,262.938004695,79.8036372466,1,1
us2000bnnl,2017-11-15 02:02:25.280000,-58.7963828469,-16.4324391457,5.6,usp000jvsw,2012-11-19 04:09:26.720000,-58.8745221142,-16.9585405081,5.451,31.604111549,26.3034030614,27.4024588057,253.788577983,281.009436005,55.1362717946,1,1
us2000bnnl,2017-11-15 02:02:25.280000,-58.7963828469,-16.4324391457,5.6,usp000hv6a,2011-02-28 11:04:16.490000,-58.8079948261,-16.6691443048,5.6,13.7436443685,13.8078357093,4.70431488009,264.498409961,264.653694808,27.2957643094,1,1
us2000bnnl,2017-11-15 02:02:25.280000,-58.7963828469,-16.4324391457,5.6,usp000dvmk,2005-07-21 12:02:40.380000,-58.8147135812,-16.3517599044,5.3,5.09063641668,6.80640150914,3.09115695115,113.681935404,109.29217023,37.9289910222,1,1
us2000bnnl,2017-11-15 02:02:25.280000,-58.7963828469,-16.4324391457,5.6,usp000dnxj,2005-04-21 17:17:29.120000,-58.7942561464,-16.5333133603,5.4,5.83695537709,5.83691729838,0.93693890557,272.282883444,272.295727133,12.8613240921,1,1
us2000bnnl,2017-11-15 02:02:25.280000,-58.7963828469,-16.4324391457,5.6,usp0009meq,2000-01-21 05:04:10.610000,-58.8046920113,-16.6314714303,5.8,11.5426944342,11.7312131607,11.9082348076,265.315580549,267.877957464,87.4072234515,1,1
us2000bnnl,2017-11-15 02:02:25.280000,-58.7963828469,-16.4324391457,5.6,usp00087d3,1997-09-11 00:47:26.500000,-58.8592717779,-16.0696609216,5.5,22.0947082101,14.9636078058,18.2816205331,108.640288382,114.66202792,83.6394961842,1,1
us20008uzq,2017-03-27 10:48:50.990000,-58.7981340738,-16.8549095496,5.3,usp000jvsw,2012-11-19 04:09:26.720000,-58.8745221142,-16.9585405081,5.451,10.4027625833,18.901006381,35.9647319789,215.074641309,215.163152435,73.932650351,1,1
us20008uzq,2017-03-27 10:48:50.990000,-58.7981340738,-16.8549095496,5.3,usp000hv6a,2011-02-28 11:04:16.490000,-58.8079948261,-16.6691443048,5.6,10.793846489,10.6912464234,9.09694088362,95.9201014853,92.2938383141,74.6778561792,1,1
us70005e1r,2019-09-10 09:53:00.772000,-58.8418677846,-16.3185706183,5.37,us1000871g,2017-03-04 20:11:49.780000,-58.795210542,-16.8326759153,5.37,30.1548476465,26.2861385956,15.3452271539,279.704577385,293.104167759,30.13377922,1,1
us20008uzq,2017-03-27 10:48:50.990000,-58.7981340738,-16.8549095496,5.3,us1000871g,2017-03-04 20:11:49.780000,-58.795210542,-16.8326759153,5.37,1.32602127673,0.899323128066,1.81456082402,75.7928360551,75.7757617838,58.4553472284,1,1
us1000871g,2017-03-04 20:11:49.780000,-58.795210542,-16.8326759153,5.37,usb000s4rb,2014-08-20 23:18:20.320000,-58.8016328204,-16.5684621877,5.5,15.2911596054,14.1786236816,12.492760053,92.7945198466,95.1930728155,75.9664281788,1,1
us1000871g,2017-03-04 20:11:49.780000,-58.795210542,-16.8326759153,5.37,usp000jvsw,2012-11-19 04:09:26.720000,-58.8745221142,-16.9585405081,5.451,11.4405388219,29.4068932382,49.8216602459,219.391874349,220.211536211,66.7050808362,1,1
us1000871g,2017-03-04 20:11:49.780000,-58.795210542,-16.8326759153,5.37,usp000hv6a,2011-02-28 11:04:16.490000,-58.8079948261,-16.6691443048,5.6,9.5597003407,9.63268373524,7.42968138529,98.6368974301,114.398570319,64.8617501368,1,1
us1000871g,2017-03-04 20:11:49.780000,-58.795210542,-16.8326759153,5.37,usp000dvmk,2005-07-21 12:02:40.380000,-58.8147135812,-16.3517599044,5.3,27.8816483652,29.0168553335,26.3814672653,94.6745468555,90.3379408012,86.5392696518,1,1
us1000871g,2017-03-04 20:11:49.780000,-58.795210542,-16.8326759153,5.37,usp000dnxj,2005-04-21 17:17:29.120000,-58.7942561464,-16.5333133603,5.4,17.3085584352,17.3085724502,2.74926646611,89.77610506,83.3223456583,12.1736932202,1,1
us1000871g,2017-03-04 20:11:49.780000,-58.795210542,-16.8326759153,5.37,usp00087d3,1997-09-11 00:47:26.500000,-58.8592717779,-16.0696609216,5.5,44.6476756406,45.4854206436,25.67470886,99.5231080659,92.8197222637,51.3042399713,1,1
us20008uzq,2017-03-27 10:48:50.990000,-58.7981340738,-16.8549095496,5.3,usb000s4rb,2014-08-20 23:18:20.320000,-58.8016328204,-16.5684621877,5.5,16.5636484249,17.8957691787,6.24680214037,91.4707589201,84.1352789669,31.0595166057,1,1
usb000s4rb,2014-08-20 23:18:20.320000,-58.8016328204,-16.5684621877,5.5,usp000jvsw,2012-11-19 04:09:26.720000,-58.8745221142,-16.9585405081,5.451,23.9436516019,17.8922838517,20.9626466001,250.011123068,320.892619898,53.5237404378,1,1
usb000s4rb,2014-08-20 23:18:20.320000,-58.8016328204,-16.5684621877,5.5,usp000hv6a,2011-02-28 11:04:16.490000,-58.8079948261,-16.6691443048,5.6,5.86244145513,5.69616855903,4.35756056566,263.013821711,260.004402357,69.1633730573,1,1
