id,time,lat,lon,mag,group
usp00087d3,1997-09-11 00:47:26.500000,-58.8736963626,-16.0624668744,5.5,1
usp0009meq,2000-01-21 05:04:10.610000,-58.8153030365,-16.6248274059,5.8,1
usp000dnxj,2005-04-21 17:17:29.120000,-58.8087239182,-16.5263393736,5.4,1
usp000dvmk,2005-07-21 12:02:40.380000,-58.8291460915,-16.3447119002,5.3,1
usp000gcaa,2008-07-16 07:24:23.470000,-58.8895265457,-16.9230337103,5.0,1
usp000hv6a,2011-02-28 11:04:16.490000,-58.8199034926,-16.6633216839,5.6,1
usp000hv6d,2011-02-28 12:57:15.520000,-58.8131306773,-16.4018360243,5.1,1
usp000jj50,2012-04-17 19:03:56.370000,-58.8214600539,-15.9213221788,6.2,1
usp000jvsw,2012-11-19 04:09:26.720000,-58.8850203321,-16.9415113663,5.451,1
usb000s4rb,2014-08-20 23:18:20.320000,-58.8160675555,-16.5615089856,5.5,1
us1000871g,2017-03-04 20:11:49.780000,-58.8134269826,-16.825706414,5.37,1
us20008uzq,2017-03-27 10:48:50.990000,-58.8164050212,-16.8483736357,5.3,1
us2000bnnl,2017-11-15 02:02:25.280000,-58.8107879913,-16.4254168327,5.6,1
us70005e1r,2019-09-10 09:53:00.772000,-58.8528534174,-16.3156736006,5.37,1
