id,time,lat,lon,mag,along_strike_distance
usp000482q,1990-04-18 10:33:48.950000,-57.968,-10.316,5.4,6492.37300825
usp0005411,1992-03-08 18:45:22.740000,-58.055,-10.559,5.451,6504.89862418
usp0006jh8,1994-09-15 23:47:30.500000,-57.803,-8.769,6.0,6456.43381215
usp00084b9,1997-07-04 09:54:02.700000,-58.055,-11.18,5.5,6513.01481274
usp0008qc2,1998-06-23 14:36:54.680000,-58.358,-13.792,5.6,6584.47808349
usp0009dfc,1999-08-21 21:51:11.470000,-58.311,-13.196,6.2,6569.93915437
usp000a7zr,2001-01-19 09:04:34.560000,-58.161,-9.472,6.0,6503.36639018
usp000becf,2002-10-12 14:48:36.140000,-58.857,-14.196,5.37,6644.42027197
usp000bsup,2003-03-17 04:10:06.450000,-58.203,-11.203,5.8,6529.37492106
usp000cmqq,2004-02-21 02:34:42.700000,-58.425,-14.963,6.6,6611.41682924
usp000cu70,2004-05-05 04:57:52.630000,-58.182,-11.385,5.9,6529.55437604
usp000cxs6,2004-06-12 12:41:48.890000,-57.89,-8.261,5.1,6460.70505511
usp000eshe,2006-09-05 16:24:13.970000,-57.918,-7.178,5.1,6453.60816584
usp000f6az,2007-03-08 11:14:31.510000,-58.217,-7.615,6.2,6490.43660357
usp000gvx1,2009-04-08 06:26:54.680000,-58.096,-6.263,5.6,6465.77580631
gcmtc200910090414a,2009-10-09 04:15:20,-58.25,-14.75,5.0,6589.08984246
usp000h5ra,2010-01-05 04:55:39.410000,-58.173,-14.695,6.8,6579.94069168
usp000h88q,2010-02-28 16:13:45.160000,-58.205,-7.825,5.4,6491.06687443
usp000hmws,2010-10-09 20:01:26.640000,-58.141,-9.186,5.2,6497.97239299
usp000hqm1,2010-12-07 04:27:22.040000,-57.932,-7.474,5.9,6457.78877488
usp000hqm2,2010-12-07 05:31:03.850000,-58.019,-7.503,5.7,6467.62720163
usp000j2zm,2011-06-11 11:21:51.890000,-58.275,-14.022,5.4,6579.38062397
usb000gwu2,2013-05-16 05:57:00.710000,-57.511,-6.799,5.6,6405.50038257
usc000kmfw,2013-10-24 19:25:10.930000,-58.153,-12.7964,6.7,6546.79092918
us1000h36v,2018-09-27 10:25:47.500000,-58.1849,-9.5902,5.8,6507.33007013
us70005e1r,2019-09-10 09:53:00.772000,-58.8474,-16.2765,5.37,6679.91890389
us700063mh,2019-11-05 20:52:01.485000,-57.9236,-9.3217,6.3,6475.71262874
