id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usp000hqm1,2010-12-07 04:27:22.040000,-57.9717605674,-7.88712842038,5.9,us700063mh,2019-11-05 20:52:01.485000,-57.9635136159,-9.38255050737,6.3,88.5113160104,84.9774842948,3.76184585684,269.960667437,273.133247858,2.5442352423,1,1
usp000f6az,2007-03-08 11:14:31.510000,-57.9860693549,-8.49423690222,6.2,us700063mh,2019-11-05 20:52:01.485000,-57.9635136159,-9.38255050737,6.3,52.6250522115,52.6017812024,3.21595701671,272.359565053,272.7605103,3.39481550083,1,1
usp000j2zm,2011-06-11 11:21:51.890000,-58.1960996719,-13.6382176417,5.4,us70005e1r,2019-09-10 09:53:00.772000,-58.279221739,-15.1680890134,5.37,90.3391625076,90.3437744885,20.7960839239,263.467880041,264.768325165,20.91620696,1,1
usb000gwu2,2013-05-16 05:57:00.710000,-57.9045204028,-7.75208642104,5.6,us1000h36v,2018-09-27 10:25:47.500000,-58.0529953597,-9.80302861096,5.8,122.466560303,108.608439583,17.1162245763,261.371269014,270.018412651,11.6074903072,1,1
usp000hqm2,2010-12-07 05:31:03.850000,-57.9404909582,-7.80410680557,5.7,us1000h36v,2018-09-27 10:25:47.500000,-58.0529953597,-9.80302861096,5.8,118.870503482,115.660074027,17.721703117,263.10230385,263.072734749,11.9872672134,1,1
usp000hqm1,2010-12-07 04:27:22.040000,-57.9717605674,-7.88712842038,5.9,us1000h36v,2018-09-27 10:25:47.500000,-58.0529953597,-9.80302861096,5.8,113.610533255,114.881088693,6.43873461309,264.620281635,262.474933224,4.30098016103,1,1
usp000gvx1,2009-04-08 06:26:54.680000,-57.9349233021,-7.79604744291,5.6,us1000h36v,2018-09-27 10:25:47.500000,-58.0529953597,-9.80302861096,5.8,119.420259475,116.309229271,61.4572436639,262.827664553,267.292651273,60.424578838,1,1
usp000f6az,2007-03-08 11:14:31.510000,-57.9860693549,-8.49423690222,6.2,us1000h36v,2018-09-27 10:25:47.500000,-58.0529953597,-9.80302861096,5.8,77.7075462906,77.7076000004,6.34330547914,263.940689913,265.763904689,5.60242080683,1,1
usp000a7zr,2001-01-19 09:04:34.560000,-57.8942575058,-10.0075273693,6.0,us1000h36v,2018-09-27 10:25:47.500000,-58.0529953597,-9.80302861096,5.8,21.4247403856,21.4250254754,13.6651192081,145.695715588,143.159695392,39.7079890319,1,1
usp0006jh8,1994-09-15 23:47:30.500000,-57.9433363661,-9.184401763,6.0,us1000h36v,2018-09-27 10:25:47.500000,-58.0529953597,-9.80302861096,5.8,38.56782821,39.23327311,21.8156401993,251.2758414,256.103107548,49.1048323769,1,1
usp000h5ra,2010-01-05 04:55:39.410000,-58.2224293434,-14.6268799981,6.8,usc000kmfw,2013-10-24 19:25:10.930000,-58.1305261734,-13.6196660047,6.7,60.1430241046,61.0201138746,3.38709548488,80.6289003797,80.4793488306,3.66679418602,1,1
usp000hqm2,2010-12-07 05:31:03.850000,-57.9404909582,-7.80410680557,5.7,usb000gwu2,2013-05-16 05:57:00.710000,-57.9045204028,-7.75208642104,5.6,5.05505299107,4.70046388641,24.177167247,37.5997381458,37.553936319,61.3521598825,1,1
usp000hqm1,2010-12-07 04:27:22.040000,-57.9717605674,-7.88712842038,5.9,usb000gwu2,2013-05-16 05:57:00.710000,-57.9045204028,-7.75208642104,5.6,10.9577228584,87.0231955651,20.2774312626,46.9439822005,32.6613277887,17.1093152069,1,1
usp000gvx1,2009-04-08 06:26:54.680000,-57.9349233021,-7.79604744291,5.6,usb000gwu2,2013-05-16 05:57:00.710000,-57.9045204028,-7.75208642104,5.6,4.27246554654,4.28075441197,35.473189725,37.5937819464,163.357228011,49.4679518116,1,1
usp000h88q,2010-02-28 16:13:45.160000,-57.9731127233,-8.41176765876,5.4,usp000hqm2,2010-12-07 05:31:03.850000,-57.9404909582,-7.80410680557,5.7,36.1588672526,35.6390267272,35.1273095729,84.4906963671,86.4519607479,84.327192172,1,1
usp0006jh8,1994-09-15 23:47:30.500000,-57.9433363661,-9.184401763,6.0,usp000hqm2,2010-12-07 05:31:03.850000,-57.9404909582,-7.80410680557,5.7,81.7521156858,81.748554275,56.0653668238,90.3628222359,90.9959273929,51.8265301243,1,1
usp000hqm2,2010-12-07 05:31:03.850000,-57.9404909582,-7.80410680557,5.7,usp000hqm1,2010-12-07 04:27:22.040000,-57.9717605674,-7.88712842038,5.9,6.02407941442,4.61135661744,4.39985247299,234.645579036,86.5041944519,75.304096694,1,1
usp000f6az,2007-03-08 11:14:31.510000,-57.9860693549,-8.49423690222,6.2,usp000hqm1,2010-12-07 04:27:22.040000,-57.9717605674,-7.88712842038,5.9,35.9563757583,35.9565180613,1.35867415949,87.7170822764,87.7185221173,2.45664062722,1,1
usp000h88q,2010-02-28 16:13:45.160000,-57.9731127233,-8.41176765876,5.4,usp000hmws,2010-10-09 20:01:26.640000,-57.9437089607,-9.24839671851,5.2,49.6374475483,55.0268218558,13.2596672072,273.428234248,268.158069211,21.9881970979,1,1
