id,time,lat,lon,mag,group
iscgem889261,1955-02-28 20:42:36,-11.417,66.266,6.1,-1
usp0000e8p,1976-01-02 16:30:12.800000,-11.459,66.389,5.37,-1
usp0000e8q,1976-01-02 16:33:49,-11.496,66.352,5.532,-1
usp0000nfb,1977-04-18 16:06:20.400000,-10.566,66.797,5.37,-1
usp0000r6k,1977-10-23 09:44:28.800000,-11.517,66.456,5.37,-1
usp0000xw5,1978-12-11 13:34:16.100000,-12.705,66.277,5.613,-1
usp0001gb2,1981-10-07 13:19:20.140000,-11.443,66.277,6.18,-1
usp0001gb3,1981-10-07 14:14:08.940000,-11.535,66.66,5.37,-1
usp0001nvu,1982-08-06 13:45:26.820000,-10.378,66.248,5.451,-1
usp00028je,1984-10-27 09:55:41.760000,-12.073,65.55,5.6,-1
usp0002a9e,1984-12-21 03:24:05.470000,-11.363,66.336,5.4,-1
usp0002b0k,1985-01-13 23:04:08.790000,-12.354,65.789,5.4,-1
usp0002b0n,1985-01-13 23:13:55.570000,-12.392,65.809,5.37,-1
usp0002sv9,1986-04-12 15:59:44.800000,-12.794,66.19,5.37,-1
usp0003zn5,1989-09-16 05:49:25.770000,-12.708,66.386,5.37,-1
usp00045ss,1990-02-22 16:51:51.060000,-11.458,66.38,5.8,-1
usp0004b9d,1990-07-02 18:27:33.700000,-11.838,65.657,5.3,-1
usp0006f7b,1994-07-05 13:31:17.200000,-11.581454193,65.965300705,5.5,1
usp0007mx6,1996-07-31 10:29:10.400000,-12.7221808449,66.4660268633,5.2,1
usp0007y93,1997-03-04 17:24:17.220000,-10.6222436323,66.5661957848,5.37,1
usp0008hu8,1998-03-22 01:08:57.480000,-11.4595797791,66.4425046038,6.1,1
usp00097ef,1999-05-06 06:54:46.120000,-11.2246947312,66.2142560084,5.2,1
usp00097nj,1999-05-09 12:28:11.110000,-10.8377733808,66.6957154884,5.0,1
usp0009q0z,2000-03-22 07:02:28.380000,-11.5844272183,65.9700954427,5.7,1
usp0009xvh,2000-08-04 03:11:49.970000,-12.6903906724,66.4181574035,5.37,1
usp0009xvj,2000-08-04 03:14:10.970000,-12.776,66.252,5.451,-1
usp000a20a,2000-10-18 02:43:18.080000,-10.9747603479,66.9963542284,5.5,1
usp000acu0,2001-04-08 19:26:43.790000,-11.667887411,65.9625284791,5.37,1
usp000e6rj,2005-12-24 04:09:45.550000,-10.857265348,66.4890118125,5.0,1
usp000ettv,2006-09-25 23:54:45.620000,-10.8617079657,66.7056791751,5.0,1
usp000f6c9,2007-03-09 07:27:31.220000,-11.4858818945,66.4791857177,5.7,1
usp000fybx,2008-02-07 05:45:29.490000,-11.5983188113,65.9267490989,5.37,1
usp000fyeh,2008-02-08 06:34:21.110000,-11.6027717532,65.9235413073,5.2,1
usp000fytm,2008-02-13 08:43:45.810000,-11.6202352797,65.8836928272,5.0,1
usp000gmgx,2008-10-31 13:30:01.660000,-11.5218758666,66.5264805305,5.2,1
usp000gw73,2009-04-16 05:17:19.440000,-12.3059185833,65.4640745122,5.2,1
usp000gx28,2009-05-12 12:38:30.890000,-12.4342097346,65.5172193371,5.8,1
usp000h3an,2009-10-23 11:37:54.140000,-12.4575687334,65.5197581489,5.4,1
usp000hcxn,2010-05-19 05:43:31.100000,-11.6155581371,65.9431682619,5.1,1
usp000j1tx,2011-05-19 07:14:44.290000,-10.587471685,66.5044098215,5.1,1
usp000j2ac,2011-05-27 20:27:38.100000,-12.715517505,66.4605823326,5.0,1
usp000j2ad,2011-05-27 20:28:46.880000,-12.7194405308,66.457265921,5.37,1
usp000j3n2,2011-06-24 05:12:10.180000,-12.715,66.354,5.451,-1
usp000j3n3,2011-06-24 05:18:49.040000,-12.695,66.25,5.613,-1
usp000j3n4,2011-06-24 05:28:48.480000,-12.729,66.261,5.451,-1
usc000t3pq,2014-12-04 10:53:30.110000,-11.6110853125,65.9035276989,5.4,1
us2000b2x2,2017-10-09 00:28:24.530000,-12.7978,66.4262,5.37,-1
us2000b2xs,2017-10-09 03:46:44.160000,-12.7181785492,66.4612858256,5.1,1
us2000kb7f,2019-04-06 07:47:41.264000,-11.4829055073,66.4946508684,5.3,1
us2000kbax,2019-04-06 12:03:33.542000,-11.5036944747,66.5237203159,5.451,1
