net,sta,lat,lon,dep,azi,dist
IU,KBL,34.5408,69.0432,1920.0,3.81770532619,5151.81288408
II,NIL,33.6506,73.2686,629.0,8.8038706207,5104.42754894
G,WUS,41.200716,79.216498,1468.0,12.5405170656,6040.99585231
G,HYB,17.41867,78.55213,510.0,23.7827354418,3537.25768679
IU,ULN,47.8651,107.0532,1610.0,28.2519400422,7779.46419962
IC,LSA,29.7031,91.127,3660.0,30.1310236603,5351.18546908
II,PALK,7.2728,80.7022,460.0,38.8027533819,2693.31086202
IU,CHTO,18.8141,98.9443,420.0,47.4884152598,4985.28647106
IC,SSE,31.0948,121.1908,40.0,49.5414474569,7596.69496012
IC,QIZ,19.0291,109.8445,240.0,55.2985607653,5929.37618208
IU,MIDW,28.2156,-177.3698,20.0,64.2276149477,13262.9766489
G,KIP,21.42,-158.0112,110.0,71.2295360381,15268.5927263
MS,BTDF,1.3617,103.775002,57.0,73.3704146436,4458.43406769
II,KWAJ,8.8019,167.613,0.0,83.7274846875,11503.9977271
II,KAPI,-5.0142,119.7517,300.0,87.560047048,5991.50907749
II,COCO,-12.1901,96.8349,1.0,93.8566515306,3388.3876742
IU,PMG,-9.4047,147.1597,90.0,97.5951944602,8884.39949719
IU,MBWA,-21.159,119.7313,190.0,107.600040923,5831.52996923
IU,CTAO,-20.08765,146.24998,367.0,108.161041671,8594.35514156
IU,NWAO,-32.9277,117.239,380.0,122.727461651,5726.99529536
II,TAU,-42.9099,147.3204,132.0,131.554963319,8439.73373757
IU,SNZO,-41.3087,174.7043,120.0,134.406313236,10679.5778016
AU,MCQ,-54.4986,158.9561,14.0,144.11166629,9148.71043019
G,AIS,-37.796349,77.569183,35.9,159.628047595,3102.91705697
G,CCD,-75.1065,123.305,3240.0,166.639969216,7836.56032105
G,PAF,-49.351,70.210708,17.0,175.160968043,4173.42284983
IU,SPA,-90.0,0.0,2927.0,180.0,8685.9434494
II,RPN,-27.1267,-109.3344,110.0,186.927095028,15653.4977561
G,CRZF,-46.43096,51.855308,140.0,196.196001497,4044.37872587
IU,PMSA,-64.7744,-64.0489,40.0,199.220200457,10528.7014082
II,HOPE,-54.2836,-36.4879,20.0,214.895551598,9718.50169389
IU,TRQA,-38.0568,-61.9787,540.0,221.556100454,12259.1821571
G,RER,-21.1712,55.739861,834.0,224.697741665,1476.39008512
G,FOMA,-24.97565,46.978877,28.0,231.10214093,2445.39137806
II,SUR,-32.3797,20.8117,1770.0,236.215852368,5106.43304611
GT,LBTB,-25.0151,25.596649,1128.0,245.213871102,4457.50791952
II,ABPO,-19.018,47.229,1528.0,246.027527487,2130.98528704
IU,TSUM,-19.2022,17.5838,1260.0,254.790874294,5208.45944983
IU,LSZ,-15.2779,28.1882,1200.0,260.365867134,4071.96844441
II,ASCN,-7.9327,-14.3601,173.0,264.130235804,8762.83343969
IU,SDV,8.8839,-70.634,1620.0,270.222657638,15247.3916619
IU,MSKU,-1.6557,13.6116,312.0,277.036805433,5857.71248676
II,MBAR,-0.6019,30.7382,1390.0,285.369350607,4058.80086262
IU,KMBO,-1.1271,37.2525,1950.0,288.662085298,3359.55964149
IU,MACI,28.2502,-16.508199,1674.0,299.06738368,9885.0490959
II,MSEY,-4.6737,55.4792,475.0,304.537259703,1380.11534075
IU,FURI,8.8952,38.6798,2570.0,306.370907427,3772.28784057
G,ATD,11.530725,42.846634,610.0,314.903819458,3618.86552699
G,SSB2,45.278999,4.542,700.0,321.0036217,8805.82264467
IU,GRFO,49.6909,11.2203,384.0,327.275103338,8640.77394452
II,RAYN,23.5225,45.5032,631.0,330.710402048,4493.54860495
IU,GNI,40.148,44.741,1609.0,340.530107637,6155.46868465
II,UOSS,24.9453,56.2042,284.4,345.848834482,4204.44223477
II,ABKT,37.9304,58.1189,678.0,352.183467731,5572.24917244
II,ARTI,56.3879,58.3849,320.0,355.633149365,7598.18632343
