id,time,lat,lon,mag,group
usp0009pkz,2000-03-12 08:42:23.570000,-16.081706296,66.8830989828,5.3,1
usp000bzcu,2003-06-08 12:57:56.250000,-16.1113896324,66.8406544917,5.3,1
usp000d463,2004-09-13 02:39:03.520000,-16.0627239924,66.9275429201,5.6,1
usp000f6sa,2007-03-15 16:26:04.410000,-16.6710615231,66.7825316778,5.1,1
usp000fagv,2007-04-24 18:21:12.830000,-16.0270519372,67.1367382651,5.3,1
usp000fz2w,2008-02-17 01:31:21.600000,-15.8805774344,67.2367876213,5.4,1
usp000gqnu,2008-12-15 16:50:44.990000,-15.9756378779,67.0661351201,5.37,1
usp000gqqa,2008-12-16 10:19:40.020000,-16.001808225,67.1769571269,5.2,1
usp000h5kj,2010-01-02 00:21:59.690000,-15.9310856964,67.1196412623,5.0,1
usp000huhy,2011-02-15 05:56:01.940000,-15.8770657247,67.2473946879,5.2,1
usp000jbgj,2011-11-28 03:33:35.370000,-15.9643300418,67.08419607,5.1,1
usp000jm95,2012-06-03 11:14:47.750000,-15.972935333,67.0768236603,5.5,1
usp000jnqy,2012-07-07 22:49:20.080000,-16.673536515,66.7697109289,5.37,1
us10003rtl,2015-10-27 11:04:58.390000,-15.9546454413,67.1084240771,5.4,1
us10003ru4,2015-10-27 12:15:21.300000,-16.0168386933,67.0009124633,5.3,1
us20008in7,2017-02-09 08:31:42.170000,-16.3978645373,67.4869234701,5.37,1
us7000693a,2019-11-17 08:26:28.956000,-16.2517125578,66.8884378163,5.451,1
us7000at7l,2020-07-15 15:00:44.241000,-15.7486068221,67.2743089979,5.37,1
