net,sta,lat,lon,dep,azi,dist
IU,KBL,34.5408,69.0432,1920.0,2.15654539767,3957.98747267
II,NIL,33.6506,73.2686,629.0,8.35300548681,3902.78806829
G,WUS,41.200716,79.216498,1468.0,12.8273631437,4840.77954669
IC,WMQ,43.8138,87.7049,850.0,19.525666909,5374.46134483
G,HYB,17.41867,78.55213,510.0,29.9664929123,2387.08535344
IC,LSA,29.7031,91.127,3660.0,34.3613024292,4240.09085467
IC,BJT,40.0183,116.1679,197.0,41.4977649117,6718.7749502
IC,XAN,34.0313,108.9237,630.0,43.9218921044,5821.21631442
IC,KMI,25.1233,102.74,1975.0,50.0651436751,4782.14362812
II,PALK,7.2728,80.7022,460.0,57.2294469759,1737.03616502
IC,QIZ,19.0291,109.8445,240.0,62.0030259895,5137.76577428
IU,WAKE,19.2834,166.652,20.0,70.7109636725,11019.512577
IU,GUMO,13.5893,144.8684,170.0,75.9014560109,8680.55452962
IU,DAV,7.0697,125.5791,151.0,81.016397827,6512.09371316
MS,BTDF,1.3617,103.775002,57.0,86.1128122314,4045.01713848
II,KAPI,-5.0142,119.7517,300.0,95.3958463884,5819.27485312
IU,PMG,-9.4047,147.1597,90.0,99.3116845479,8858.75215371
G,SANVU,-15.447148,167.203232,56.0,105.813824154,11020.5471019
II,COCO,-12.1901,96.8349,1.0,111.888951995,3456.54143103
IU,MBWA,-21.159,119.7313,190.0,115.222675227,6077.32205747
G,CAN,-35.318714,148.996323,700.0,125.392633905,9162.60038662
IU,NWAO,-32.9277,117.239,380.0,129.580698492,6265.21568976
II,TAU,-42.9099,147.3204,132.0,133.134804794,9089.9898722
AU,MCQ,-54.4986,158.9561,14.0,144.423726816,9993.80979967
G,DRV,-66.664909,140.002075,40.0,157.500765727,9118.63840552
G,AIS,-37.796349,77.569183,35.9,166.913177754,4182.34238037
G,PAF,-49.351,70.210708,17.0,177.638798505,5343.67641494
IU,SPA,-90.0,0.0,2927.0,180.0,9870.81339265
G,RODM,-19.696196,63.44128,300.0,191.994544201,2095.33293384
G,ROCAM,-19.75553,63.37014,52.0,192.156091453,2103.39354531
IU,PMSA,-64.7744,-64.0489,40.0,199.330474831,11713.8190119
G,RER,-21.1712,55.739861,834.0,209.254903865,2554.48143808
II,HOPE,-54.2836,-36.4879,20.0,214.876298367,10806.4445439
G,FOMA,-24.97565,46.978877,28.0,218.354443281,3436.09271778
II,ABPO,-19.018,47.229,1528.0,227.028714977,2965.32958059
II,SUR,-32.3797,20.8117,1770.0,229.743805284,5983.5417186
GT,LBTB,-25.0151,25.596649,1128.0,236.128863323,5217.51965693
G,SPB,-23.592691,-47.426979,647.0,243.846531682,12491.1506999
IU,LSZ,-15.2779,28.1882,1200.0,248.041955297,4592.95570515
II,MSEY,-4.6737,55.4792,475.0,253.682558043,1393.21609912
II,ASCN,-7.9327,-14.3601,173.0,262.181286629,9105.50435997
IU,KMBO,-1.1271,37.2525,1950.0,269.795472212,3369.02669971
II,MBAR,-0.6019,30.7382,1390.0,270.575086915,4094.86628306
G,BNG,4.435,18.547001,378.0,276.844431942,5482.8260733
IU,KOWA,14.4967,-4.014,321.0,285.538057773,8064.33328508
IU,AAE,9.0292,38.7656,2442.0,290.080412674,3383.52924629
G,ATD,11.530725,42.846634,610.0,297.929604043,3070.89095592
IU,TOL,39.8814,-4.048499,480.0,311.458051845,8533.14590278
IU,DWPF,28.1103,-81.4327,30.0,315.212347812,15571.7415285
II,RAYN,23.5225,45.5032,631.0,320.292193486,3626.83414906
IU,ANTO,39.868,32.7934,1090.0,326.076778022,5756.56877788
IU,GNI,40.148,44.741,1609.0,335.69067049,5129.73394231
II,UOSS,24.9453,56.2042,284.4,337.85254691,3138.3817504
II,LVZ,67.8979,34.6514,630.0,347.594537388,8074.17563766
II,ABKT,37.9304,58.1189,678.0,348.380432357,4437.64158912
II,ARTI,56.3879,58.3849,320.0,354.019858588,6436.13960829
