id,time,lat,lon,mag,along_strike_distance
us70008sj4,2020-04-09 17:26:26.403000,-5.3426,68.6654,5.3,7654.38133719
us70006ey0,2019-12-01 05:48:34.645000,-5.1452,68.6183,5.3,7648.39530389
us2000j50c,2019-01-17 10:51:59.950000,-4.1918,68.1968,5.451,7598.31059174
us1000f0gq,2018-06-24 19:14:25.160000,-5.2591,68.6323,5.37,7650.38640902
usb000qiky,2014-05-12 03:36:02.760000,-4.9625,68.5205,5.2,7636.86894606
usc000mfee,2014-02-01 20:13:32.990000,-5.131,68.5921,5.37,7645.43787439
usp000j2e1,2011-05-29 20:59:05.750000,-4.905,68.609,5.3,7646.46769007
usp000gwqj,2009-05-01 07:18:58.070000,-4.976,68.579,5.1,7643.40319499
usp000gvsw,2009-04-05 12:56:14.520000,-5.259,68.554,5.6,7641.71158029
usp000gt0c,2009-01-23 13:18:39.760000,-5.134,68.559,5.0,7641.78152917
usp000gpfc,2008-11-26 04:47:01.730000,-4.921,68.547,5.2,7639.65335619
usp000g30r,2008-04-03 06:19:04.120000,-4.91,69.189,5.451,7710.7818796
usp000g2ye,2008-04-02 14:36:10.790000,-4.879,69.239,5.7,7716.21562671
usp000dts1,2005-06-23 18:29:50.350000,-4.98,68.514,5.1,7636.21344924
usp000bhp0,2002-11-14 10:43:47.560000,-5.04,68.696,5.2,7656.60871869
usp000b8qs,2002-07-25 01:40:46.570000,-4.941,68.479,5.3,7632.18931369
usp0009zkf,2000-09-02 20:06:36.840000,-5.379,68.556,5.2,7642.4087482
usp0007p7e,1996-08-30 02:11:42.200000,-5.24,68.588,5.3,7645.40405339
usp0005rv9,1993-04-27 17:36:21.530000,-5.26,68.581,5.1,7644.70667503
usp0005rut,1993-04-27 13:09:21.900000,-5.217,68.655,5.37,7652.73774514
