id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
us70005xr7,2019-10-23 16:08:14.497000,-1.0987,-13.8367,6.3,521.770000644,us2000a98r,2017-08-18 02:59:25.640000,-1.112,-13.6605,6.6,540.553187841,0.3,18.783187197
us70005xr7,2019-10-23 16:08:14.497000,-1.0987,-13.8367,6.3,521.770000644,usp000gp7q,2008-11-22 18:49:42.380000,-1.23,-13.933,6.3,508.142190518,0.0,13.627810126
us70005xr7,2019-10-23 16:08:14.497000,-1.0987,-13.8367,6.3,521.770000644,usp000c88v,2003-09-21 23:15:12.110000,-1.007,-14.059,6.0,500.253090155,0.3,21.516910489
us70005xr7,2019-10-23 16:08:14.497000,-1.0987,-13.8367,6.3,521.770000644,usp0007dds,1996-02-18 23:49:28.160000,-1.266,-14.273,6.6,470.313932923,0.3,51.456067721
us70005xr7,2019-10-23 16:08:14.497000,-1.0987,-13.8367,6.3,521.770000644,usp0005d7u,1992-08-28 18:18:46.440000,-0.965,-13.562,6.9,554.969345121,0.6,33.199344477
us70005xr7,2019-10-23 16:08:14.497000,-1.0987,-13.8367,6.3,521.770000644,usp0004d06,1990-08-05 17:42:32.170000,-1.08,-13.887,6.4,516.805518822,0.1,4.964481822
us1000hwzq,2018-11-27 12:03:27.370000,-0.942,-13.8275,5.7,527.002304101,usb000q5dt,2014-04-30 15:52:40.770000,-1.1669,-13.4579,5.7,561.33264651,0.0,34.330342409
us1000hwzq,2018-11-27 12:03:27.370000,-0.942,-13.8275,5.7,527.002304101,usp000jhfk,2012-04-10 05:09:08.410000,-1.261,-13.972,5.8,503.192370274,0.1,23.809933827
us1000hwzq,2018-11-27 12:03:27.370000,-0.942,-13.8275,5.7,527.002304101,usp000j6en,2011-08-14 01:29:39.340000,-1.337,-14.653,5.6,427.32664528,0.1,99.675658821
us1000hwzq,2018-11-27 12:03:27.370000,-0.942,-13.8275,5.7,527.002304101,usp000ggg1,2008-09-05 19:07:38.290000,-1.171,-13.955,5.8,507.143361192,0.1,19.858942909
us1000hwzq,2018-11-27 12:03:27.370000,-0.942,-13.8275,5.7,527.002304101,usp000c88v,2003-09-21 23:15:12.110000,-1.007,-14.059,6.0,500.253090155,0.3,26.749213946
us1000hwzq,2018-11-27 12:03:27.370000,-0.942,-13.8275,5.7,527.002304101,usp000bbr4,2002-09-08 23:03:45.290000,-1.225,-14.634,5.613,432.246952411,0.087,94.75535169
