id,time,lat,lon,mag,along_strike_distance
us7000abh1,2020-06-25 18:29:44.765000,-37.1623,-95.1851,5.1,322.832211238
us20008hrc,2017-02-05 07:11:20.890000,-36.9053,-96.0156,5.532,249.669058455
usc000mm4j,2014-02-10 11:41:42.840000,-37.0718,-96.4872,5.37,206.987419954
usb000k7s0,2013-10-06 21:33:19.800000,-36.7267,-97.4761,6.2,124.434249164
usp000jvqq,2012-11-17 18:43:50.650000,-37.182,-95.142,5.694,326.711086422
usp000jvqk,2012-11-17 18:12:19.870000,-37.209,-95.075,5.694,332.749029676
usp000jc4s,2011-12-13 03:21:26.360000,-37.47,-94.348,5.2,398.945742524
usp000j3a5,2011-06-17 03:17:33,-36.826,-94.24,5.1,408.191272881
usp000j2ev,2011-05-30 15:44:19.340000,-37.038,-96.845,5.0,175.186800303
usp000hjyu,2010-08-30 22:21:41.550000,-37.374,-96.352,5.2,221.567738415
usp000hdxx,2010-06-13 12:25:20.810000,-37.281,-94.289,5.0,402.740921164
usp000h760,2010-02-11 08:22:54.180000,-37.763,-93.999,5.1,433.641696552
usp000gu1f,2009-02-15 18:27:27.810000,-36.372,-96.625,5.0,209.409712073
usp000gp82,2008-11-22 23:06:47.790000,-37.244,-95.065,5.7,333.792683477
gcmtc200811182001a,2008-11-18 20:01:44,-37.75,-94.75,5.0,368.222034804
usp000gjq0,2008-10-08 11:51:46.520000,-37.209,-95.969,5.2,253.47210048
usp000fvv3,2008-01-02 15:18:56.400000,-36.849,-94.245,5.2,407.54098323
usp000ftgv,2007-11-29 03:26:22.690000,-36.756,-97.404,6.3,129.740760016
gcmtc200704151705a,2007-04-15 17:05:28,-36.75,-97.75,5.1,100.378682903
usp000f9ph,2007-04-14 10:00:52.220000,-36.4,-97.903,5.4,108.463680105
usp000ex1s,2006-11-10 02:00:23.470000,-37.314,-94.221,5.1,408.927834298
usp000evhy,2006-10-19 17:34:41.870000,-37.102,-96.163,5.1,235.835693949
usp000d4sn,2004-09-21 11:06:41.600000,-37.183,-95.167,5.4,324.494975987
usp000bcn4,2002-09-19 11:22:29.690000,-36.891,-95.262,5.451,316.768500383
usp0009qtd,2000-04-04 10:59:45.010000,-36.372,-97.166,5.1,165.166815186
usp0009pya,2000-03-20 08:42:13.710000,-36.51,-97.23,5.3,153.417697244
usp000824u,1997-05-11 22:16:13.930000,-36.383,-97.703,6.5,123.56538466
usp0007yrg,1997-03-13 06:27:58.070000,-36.468,-97.671,5.6,120.556943432
usp00078gh,1995-12-07 08:21:09.180000,-37.182,-95.265,5.4,315.793081921
usp0006fdf,1994-07-09 15:57:58.620000,-37.217,-95.101,5.7,330.474928166
usp00055qj,1992-04-13 03:45:18.650000,-37.391,-93.725,5.1,453.265668416
usp0004k8a,1991-01-05 13:31:43.820000,-36.941,-95.923,5.451,257.628220083
usp0004ep4,1990-09-13 17:08:47.210000,-36.54,-97.69,5.37,114.978732254
