id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us20008hrc,2017-02-05 07:11:20.890000,-36.9053032123,-96.0156044689,5.532,usp000jvqq,2012-11-17 18:43:50.650000,-37.0239153764,-95.2799583537,5.694,66.8205945957,69.3156080559,9.39994959874,101.582193995,103.1148723,8.14466642004,1,1
us20008hrc,2017-02-05 07:11:20.890000,-36.9053032123,-96.0156044689,5.532,usp000jvqk,2012-11-17 18:12:19.870000,-37.0157765896,-95.2875787567,5.694,65.9850268875,67.7938735837,8.45222900601,100.926453465,100.228796929,8.71108700953,1,1
us20008hrc,2017-02-05 07:11:20.890000,-36.9053032123,-96.0156044689,5.532,usp000gp82,2008-11-22 23:06:47.790000,-37.0313593075,-95.3166808321,5.7,63.7908106081,63.3391396021,21.6793936497,102.877899823,102.312210824,34.4917923855,1,1
us20008hrc,2017-02-05 07:11:20.890000,-36.9053032123,-96.0156044689,5.532,usp000d4sn,2004-09-21 11:06:41.600000,-37.0163517557,-95.2860666902,5.4,66.1289723237,66.1253215816,14.9776739612,100.959611434,100.95920789,20.5192032278,1,1
us20008hrc,2017-02-05 07:11:20.890000,-36.9053032123,-96.0156044689,5.532,usp000bcn4,2002-09-19 11:22:29.690000,-36.9080779667,-96.0191365825,5.451,0.440351916502,0.440652981217,4.96526887683,225.629387188,225.637332405,64.846028525,1,1
usp000jvqq,2012-11-17 18:43:50.650000,-37.0239153764,-95.2799583537,5.694,usp000jvqk,2012-11-17 18:12:19.870000,-37.0157765896,-95.2875787567,5.694,1.12945834647,1.12936204954,0.76333345485,323.099047936,323.108492135,44.7457713486,1,1
usp000jvqq,2012-11-17 18:43:50.650000,-37.0239153764,-95.2799583537,5.694,usp000d4sn,2004-09-21 11:06:41.600000,-37.0163517557,-95.2860666902,5.4,1.00002662071,1.22145686424,3.22524505236,327.072162466,326.895445713,53.6434708731,1,1
usp000jvqq,2012-11-17 18:43:50.650000,-37.0239153764,-95.2799583537,5.694,usp000bcn4,2002-09-19 11:22:29.690000,-36.9080779667,-96.0191365825,5.451,67.0681293218,52.9100322115,38.6722997445,280.828121057,277.806272611,78.3919852796,1,1
usp000jvqq,2012-11-17 18:43:50.650000,-37.0239153764,-95.2799583537,5.694,usp0006fdf,1994-07-09 15:57:58.620000,-37.0270183661,-95.3078816125,5.7,2.50841692114,2.86867512304,3.07826958685,262.100915315,274.136941019,64.530569368,1,1
usp000jvqk,2012-11-17 18:12:19.870000,-37.0157765896,-95.2875787567,5.694,usp000d4sn,2004-09-21 11:06:41.600000,-37.0163517557,-95.2860666902,5.4,0.148934991429,0.198864471491,3.56269889071,115.378011841,115.383360745,56.5328908352,1,1
