id,time,lat,lon,mag,group
iscgem853817,1965-09-13 16:15:45,-36.448,-97.6,6.1,-1
iscgem791328,1970-10-22 06:13:59,-36.36,-97.337,5.6,-1
iscgem791347,1970-10-23 11:01:27,-36.533,-97.292,5.7,-1
usp00009ua,1975-02-08 02:05:46.800000,-36.613,-96.288,5.562,-1
usp0000t7n,1978-03-04 06:40:04.300000,-36.937,-96.12,5.613,-1
usp0000tf5,1978-03-18 07:09:33.900000,-37.6,-93.539,5.451,-1
usp0001eme,1981-07-10 18:02:04.920000,-37.216,-95.369,5.532,-1
usp0001ny0,1982-08-10 07:21:12.150000,-37.238,-96.255,5.37,-1
usp0001sh9,1983-01-23 16:36:39.290000,-37.219,-95.179,5.775,-1
usp0001sha,1983-01-23 17:01:31.650000,-37.197,-95.205,5.451,-1
usp0001w5c,1983-06-17 11:33:16.670000,-36.383,-97.524,5.856,-1
usp0002tv0,1986-05-10 12:02:01.500000,-37.075,-94.085,5.5,-1
usp0002yxv,1986-10-14 12:16:20.860000,-37.019,-95.884,5.1,-1
usp00030mr,1986-12-05 01:45:36.110000,-36.474,-97.628,5.8,-1
usp00037uk,1987-08-26 13:01:23.040000,-37.262,-95.296,5.2,-1
gcmtb070789a,1989-07-07 12:27:46,-36.86,-97.63,5.8,-1
usp0004ep4,1990-09-13 17:08:47.210000,-36.54,-97.69,5.37,-1
usp0004k8a,1991-01-05 13:31:43.820000,-36.941,-95.923,5.451,-1
usp00055qj,1992-04-13 03:45:18.650000,-37.391,-93.725,5.1,-1
usp0006fdf,1994-07-09 15:57:58.620000,-37.0402821354,-95.2865268339,5.7,1
usp00078gh,1995-12-07 08:21:09.180000,-37.0335260089,-95.3086848734,5.4,1
usp0007yrg,1997-03-13 06:27:58.070000,-36.468,-97.671,5.6,-1
usp000824u,1997-05-11 22:16:13.930000,-36.7043195677,-97.9264513048,6.5,2
usp0009pya,2000-03-20 08:42:13.710000,-36.51,-97.23,5.3,-1
usp0009qtd,2000-04-04 10:59:45.010000,-36.372,-97.166,5.1,-1
usp000bcn4,2002-09-19 11:22:29.690000,-36.9080842552,-96.0191362571,5.451,1
usp000d4sn,2004-09-21 11:06:41.600000,-37.0273640524,-95.2647328582,5.4,1
usp000evhy,2006-10-19 17:34:41.870000,-37.102,-96.163,5.1,-1
usp000ex1s,2006-11-10 02:00:23.470000,-37.314,-94.221,5.1,-1
usp000f9ph,2007-04-14 10:00:52.220000,-36.4,-97.903,5.4,-1
gcmtc200704151705a,2007-04-15 17:05:28,-36.75,-97.75,5.1,-1
usp000ftgv,2007-11-29 03:26:22.690000,-36.8210409017,-98.2518802591,6.3,2
usp000fvv3,2008-01-02 15:18:56.400000,-36.849,-94.245,5.2,-1
usp000gjq0,2008-10-08 11:51:46.520000,-37.209,-95.969,5.2,-1
gcmtc200811182001a,2008-11-18 20:01:44,-37.75,-94.75,5.0,-1
usp000gp82,2008-11-22 23:06:47.790000,-37.0477343134,-95.2910379329,5.7,1
usp000gu1f,2009-02-15 18:27:27.810000,-36.372,-96.625,5.0,-1
usp000h760,2010-02-11 08:22:54.180000,-37.763,-93.999,5.1,-1
usp000hdxx,2010-06-13 12:25:20.810000,-37.281,-94.289,5.0,-1
usp000hjyu,2010-08-30 22:21:41.550000,-37.374,-96.352,5.2,-1
usp000j2ev,2011-05-30 15:44:19.340000,-37.038,-96.845,5.0,-1
usp000j3a5,2011-06-17 03:17:33,-36.826,-94.24,5.1,-1
usp000jc4s,2011-12-13 03:21:26.360000,-37.47,-94.348,5.2,-1
usp000jvqk,2012-11-17 18:12:19.870000,-37.0265981347,-95.2667457304,5.694,1
usp000jvqq,2012-11-17 18:43:50.650000,-37.0376470923,-95.2593367962,5.694,1
usb000k7s0,2013-10-06 21:33:19.800000,-36.7390730246,-97.4745063404,6.2,2
usc000mm4j,2014-02-10 11:41:42.840000,-37.0718,-96.4872,5.37,-1
us20008hrc,2017-02-05 07:11:20.890000,-36.9053096795,-96.0156026254,5.532,1
