id,time,lat,lon,mag,group
usp0006fdf,1994-07-09 15:57:58.620000,-37.0270183661,-95.3078816125,5.7,1
usp00078gh,1995-12-07 08:21:09.180000,-37.0171585319,-95.3343167185,5.4,1
usp000824u,1997-05-11 22:16:13.930000,-36.6988915263,-97.9286507295,6.5,2
usp000bcn4,2002-09-19 11:22:29.690000,-36.9080779667,-96.0191365825,5.451,1
usp000d4sn,2004-09-21 11:06:41.600000,-37.0163517557,-95.2860666902,5.4,1
usp000ftgv,2007-11-29 03:26:22.690000,-36.8156237524,-98.2540586006,6.3,2
usp000gp82,2008-11-22 23:06:47.790000,-37.0313593075,-95.3166808321,5.7,1
usp000jvqk,2012-11-17 18:12:19.870000,-37.0157765896,-95.2875787567,5.694,1
usp000jvqq,2012-11-17 18:43:50.650000,-37.0239153764,-95.2799583537,5.694,1
usb000k7s0,2013-10-06 21:33:19.800000,-36.7336283194,-97.4767099649,6.2,2
us20008hrc,2017-02-05 07:11:20.890000,-36.9053032123,-96.0156044689,5.532,1
