net,sta,lat,lon,dep,azi,dist
IU,CCM,38.0557,-91.2446,222.0,3.66006688072,8334.5608557
IU,PAYG,-0.6742,-90.2861,270.0,9.14439376516,4072.18781725
G,HDC,10.00201,-84.11142,1186.0,15.4537149622,5353.56917297
CU,BCIP,9.1665,-79.8373,61.0,21.207349526,5383.68284935
IU,OTAV,0.2376,-78.4508,3510.0,27.2491078568,4501.10276608
IU,BOCO,4.5869,-74.0432,3160.0,30.7313505523,5134.51558084
II,NNA,-11.9875,-76.8422,575.0,39.0081247244,3361.28640037
II,OBN,55.1146,36.5674,160.0,45.0907178064,15925.4151587
IU,PTGA,-0.7308,-59.9666,237.0,50.7966750697,5449.54159354
IU,SAML,-8.9489,-63.1831,120.0,54.7033151026,4522.2370017
IU,LVC,-22.6127,-68.9111,2960.0,65.5536467476,3031.17723847
II,SACV,14.9702,-23.6085,387.0,67.4513620626,9484.23290277
IU,LCO,-29.011,-70.7005,2274.0,76.2246019412,2493.6948075
IU,KOWA,14.4967,-4.014,321.0,79.5081576709,11119.6155985
G,PEL,-33.143607,-70.67494,700.0,86.5616845851,2317.61775675
II,ASCN,-7.9327,-14.3601,173.0,91.3107509549,8719.49524224
G,EDA,3.778868,10.153427,140.0,96.8215892951,11672.4937003
IU,TRQA,-38.0568,-61.9787,540.0,102.45035012,2965.74234166
IU,FURI,8.8952,38.6798,2570.0,112.82403388,14477.9179647
G,TRIS,-37.0681,-12.3152,60.0,118.236214897,7144.62943364
G,COYC,-45.57299,-72.08139,235.0,122.976773715,2179.67687298
II,EFI,-51.6753,-58.0637,110.0,130.936153407,3357.68337039
II,HOPE,-54.2836,-36.4879,20.0,132.917421655,4823.78918098
II,ABPO,-19.018,47.229,1528.0,141.565893831,12683.9606532
G,FOMA,-24.97565,46.978877,28.0,144.637158329,12105.8329569
IU,PMSA,-64.7744,-64.0489,40.0,155.93959004,3716.4919181
G,CRZF,-46.43096,51.855308,140.0,158.3174457,10203.4251146
II,DGAR,-7.4121,72.4525,1.0,163.653037211,14925.948065
G,PAF,-49.351,70.210708,17.0,170.884133205,10327.4828823
G,AIS,-37.796349,77.569183,35.9,174.527884874,11682.368344
IU,SPA,-90.0,0.0,2927.0,180.0,5893.79090072
G,CCD,-75.1065,123.305,3240.0,190.306514914,7237.65312993
IU,SBA,-77.8492,166.7572,50.0,194.71195875,6174.41091648
G,DRV,-66.664909,140.002075,40.0,200.706064678,7571.06460746
IU,NWAO,-32.9277,117.239,380.0,207.961447311,11533.6782973
IU,MBWA,-21.159,119.7313,190.0,215.840908473,12566.4165822
AU,MCQ,-54.4986,158.9561,14.0,217.071470602,7621.1476498
G,CAN,-35.318714,148.996323,700.0,227.665222194,9576.99200946
II,WRAB,-19.9336,134.36,366.0,228.490492233,11804.0989745
IU,SNZO,-41.3087,174.7043,120.0,235.144535181,7385.0597768
IU,PMG,-9.4047,147.1597,90.0,245.289234045,11697.6678559
IU,RAO,-29.245,-177.929,60.0,249.74527105,7476.87736579
II,MSVF,-17.7448,178.0528,801.1,257.724485239,8516.37846059
G,FUTU,-14.307673,-178.121063,97.0,262.789623001,8399.8395109
IU,RAR,-21.2125,-159.7733,28.0,267.015556829,6355.77927068
IU,TARA,1.3549,172.9229,20.0,270.112874079,10223.5359271
G,PPTF,-17.5896,-149.565247,705.0,277.167116416,5664.62919383
IU,PTCN,-25.0713,-130.0953,220.0,282.36644048,3516.71745278
G,TAOE,-8.85492,-140.14775,800.0,293.49987863,5451.2707891
IU,MIDW,28.2156,-177.3698,20.0,297.343332688,11169.2951291
IU,POHA,19.7573,-155.5326,1990.0,304.128921779,8882.29362486
II,RPN,-27.1267,-109.3344,110.0,306.919038865,1692.34180245
IM,ATTU,52.882099,173.164307,250.0,316.063048741,13255.2741879
H2,H2O,27.88191,-141.99173,-4947.0,319.099453352,8667.88851422
G,SEY,62.932999,152.373001,206.0,325.155758172,14691.7098909
II,KDAK,57.7828,-152.5835,152.0,332.202816559,11774.2655794
II,PFO,33.6107,-116.4555,1280.0,341.984329083,8118.96726503
IU,SLBS,23.6858,-109.9443,825.0,345.196340014,6892.17264987
IM,TX06,29.319,-103.681999,939.5,352.413115834,7399.67733446
G,UNM,19.329662,-99.178062,2280.0,356.06662115,6256.8884787
