id,time,lat,lon,mag,group
usp0006t2b,1995-02-16 14:52:52.370000,52.1830838096,-30.4041699375,5.3,1
usp00075pn,1995-10-24 14:39:30.150000,52.1570923693,-30.4843308572,5.2,1
usp0007ert,1996-03-14 12:02:19.160000,52.1902169239,-30.3896628079,5.3,1
usp0007ete,1996-03-15 09:43:33.380000,52.200185508,-30.2560876115,5.2,1
usp00084kp,1997-07-09 14:47:16.830000,52.2336729582,-31.5932912585,5.4,1
usp0009485,1999-03-10 13:12:55.650000,52.5435182719,-32.0546841668,5.3,1
usp000cjk2,2004-01-24 13:01:45.700000,52.1741795755,-30.4343581288,5.9,1
usp000fcj4,2007-05-23 04:41:46.540000,52.5458408681,-32.0617512544,5.7,1
usp000jq67,2012-08-11 17:47:30.920000,52.2334485465,-31.5914412574,5.532,1
us70005c9r,2019-09-05 11:52:06.491000,52.5882550179,-31.906106321,5.5,1
