net,sta,lat,lon,dep,azi,dist
IU,YSS,46.9587,142.7604,150.0,4.37673386551,8999.12592654
IU,TIXI,71.6341,128.8667,40.0,7.61682054146,6174.84360675
II,BORG,64.7474,-21.3268,110.0,17.7625821504,1501.1650555
II,NRIL,69.5049,88.4414,92.0,23.2839584517,5643.66991408
II,TLY,51.6807,103.6438,579.0,28.1800219324,7730.90570257
IU,KEV,69.7565,27.0035,100.0,34.330716916,3496.58988613
II,LVZ,67.8979,34.6514,630.0,37.6287413206,3810.04628792
II,ARTI,56.3879,58.3849,320.0,47.6308567711,5413.69586293
II,AAK,42.6375,74.4942,1633.1,51.2097882438,7298.0563872
IU,KONO,59.6491,9.5982,216.0,55.5618819506,2616.56733477
II,ABKT,37.9304,58.1189,678.0,65.0544650842,6733.14517158
II,ESK,55.3167,-3.205,242.0,68.2052253917,1846.37643228
II,UOSS,24.9453,56.2042,284.4,76.1232364593,7665.49541866
II,BFO,48.3301,8.3296,638.0,83.0727114495,2794.78082874
G,CLF,48.025791,2.26,145.0,87.8925216916,2394.80006661
G,SSB,45.279,4.542,700.0,92.4072862392,2687.77448512
IU,AAE,9.0292,38.7656,2442.0,100.568773949,7837.03608881
G,RER,-21.1712,55.739861,834.0,105.690280418,11617.4104625
IU,TOL,39.8814,-4.048499,480.0,113.034255393,2466.40513951
IU,PAB,39.5446,-4.3499,950.0,114.104060423,2473.0416624
G,EVO,38.532001,-8.013,0.0,121.571761229,2332.02285908
G,EDA,3.778868,10.153427,140.0,130.087301552,6564.28083945
IU,TSUM,-19.2022,17.5838,1260.0,134.415131951,9195.10703324
IU,KOWA,14.4967,-4.014,321.0,140.272234598,4815.16056316
IU,TBT,28.6794,-17.9145,180.0,152.587327977,2824.64297479
G,MBO,14.392024,-16.955467,3.0,158.361079521,4373.65999374
II,CMLA,37.7637,-25.5243,429.0,163.233776858,1658.23573198
II,SACV,14.9702,-23.6085,387.0,168.390156009,4180.39727146
IU,QSPA,-89.9289,144.4382,2850.0,179.990544935,15795.478258
IU,RCBR,-5.8274,-35.9014,400.0,185.879795715,6447.52163585
IU,SBA,-77.8492,166.7572,50.0,188.234064899,17056.1716198
G,SPB,-23.592691,-47.426979,647.0,195.566175638,8548.89531073
G,KOG,5.207,-52.731998,10.0,208.850502245,5583.73407643
IU,PTGA,-0.7308,-59.9666,237.0,214.930864725,6466.34319911
CU,BBGH,13.1434,-59.5588,180.0,221.188224543,5030.35493956
CU,ANWB,17.66853,-61.78557,39.0,226.866400739,4687.05854596
IU,SJG,18.1091,-66.15,420.0,232.496069356,4872.12395767
CU,SDDR,18.9821,-71.2878,589.0,239.011391767,5080.84688891
IU,BBSR,32.371299,-64.696299,30.0,244.366230742,3499.41915804
CU,TGUH,14.057,-87.273,1151.0,251.285959091,6515.89770409
IU,DWPF,28.1103,-81.4327,30.0,257.336496406,4930.34821301
IU,PTCN,-25.0713,-130.0953,220.0,260.952574146,12783.0142273
G,WFM,42.611,-71.490997,87.0,266.869054325,3195.0214093
IU,WCI,38.2289,-86.2939,210.0,272.429531931,4494.61545647
IM,TX09,29.3437,-103.660202,988.3,276.671165513,6343.14495594
IU,ANMO,34.94591,-106.4572,1820.0,283.488320043,6096.15779619
IU,RSSD,44.1212,-104.0359,2090.0,290.914965031,5278.41675185
IM,NV11,38.4328,-118.153,1585.0,294.224165912,6584.06148394
II,FFC,54.725,-101.9783,338.0,302.820142162,4523.58130781
IU,POHA,19.7573,-155.5326,1990.0,309.207711767,10411.3612595
G,KIP,21.42,-158.0112,110.0,312.046318216,10380.301071
G,IVI,61.205808,-48.171178,15.0,320.478288409,1449.37393956
II,KDAK,57.7828,-152.5835,152.0,328.481179385,6716.91155267
IU,SFJ,66.9967,-50.6156,365.0,334.221134894,1969.97746801
IU,ADK,51.8823,-176.6842,130.0,338.604399349,8032.72636285
IM,ATTU,52.882099,173.164307,250.0,345.095194609,8143.12767536
II,ALE,82.5033,-62.35,60.0,352.526910124,3525.26416376
G,SEY,62.932999,152.373001,206.0,358.355062615,7234.2051281
