id,time,lat,lon,mag,group
usp0008v3c,1998-09-17 16:41:20.120000,-38.2190159435,-93.8094912802,5.7,1
usp0008y82,1998-11-15 07:43:49.780000,-38.3953290605,-93.4836571479,5.4,1
usp0009gej,1999-10-22 21:28:03.640000,-38.2354332201,-93.7766039983,5.37,1
usp000gazs,2008-06-30 04:05:59.420000,-38.349727599,-93.310640715,5.2,1
usp000h760,2010-02-11 08:22:54.180000,-37.7792604249,-93.992519492,5.1,1
usp000j4vd,2011-07-14 08:49:23.710000,-38.2041836435,-93.7884571217,5.3,1
usp000j4ve,2011-07-14 08:52:31.570000,-38.2045204154,-93.794643831,5.5,1
usp000j4vx,2011-07-14 11:17:32.290000,-38.2382727786,-93.7967683427,5.2,1
usc000tthz,2015-02-27 00:47:38.010000,-38.2354311101,-93.7766107138,5.613,1
us70005f05,2019-09-11 19:16:40.678000,-38.369936556,-93.4499003627,5.4,1
us70007uy4,2020-02-22 23:12:36.918000,-38.2278849501,-93.7987139248,5.5,1
us70007uy9,2020-02-22 23:19:02.778000,-38.2306900844,-93.7864998303,5.37,1
