id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us2000iuya,2018-12-19 01:37:40.500000,-36.0814620291,-101.079258015,6.3,usp000hqjh,2010-12-05 21:44:35.820000,-36.0791455549,-101.09932776,5.9,1.82590824721,1.82592732483,0.232907062731,278.086622737,278.088473345,9.59203603083,1,1
us2000iuya,2018-12-19 01:37:40.500000,-36.0814620291,-101.079258015,6.3,usp000fe02,2007-06-14 13:37:40.920000,-36.0420004401,-100.471699374,5.9,54.9117673139,54.9126828701,2.88602457365,85.6052529203,85.2479564079,2.78878708461,1,1
us2000iuya,2018-12-19 01:37:40.500000,-36.0814620291,-101.079258015,6.3,usp000aygn,2002-02-15 01:46:37.850000,-36.0826939817,-100.818767892,6.0,23.4627796975,21.1145190648,19.3799965292,90.4105231458,91.8008867614,83.1276320922,1,1
us2000iuya,2018-12-19 01:37:40.500000,-36.0814620291,-101.079258015,6.3,usp000avf4,2001-12-28 21:31:59.360000,-36.0806405366,-101.252535854,5.9,15.6076306151,17.2342398945,2.01488375731,270.28360188,271.851262619,9.16991737144,1,1
usb000qcg4,2014-05-06 20:52:28.320000,-36.1335624781,-98.0133400487,6.3,usb000k7s0,2013-10-06 21:33:19.800000,-36.1298425952,-98.2579413866,6.2,22.0212931407,24.1390535932,6.2817717135,271.00189,270.780306394,23.3224073945,1,1
usb000qcg4,2014-05-06 20:52:28.320000,-36.1335624781,-98.0133400487,6.3,usp0008uj9,1998-09-07 00:39:30.210000,-36.1695589725,-98.2919059505,6.1,25.3845863026,25.3743631102,1.32333826934,260.864805626,262.141746613,2.70835898943,1,1
usb000qcg4,2014-05-06 20:52:28.320000,-36.1335624781,-98.0133400487,6.3,usp0008f91,1998-01-31 23:30:42.050000,-36.1216361102,-98.2597811385,6.0,22.2236181457,22.414264557,2.35392379995,273.341198079,272.06274636,4.15883816446,1,1
usb000qcg4,2014-05-06 20:52:28.320000,-36.1335624781,-98.0133400487,6.3,usp000824u,1997-05-11 22:16:13.930000,-36.1422633252,-98.7840682474,6.5,69.3770367285,69.3771043529,4.2055371477,268.975389787,269.430298274,3.26408975882,1,1
usb000k7s0,2013-10-06 21:33:19.800000,-36.1298425952,-98.2579413866,6.2,usp000a5sx,2000-12-09 22:49:47.690000,-36.1896138302,-99.3211807056,5.8,95.901012796,95.8404282682,2.31217071298,265.720818445,266.014144763,1.26695800125,1,1
usb000k7s0,2013-10-06 21:33:19.800000,-36.1298425952,-98.2579413866,6.2,usp0008uj9,1998-09-07 00:39:30.210000,-36.1695589725,-98.2919059505,6.1,5.36323407113,7.61384901069,5.56524534672,214.734081039,213.126839168,51.1635416052,1,1
