time,mag,magType,lat,lon,dep,text,id
1950-04-14 19:59:59,6.2,mw,-35.981,-102.471,15000.0,southeast of Easter Island,iscgem895370
1952-08-28 12:57:00,6.2,mw,-35.359,-106.215,10000.0,southern East Pacific Rise,iscgem893334
1954-07-30 08:46:06,6.6,mw,-36.215,-97.363,10000.0,West Chile Rise,iscgem890900
1954-08-02 23:28:38,5.8,mw,-36.331,-101.334,15000.0,southeast of Easter Island,iscgem890914
1958-09-25 20:24:48,5.8,mw,-36.149,-99.703,15000.0,southeast of Easter Island,iscgem885181
1958-11-14 05:04:29,5.8,mw,-36.079,-102.705,15000.0,southeast of Easter Island,iscgem885512
1958-12-14 07:11:31,6.0,mw,-34.87,-108.837,15000.0,southern East Pacific Rise,iscgem885698
1958-12-30 08:38:02,5.9,mw,-35.334,-106.736,15000.0,southern East Pacific Rise,iscgem885778
1959-04-22 20:26:50,5.8,mw,-36.427,-98.484,15000.0,southeast of Easter Island,iscgem881851
1959-12-17 16:48:59,5.7,mw,-35.919,-102.769,15000.0,southeast of Easter Island,iscgem883490
1960-06-12 07:19:48,6.2,mw,-36.281,-98.015,15000.0,southeast of Easter Island,iscgem879487
1960-09-14 04:57:13,5.9,mw,-35.304,-106.133,15000.0,southern East Pacific Rise,iscgem880327
1963-06-15 15:30:37,5.8,mw,-36.25,-99.155,15000.0,southeast of Easter Island,iscgem872517
1963-12-04 15:59:42,6.2,mw,-35.815,-102.868,10000.0,southeast of Easter Island,iscgem873653
1964-10-06 07:17:56,6.2,mw,-36.243,-100.825,10000.0,southeast of Easter Island,iscgem863302
1965-09-13 16:15:45,6.1,mw,-36.448,-97.6,15000.0,West Chile Rise,iscgem853817
1970-10-22 06:13:59,5.6,mw,-36.36,-97.337,10000.0,West Chile Rise,iscgem791328
1970-10-23 11:01:27,5.7,mw,-36.533,-97.292,10000.0,West Chile Rise,iscgem791347
1973-02-15 07:54:26.900000,5.3,mb,-36.109,-101.018,33000.0,southeast of Easter Island,usp00000hw
1973-06-25 15:03:18.700000,5.1,ms,-35.873,-103.928,33000.0,southeast of Easter Island,usp00002d6
1973-09-09 20:17:16.400000,5.2,mb,-34.994,-109.536,33000.0,southern East Pacific Rise,usp00003cx
1974-02-04 09:09:41.400000,5.1,mb,-35.572,-104.84,33000.0,southeast of Easter Island,usp000055v
1974-03-31 04:48:50.200000,5.2,ms,-35.984,-103.178,33000.0,southeast of Easter Island,usp00005tg
1974-06-26 13:43:35.300000,5.6,ms,-36.558,-98.2,33000.0,southeast of Easter Island,usp00006wu
1974-07-06 12:20:58.700000,5.1,mb,-34.989,-108.037,33000.0,southern East Pacific Rise,usp000070t
1974-11-03 18:35:59,5.1,mb,-34.828,-108.304,33000.0,southern East Pacific Rise,usp00008nx
1975-04-20 11:40:39.900000,6.2,ms,-36.403,-98.794,33000.0,southeast of Easter Island,usp0000aq6
1975-12-08 00:01:48.100000,5.4,mb,-34.777,-108.167,33000.0,southern East Pacific Rise,usp0000duv
1976-03-25 01:41:26.900000,5.0,mb,-36.89,-98.066,33000.0,southeast of Easter Island,usp0000fks
1976-04-26 19:19:25.300000,5.0,mb,-34.866,-108.908,33000.0,southern East Pacific Rise,usp0000g2a
1977-02-23 01:49:41.100000,5.1,ms,-36.344,-99.049,33000.0,southeast of Easter Island,usp0000mpd
1977-07-07 15:03:38.800000,5.2,mb,-34.938,-107.817,33000.0,southern East Pacific Rise,usp0000pmt
1978-03-06 00:22:19.200000,5.7,ms,-35.523,-102.586,33000.0,southeast of Easter Island,usp0000t8g
1978-04-03 11:28:27.800000,5.1,mb,-35.778,-100.809,33000.0,southeast of Easter Island,usp0000twr
1978-06-17 08:47:03.700000,5.1,mb,-36.06,-100.629,33000.0,southeast of Easter Island,usp0000v3k
1978-12-19 07:29:00.200000,5.4,ms,-35.386,-106.62,10000.0,southern East Pacific Rise,usp0000xzu
1979-04-14 02:40:37.600000,5.4,mb,-35.139,-106.851,10000.0,southern East Pacific Rise,usp0000zzg
1979-04-14 07:50:14.300000,5.1,mb,-35.035,-106.891,10000.0,southern East Pacific Rise,usp0000zzh
1979-04-14 10:00:24.900000,6.5,ms,-36.007,-102.601,10000.0,southeast of Easter Island,usp0000zzp
1979-06-10 06:32:50.800000,6.0,ms,-36.28,-97.953,10000.0,West Chile Rise,usp000116j
1979-07-12 23:22:17.400000,5.5,mb,-36.314,-98.03,10000.0,southeast of Easter Island,usp00011u5
1980-01-27 16:38:01.100000,5.9,ms,-35.379,-105.869,10000.0,southern East Pacific Rise,usp000157h
1980-08-03 13:42:35.400000,5.1,mb,-35.58,-104.629,10000.0,southeast of Easter Island,usp000198n
1980-09-26 20:26:34.800000,5.0,ms,-35.898,-102.938,10000.0,southeast of Easter Island,usp0001a01
1980-10-22 22:59:54.100000,5.6,ms,-36.495,-98.605,10000.0,southeast of Easter Island,usp0001acq
1980-10-22 23:27:16.600000,5.0,mb,-35.107,-104.084,10000.0,southeast of Easter Island,usp0001acr
1981-06-10 04:06:10.240000,5.0,ms,-35.8,-102.167,10000.0,southeast of Easter Island,usp0001e2n
1981-07-06 08:25:59.250000,5.1,ms,-36.233,-101.09,10000.0,southeast of Easter Island,usp0001ej6
1981-08-22 23:47:41.490000,5.2,mb,-35.829,-103.302,10000.0,southeast of Easter Island,usp0001fek
1981-09-06 16:43:19.910000,5.4,mb,-36.173,-100.702,10000.0,southeast of Easter Island,usp0001fqc
1981-09-18 14:17:32.160000,5.0,mb,-35.246,-110.343,10000.0,southern East Pacific Rise,usp0001fyw
1981-12-20 01:19:00,5.0,mb,-35.29,-105.442,10000.0,southern East Pacific Rise,usp0001hh8
1982-05-17 02:39:26.120000,5.0,mb,-35.35,-103.84,10000.0,southeast of Easter Island,usp0001mcq
1982-06-15 01:20:35.210000,5.3,ms,-36.517,-98.651,10000.0,southeast of Easter Island,usp0001mxt
1982-08-08 04:40:51.120000,5.0,mb,-36.239,-97.607,10000.0,West Chile Rise,usp0001nwp
1982-08-27 03:56:49.500000,5.2,mb,-35.462,-104.846,10000.0,southeast of Easter Island,usp0001p92
1982-09-09 06:40:21.400000,5.0,ms,-35.546,-102.423,10000.0,southeast of Easter Island,usp0001pg0
1983-01-13 09:23:47.990000,5.6,mb,-35.813,-102.631,10000.0,southeast of Easter Island,usp0001s6j
1983-01-28 23:11:05.860000,5.5,ms,-36.226,-100.974,10000.0,southeast of Easter Island,usp0001spj
1983-06-17 11:33:16.670000,5.6,mb,-36.383,-97.524,10000.0,West Chile Rise,usp0001w5c
1983-07-26 04:14:20.820000,5.0,ms,-36.283,-98.814,10000.0,southeast of Easter Island,usp0001x49
1983-08-20 08:30:34.160000,5.3,mb,-36.251,-101.542,10000.0,southeast of Easter Island,usp0001xtb
1983-10-02 23:02:14.840000,5.3,mb,-34.322,-107.757,10000.0,southern East Pacific Rise,usp0001yst
1983-11-09 01:57:50.110000,5.4,mb,-36.185,-100.24,10000.0,southeast of Easter Island,usp0001znv
1984-02-12 18:58:54.370000,5.1,mb,-34.875,-107.629,10000.0,southern East Pacific Rise,usp00021y7
1984-05-10 09:51:02.400000,5.6,mw,-36.269,-98.886,10000.0,southeast of Easter Island,usp000248h
1985-05-06 07:33:58.410000,5.7,mw,-36.407,-98.868,10000.0,southeast of Easter Island,usp0002egj
1985-11-12 03:34:18.350000,6.3,mw,-36.499,-98.158,10000.0,southeast of Easter Island,usp0002mph
1985-12-05 08:25:42.800000,5.2,mb,-35.247,-109.438,10000.0,southern East Pacific Rise,usp0002njk
1986-01-12 14:00:55.090000,5.4,mw,-36.011,-102.215,10000.0,southeast of Easter Island,usp0002pzy
