net,sta,lat,lon,dep,azi,dist
G,UNM,19.329662,-99.178062,2280.0,4.66082552039,6083.06925797
IU,HKT,29.96478,-95.83812,69.0,7.02492919436,7287.23611485
IU,TEIG,20.2263,-88.2763,40.0,16.7347836371,6365.54804942
IU,PAYG,-0.6742,-90.2861,270.0,21.9864071076,4081.18899991
II,JTS,10.2908,-84.9525,340.0,24.2357054649,5419.47280644
CU,BCIP,9.1665,-79.8373,61.0,30.9668592229,5519.65875729
IU,OTAV,0.2376,-78.4508,3510.0,38.4205408721,4716.50350001
CU,GRGR,12.1324,-61.654,195.0,47.5838247634,6848.80895183
II,NNA,-11.9875,-76.8422,575.0,52.1103906922,3717.68439972
IU,PTGA,-0.7308,-59.9666,237.0,59.0986983201,5897.85389872
IU,SAML,-8.9489,-63.1831,120.0,63.9447806121,5009.95044489
G,ICC,-20.284,-70.035004,950.0,71.4179946402,3650.10808514
IU,LVC,-22.6127,-68.9111,2960.0,76.085183895,3608.21750525
IU,RCBR,-5.8274,-35.9014,400.0,81.4438051262,7586.0475776
IU,LCO,-29.011,-70.7005,2274.0,85.9858589775,3130.66799835
G,PEL,-33.143607,-70.67494,700.0,94.4873757514,2991.32604578
G,EDA,3.778868,10.153427,140.0,101.044834105,12363.7204461
IU,TRQA,-38.0568,-61.9787,540.0,106.911490968,3660.63042819
II,MBAR,-0.6019,30.7382,1390.0,119.941764852,13796.5421544
G,COYC,-45.57299,-72.08139,235.0,122.750070536,2841.02485733
II,EFI,-51.6753,-58.0637,110.0,131.115465316,3981.729966
II,HOPE,-54.2836,-36.4879,20.0,134.445726819,5432.73665434
II,ABPO,-19.018,47.229,1528.0,147.973677364,13217.0091894
IU,PMSA,-64.7744,-64.0489,40.0,153.63722306,4164.54033307
G,RER,-21.1712,55.739861,834.0,157.339093664,13352.9881027
G,CRZF,-46.43096,51.855308,140.0,163.047314699,10593.7099045
II,DGAR,-7.4121,72.4525,1.0,173.729731195,15232.6438025
G,PAF,-49.351,70.210708,17.0,175.700112451,10582.7623669
IU,SPA,-90.0,0.0,2927.0,180.0,6071.90024659
G,CCD,-75.1065,123.305,3240.0,191.856514609,7283.09395974
IU,SBA,-77.8492,166.7572,50.0,194.842311641,6175.00492047
G,DRV,-66.664909,140.002075,40.0,202.582655756,7488.46558943
II,COCO,-12.1901,96.8349,1.0,205.27549847,14323.4854718
IU,NWAO,-32.9277,117.239,380.0,213.73951995,11341.6708635
AU,MCQ,-54.4986,158.9561,14.0,219.092828442,7346.4864308
II,TAU,-42.9099,147.3204,132.0,224.761094602,8767.92398231
G,CAN,-35.318714,148.996323,700.0,231.580829017,9180.17128343
IU,SNZO,-41.3087,174.7043,120.0,237.32082177,6925.11523732
IU,CTAO,-20.08765,146.24998,367.0,241.739730827,10464.1643805
G,DZM,-22.07164,166.44377,878.0,251.477500939,8651.46740341
IU,RAO,-29.245,-177.929,60.0,252.532905607,6898.43688672
II,MSVF,-17.7448,178.0528,801.1,261.379977547,7887.87654079
G,FUTU,-14.307673,-178.121063,97.0,266.5481194,7747.4224242
IU,RAR,-21.2125,-159.7733,28.0,270.186574851,5688.47284751
G,PPTF,-17.5896,-149.565247,705.0,281.035587449,4973.18925091
IU,PTCN,-25.0713,-130.0953,220.0,286.74565552,2821.83478199
IU,MAJO,36.54567,138.20406,405.0,290.186122157,14586.1296002
G,TAOE,-8.85492,-140.14775,800.0,299.138236534,4770.24956855
IU,MIDW,28.2156,-177.3698,20.0,301.567105968,10496.8892798
IU,POHA,19.7573,-155.5326,1990.0,309.09618821,8236.94229084
IU,PET,53.0233,158.6499,110.0,315.146379925,13575.9632749
IU,ADK,51.8823,-176.6842,130.0,321.309042958,12020.2933804
II,RPN,-27.1267,-109.3344,110.0,326.184419668,1096.14382072
II,KDAK,57.7828,-152.5835,152.0,335.458770409,11318.1387512
IU,COLA,64.873599,-147.8616,200.0,341.816873637,11785.1503366
TS,PAS,34.14844,-118.17117,314.0,346.869184235,7866.04840804
IU,SLBS,23.6858,-109.9443,825.0,352.794640889,6589.04294161
IM,TX06,29.319,-103.681999,939.5,359.533190879,7174.87040519
