id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usp000g4zk,2008-04-27 18:29:47.610000,-42.6619523744,-83.1969767009,5.0,us1000bt8t,2017-12-19 18:58:38.990000,-42.6114365628,-83.3379421154,5.37,12.8517851725,17.2484131388,29.5734310891,295.841832366,287.115654691,55.2301450441,1,1
usp000fzwr,2008-02-25 05:30:39.810000,-42.7010807539,-83.2774057601,5.3,us1000bt8t,2017-12-19 18:58:38.990000,-42.6114365628,-83.3379421154,5.37,11.1267074666,12.7451721311,15.7911034985,333.485773951,317.071905738,49.2321246169,1,1
usp000dh3y,2005-02-27 19:53:10.800000,-42.6211688609,-83.3363933802,5.1,us1000bt8t,2017-12-19 18:58:38.990000,-42.6114365628,-83.3379421154,5.37,1.0885567531,1.08864705379,0.412232472109,353.295999334,6.89146080167,27.3376290769,1,1
usp000bxju,2003-05-20 08:08:50,-42.6458961841,-83.1725221043,5.1,us1000bt8t,2017-12-19 18:58:38.990000,-42.6114365628,-83.3379421154,5.37,14.099048897,0.810170881352,14.37081496,285.697823193,353.964225555,57.6006188336,1,1
usp000ax5b,2002-01-25 21:37:33.050000,-42.9432391905,-82.4692808035,5.37,us1000bt8t,2017-12-19 18:58:38.990000,-42.6114365628,-83.3379421154,5.37,80.0739815125,80.0744064618,1.58571931571,297.111889412,297.111774113,0.942135871964,1,1
us1000bt8t,2017-12-19 18:58:38.990000,-42.6114365628,-83.3379421154,5.37,us10003pdi,2015-10-17 17:52:19.940000,-42.6845496101,-83.1801516113,5.6,15.2773371064,10.0048043102,22.9892066001,122.168795794,296.962535265,51.3781467122,1,1
usp000jq4k,2012-08-10 11:40:03.430000,-42.6999552449,-83.308779194,5.532,us10003pdi,2015-10-17 17:52:19.940000,-42.6845496101,-83.1801516113,5.6,10.6786327674,3.38331927351,41.4626955596,80.8216032487,27.6625257577,64.9853270806,1,1
usp000j7c8,2011-09-01 14:29:21.640000,-42.6628463678,-83.20737233,5.4,us10003pdi,2015-10-17 17:52:19.940000,-42.6845496101,-83.1801516113,5.6,3.28502094713,3.0226602091,3.28148573324,137.225056997,253.891258605,78.553042168,1,1
usp000fzwr,2008-02-25 05:30:39.810000,-42.7010807539,-83.2774057601,5.3,us10003pdi,2015-10-17 17:52:19.940000,-42.6845496101,-83.1801516113,5.6,8.17842609628,11.1093020348,4.7576088185,77.0570938486,72.711547685,40.4364805932,1,1
usp000dyq3,2005-09-03 20:21:24.980000,-42.6633344958,-83.2221167955,5.6,us10003pdi,2015-10-17 17:52:19.940000,-42.6845496101,-83.1801516113,5.6,4.16978787095,3.35456548589,2.86508831014,124.429506519,242.53960418,66.96279062,1,1
