id,time,lat,lon,mag,along_strike_distance
us10005cc4,2016-04-29 01:33:38.910000,10.2752,-103.7363,6.6,167.053114201
us20005j12,2016-04-16 15:20:11.080000,10.153,-104.3329,5.37,100.53215182
usp000jguf,2012-03-26 18:12:52.850000,10.071,-104.16,6.0,119.005974042
usp000jgub,2012-03-26 17:58:25.760000,10.001,-104.337,5.37,99.8463640923
usp000jgua,2012-03-26 17:56:18.910000,9.581,-104.373,5.532,109.565603314
usp000jgu9,2012-03-26 17:48:42.420000,9.995,-104.228,5.5,111.814382195
usp000j0qk,2011-04-28 13:07:43.850000,10.129,-103.614,5.8,178.986567082
usp000hr7a,2010-12-20 15:15:08.670000,10.171,-103.977,5.9,139.553934963
usp000epxv,2006-07-31 01:24:15.770000,10.166,-103.863,5.5,151.964820554
usp000epxq,2006-07-30 23:45:21.940000,10.011,-104.217,5.4,112.911015657
usp000eeab,2006-04-12 15:54:19.150000,9.983,-104.078,5.0,128.313357789
usp000dxz5,2005-08-24 17:07:45.780000,10.078,-103.548,5.7,186.093441064
usp00077vd,1995-12-01 05:20:28.830000,10.16,-104.0,6.6,136.944128339
usp0006y9s,1995-05-30 00:41:21.810000,10.109,-104.121,5.2,123.375760509
usp0006y8w,1995-05-29 09:06:22.750000,10.164,-104.025,5.7,134.247991223
usp0005xhr,1993-07-28 05:51:10.730000,10.198,-104.102,5.4,126.223136892
usp0005uvc,1993-06-19 12:23:30.600000,10.175,-103.627,5.8,177.832376107
usp0005hyt,1992-12-08 06:28:46.590000,10.141,-103.836,5.7,154.742890662
