id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usp000jguf,2012-03-26 18:12:52.850000,10.2215488926,-104.016671257,6.0,us10005cc4,2016-04-29 01:33:38.910000,10.2751822493,-103.736344098,6.6,31.278978616,31.2766229096,2.60954784346,79.0421721805,78.2131035857,5.59046626713,1,1
usp00077vd,1995-12-01 05:20:28.830000,10.2745700511,-103.737727727,6.6,us10005cc4,2016-04-29 01:33:38.910000,10.2751822493,-103.736344098,6.6,0.166009336281,1.95645412171,7.77084819566,65.9269653458,65.9209083154,57.084600285,1,1
usp000jgub,2012-03-26 17:58:25.760000,10.2061635255,-104.137762738,5.37,us20005j12,2016-04-16 15:20:11.080000,10.2200785407,-104.077910469,5.37,6.7360395581,8.47204563407,19.8523552185,76.7864115837,84.7570392023,54.0761295245,1,1
usp000jgu9,2012-03-26 17:48:42.420000,10.2083674229,-104.095613547,5.5,us20005j12,2016-04-16 15:20:11.080000,10.2200785407,-104.077910469,5.37,2.33243825457,2.33198857775,2.50784413163,56.2624892829,81.2756713306,78.6042361927,1,1
usp000eeab,2006-04-12 15:54:19.150000,10.2758520777,-103.837622007,5.0,us20005j12,2016-04-16 15:20:11.080000,10.2200785407,-104.077910469,5.37,27.0380371336,16.9100359906,17.0489196801,256.832452139,265.087650467,74.1161565666,1,1
usp000dxz5,2005-08-24 17:07:45.780000,10.3297864155,-103.477210146,5.7,us20005j12,2016-04-16 15:20:11.080000,10.2200785407,-104.077910469,5.37,66.9137750322,66.0566348791,28.7080391575,259.60532888,263.392399454,40.2402164822,1,1
usp000j0qk,2011-04-28 13:07:43.850000,10.3152976663,-103.589175515,5.8,usp000jguf,2012-03-26 18:12:52.850000,10.2215488926,-104.016671257,6.0,47.9656583312,47.9652708173,2.61494363898,257.553037153,257.554771208,3.60095220631,1,1
usp000hr7a,2010-12-20 15:15:08.670000,10.2246008976,-103.886697248,5.9,usp000jguf,2012-03-26 18:12:52.850000,10.2215488926,-104.016671257,6.0,14.2444415309,14.8417093864,15.8930524752,268.653550741,262.326550562,77.4031671734,1,1
usp000dxz5,2005-08-24 17:07:45.780000,10.3297864155,-103.477210146,5.7,usp000jguf,2012-03-26 18:12:52.850000,10.2215488926,-104.016671257,6.0,60.2961382486,60.9960194637,3.13006674527,258.595720713,258.595620248,3.23492170222,1,1
usp000jgu9,2012-03-26 17:48:42.420000,10.2083674229,-104.095613547,5.5,usp000jgub,2012-03-26 17:58:25.760000,10.2061635255,-104.137762738,5.37,4.62468109527,4.62277424752,12.9163286125,266.982220759,266.945471401,56.4474393346,1,1
usp000dxz5,2005-08-24 17:07:45.780000,10.3297864155,-103.477210146,5.7,usp000jgub,2012-03-26 17:58:25.760000,10.2061635255,-104.137762738,5.37,73.6430145142,81.5549829717,74.7195238549,259.35834261,258.798231483,80.1637768082,1,1
usp000jgub,2012-03-26 17:58:25.760000,10.2061635255,-104.137762738,5.37,usp000jgua,2012-03-26 17:56:18.910000,10.1555001519,-104.142366109,5.532,5.62648113215,2.51796905133,27.7912217462,185.144032835,5.14350183417,66.7057848379,1,1
usp000jgu9,2012-03-26 17:48:42.420000,10.2083674229,-104.095613547,5.5,usp000jgua,2012-03-26 17:56:18.910000,10.1555001519,-104.142366109,5.532,7.77431323438,7.08599624588,30.5529828337,221.225548256,206.527442862,69.6052186863,1,1
usp000j0qk,2011-04-28 13:07:43.850000,10.3152976663,-103.589175515,5.8,usp000jgu9,2012-03-26 17:48:42.420000,10.2083674229,-104.095613547,5.5,56.7272062404,55.8445151165,4.38736536313,258.010851988,257.459789002,5.31733395681,1,1
usp000dxz5,2005-08-24 17:07:45.780000,10.3297864155,-103.477210146,5.7,usp000jgu9,2012-03-26 17:48:42.420000,10.2083674229,-104.095613547,5.5,69.0632076955,69.0626738188,10.6706090477,258.841994486,263.771954344,10.596760096,1,1
usp000dxz5,2005-08-24 17:07:45.780000,10.3297864155,-103.477210146,5.7,usp000j0qk,2011-04-28 13:07:43.850000,10.3152976663,-103.589175515,5.8,12.3677831487,10.8950458806,10.2321748299,262.564793845,266.294168006,87.5113850267,1,1
usp000jgu9,2012-03-26 17:48:42.420000,10.2083674229,-104.095613547,5.5,usp000hr7a,2010-12-20 15:15:08.670000,10.2246008976,-103.886697248,5.9,22.9604431706,22.5764260283,24.3873902587,85.4962050765,269.638089115,58.5825111497,1,1
usp000j0qk,2011-04-28 13:07:43.850000,10.3152976663,-103.589175515,5.8,usp000hr7a,2010-12-20 15:15:08.670000,10.2246008976,-103.886697248,5.9,34.1017683187,34.0997489235,7.30184302497,252.918412441,68.6764377885,15.1521099992,1,1
usp000dxz5,2005-08-24 17:07:45.780000,10.3297864155,-103.477210146,5.7,usp000hr7a,2010-12-20 15:15:08.670000,10.2246008976,-103.886697248,5.9,46.3415769342,47.955817312,50.5552012004,255.496328083,253.112223195,76.4038524756,1,1
us20005j12,2016-04-16 15:20:11.080000,10.2200785407,-104.077910469,5.37,usp000epxv,2006-07-31 01:24:15.770000,10.2214981587,-104.015317394,5.5,6.85977897362,7.65245554279,7.65007982335,88.6828106721,265.979220427,83.0970826244,1,1
usp000jgu9,2012-03-26 17:48:42.420000,10.2083674229,-104.095613547,5.5,usp000epxv,2006-07-31 01:24:15.770000,10.2214981587,-104.015317394,5.5,8.91684944424,9.09563255941,8.02101084716,80.6187554226,267.641209155,74.2894275337,1,1
usp000j0qk,2011-04-28 13:07:43.850000,10.3152976663,-103.589175515,5.8,usp000epxv,2006-07-31 01:24:15.770000,10.2214981587,-104.015317394,5.5,47.8220839919,48.6986230793,4.97904117632,257.507937786,78.1316553659,7.32119899699,1,1
usp000hr7a,2010-12-20 15:15:08.670000,10.2246008976,-103.886697248,5.9,usp000epxv,2006-07-31 01:24:15.770000,10.2214981587,-104.015317394,5.5,14.0962859801,13.1587243541,6.78151722524,268.616339378,88.5550501139,42.9511613838,1,1
usp000dxz5,2005-08-24 17:07:45.780000,10.3297864155,-103.477210146,5.7,usp000epxv,2006-07-31 01:24:15.770000,10.2214981587,-104.015317394,5.5,60.151910366,59.9623851743,38.1098200907,258.562312348,262.9389659,56.5669293161,1,1
usp0006y9s,1995-05-30 00:41:21.810000,10.270706149,-103.9106308,5.2,usp000epxv,2006-07-31 01:24:15.770000,10.2214981587,-104.015317394,5.5,12.6950162536,21.7694232635,19.4506901129,244.621665368,263.208905478,80.1070756904,1,1
us20005j12,2016-04-16 15:20:11.080000,10.2200785407,-104.077910469,5.37,usp000epxq,2006-07-30 23:45:21.940000,10.2066430248,-104.081059669,5.4,1.5256234016,1.52566956199,0.666416627519,193.071905197,13.0673386407,26.4412254135,1,1
usp000jgub,2012-03-26 17:58:25.760000,10.2061635255,-104.137762738,5.37,usp000epxq,2006-07-30 23:45:21.940000,10.2066430248,-104.081059669,5.4,6.213151393,7.29200462406,28.2997741554,89.5058792398,292.015476266,63.1885511873,1,1
usp000jgu9,2012-03-26 17:48:42.420000,10.2083674229,-104.095613547,5.5,usp000epxq,2006-07-30 23:45:21.940000,10.2066430248,-104.081059669,5.4,1.60602138746,1.60612425563,2.13236753831,96.8193664467,266.131179118,68.6106990782,1,1
usp000j0qk,2011-04-28 13:07:43.850000,10.3152976663,-103.589175515,5.8,usp000epxq,2006-07-30 23:45:21.940000,10.2066430248,-104.081059669,5.4,55.21021199,56.131562168,6.51859637919,257.471002462,77.1135111751,7.66846815457,1,1
usp000epxv,2006-07-31 01:24:15.770000,10.2214981587,-104.015317394,5.5,usp000epxq,2006-07-30 23:45:21.940000,10.2066430248,-104.081059669,5.4,7.38820225051,7.38816356974,0.507155440394,257.155967367,77.1561800535,4.13633400781,1,1
usp000dxz5,2005-08-24 17:07:45.780000,10.3297864155,-103.477210146,5.7,usp000epxq,2006-07-30 23:45:21.940000,10.2066430248,-104.081059669,5.4,67.5383918695,67.333726235,6.76617198992,258.418978899,262.59411261,6.18006335753,1,1
usp000jgub,2012-03-26 17:58:25.760000,10.2061635255,-104.137762738,5.37,usp000eeab,2006-04-12 15:54:19.150000,10.2758520777,-103.837622007,5.0,33.7740766477,41.030479659,31.6290449981,76.7805504569,255.303987794,75.8626875202,1,1
usp0006y9s,1995-05-30 00:41:21.810000,10.270706149,-103.9106308,5.2,usp000eeab,2006-04-12 15:54:19.150000,10.2758520777,-103.837622007,5.0,8.01808715245,8.01863459727,3.92015543648,85.9227454187,85.9362988183,38.3057526893,1,1
usp000jguf,2012-03-26 18:12:52.850000,10.2215488926,-104.016671257,6.0,usp00077vd,1995-12-01 05:20:28.830000,10.2745700511,-103.737727727,6.6,31.1173551625,31.1141498491,4.93844240127,79.1117897686,258.794036072,12.8957782883,1,1
