id,time,lat,lon,mag,group
usp0006y9s,1995-05-30 00:41:21.810000,10.270706149,-103.9106308,5.2,1
usp00077vd,1995-12-01 05:20:28.830000,10.2745700511,-103.737727727,6.6,1
usp000dxz5,2005-08-24 17:07:45.780000,10.3297864155,-103.477210146,5.7,1
usp000eeab,2006-04-12 15:54:19.150000,10.2758520777,-103.837622007,5.0,1
usp000epxq,2006-07-30 23:45:21.940000,10.2066430248,-104.081059669,5.4,1
usp000epxv,2006-07-31 01:24:15.770000,10.2214981587,-104.015317394,5.5,1
usp000hr7a,2010-12-20 15:15:08.670000,10.2246008976,-103.886697248,5.9,1
usp000j0qk,2011-04-28 13:07:43.850000,10.3152976663,-103.589175515,5.8,1
usp000jgu9,2012-03-26 17:48:42.420000,10.2083674229,-104.095613547,5.5,1
usp000jgua,2012-03-26 17:56:18.910000,10.1555001519,-104.142366109,5.532,1
usp000jgub,2012-03-26 17:58:25.760000,10.2061635255,-104.137762738,5.37,1
usp000jguf,2012-03-26 18:12:52.850000,10.2215488926,-104.016671257,6.0,1
us20005j12,2016-04-16 15:20:11.080000,10.2200785407,-104.077910469,5.37,1
us10005cc4,2016-04-29 01:33:38.910000,10.2751822493,-103.736344098,6.6,1
