id,time,lat,lon,mag,group
iscgem877909,1960-01-02 12:21:58,-55.877,-1.89,6.3,-1
iscgem787884,1971-01-03 17:35:41,-55.918,-2.668,7.1,-1
usp00005ek,1974-02-28 03:24:24.100000,-55.464,-1.757,5.532,-1
usp0001fmd,1981-09-02 00:23:54.260000,-55.311,-1.679,5.451,-1
usp0001fx4,1981-09-16 11:48:07.500000,-55.446,-1.569,5.451,-1
usp0001tp2,1983-03-15 16:56:15.760000,-54.997,-1.022,5.775,-1
usp0002dgn,1985-04-05 14:39:38.390000,-55.038,-2.021,5.694,-1
usp0002e8f,1985-04-28 12:42:55.710000,-55.548,-1.317,5.451,-1
usp0002wwf,1986-08-05 14:48:41.110000,-54.852,-1.081,5.451,-1
usp0003c77,1988-01-20 02:17:41.950000,-55.183,-1.65,5.37,-1
usp0004kav,1991-01-07 02:32:12.250000,-55.446,-1.689,5.3,-1
usp0004kbd,1991-01-07 06:55:33.190000,-55.357,-1.409,5.613,-1
usp0004rs8,1991-05-17 22:48:58.100000,-55.301,-1.684,5.4,-1
usp0006xwq,1995-05-23 22:10:11.840000,-55.97719847,-2.82303366222,6.8,2
usp0007vjy,1997-01-07 04:17:02.810000,-55.547,-3.432,5.2,-1
usp0008daa,1997-12-27 20:11:01.340000,-55.783,-4.218,6.2,-1
usp0008dak,1997-12-27 22:55:20.420000,-55.686,-4.115,5.451,-1
usp000cf8u,2003-12-14 14:37:37.990000,-55.3917729318,-1.72407413373,5.4,1
usp000d6ep,2004-10-15 18:52:29.780000,-55.5342788796,-1.73101105615,5.3,1
usp000djw0,2005-03-23 12:08:56.220000,-55.408,-1.475,5.1,-1
usp000djwc,2005-03-23 13:59:17.020000,-55.4860415883,-1.71942100541,5.8,1
usp000ebaz,2006-03-03 23:36:27.980000,-56.0291409772,-3.97061113125,6.0,2
usp000f6gg,2007-03-11 12:38:38.060000,-55.343,-1.558,5.0,-1
usp000fepk,2007-06-24 00:25:18.400000,-55.9808497154,-2.13731332042,6.5,2
usp000h7pq,2010-02-26 00:11:50.050000,-56.0249390059,-4.27681957462,5.6,2
usp000hpch,2010-11-10 13:25:38.240000,-55.746,-4.768,5.2,-1
us20006v5r,2016-08-29 21:40:38.780000,-56.0763833298,-4.88280015614,5.694,2
us1000jb4d,2019-03-06 05:11:02.780000,-55.4438027678,-1.66769499429,5.3,1
