id,time,lat,lon,mag,along_strike_distance
us70008jxh,2020-04-01 04:09:21.850000,-45.5913,-76.6302,5.2,8971.59486444
us1000jh45,2019-03-16 17:54:33.291000,-45.651,-76.6689,5.0,8975.66411457
us2000i7qy,2018-11-06 21:22:55.750000,-45.534,-76.7622,5.3,8980.7175063
us1000h50j,2018-10-01 15:11:49.730000,-45.7584,-75.8625,5.2,8915.80295915
us1000er8i,2018-06-14 06:27:39.290000,-45.8429,-76.3048,5.7,8951.29166337
us2000a9je,2017-08-18 20:31:50.930000,-45.528,-76.6048,5.1,8968.4791892
us10008vpd,2017-05-27 07:38:41.020000,-45.7378,-75.6269,5.1,8897.35358888
usb000mzjs,2014-03-02 17:03:41.700000,-45.7209,-76.609,5.4,8972.34303547
usb000mzih,2014-03-02 16:18:28.280000,-45.8292,-76.6762,5.451,8979.48546084
usb000mzfd,2014-03-02 11:14:39.680000,-45.7672,-76.5984,5.613,8972.3813349
usb000mzeu,2014-03-02 10:12:21.950000,-45.6934,-76.547,5.532,8967.07520723
usb000h0sl,2013-05-21 12:51:52.440000,-45.528,-76.532,5.613,8962.87040368
usb000g64f,2013-04-13 09:19:04.880000,-45.85,-75.697,5.4,8904.93207391
usp000jvgu,2012-11-13 04:31:26.760000,-45.761,-77.053,6.1,9007.1616551
usp000jd24,2012-01-05 00:54:31.110000,-45.992,-76.472,5.613,8966.87320718
usp000jcge,2011-12-22 15:06:32.600000,-46.012,-76.349,5.0,8957.857139
usp000jc8u,2011-12-16 12:54:25.370000,-45.766,-76.056,5.8,8930.77401136
usp000jc8s,2011-12-16 12:02:56.980000,-45.828,-76.02,5.4,8929.20835539
usp000hz89,2011-04-04 07:54:35.940000,-45.719,-76.612,5.3,8972.53845617
usp000hf2z,2010-07-09 22:57:17.810000,-46.06,-75.589,5.3,8900.85576068
usp000h1f6,2009-09-12 03:56:59.460000,-45.64,-76.515,5.0,8963.62964123
usp000gyqt,2009-06-29 03:07:30.910000,-45.633,-76.495,5.3,8961.9625034
usp000gy9u,2009-06-17 07:04:52.730000,-45.617,-77.146,5.2,9011.76722884
usp000fqpr,2007-10-16 13:37:53.020000,-45.99,-76.367,5.2,8958.81716316
usp000fnvz,2007-09-22 08:01:03.460000,-45.913,-76.276,5.5,8950.41188784
usp000eune,2006-10-07 16:32:18.970000,-45.701,-76.288,5.1,8947.33061365
usp000efqb,2006-04-28 18:21:54.960000,-45.687,-76.248,5.3,8943.99624377
usp000e1hs,2005-10-10 16:07:00.280000,-45.62,-76.566,5.1,8967.18232594
usp000d7nw,2004-11-04 08:29:16.580000,-45.905,-76.445,5.3,8963.18551656
usp000d7nv,2004-11-04 08:10:17.870000,-45.921,-76.553,5.0,8971.7440932
usp000c0a6,2003-06-20 04:23:28.440000,-45.571,-75.939,5.4,8918.04520226
usp000azha,2002-03-03 11:57:10.960000,-45.718,-75.682,5.694,8901.18395546
usp000azgv,2002-03-03 07:16:15.690000,-45.837,-76.119,5.9,8936.95756433
usp0009cxu,1999-08-12 07:27:13.910000,-45.622,-76.578,5.5,8968.14209968
usp000955m,1999-03-25 13:21:21.360000,-45.354,-76.342,5.37,8944.98783957
usp0008q2f,1998-06-18 04:38:37.140000,-45.595,-75.557,5.37,8889.1666882
usp00084ck,1997-07-04 23:52:04.500000,-45.532,-76.307,5.2,8945.61611864
usp000669y,1994-01-10 18:21:58.020000,-45.958,-76.527,5.694,8970.44242183
usp0005tvt,1993-06-01 15:53:47.110000,-45.711,-77.211,5.9,9018.42022385
