id,time,lat,lon,mag,group
iscgem895109,1950-01-03 11:06:28,-45.798,-77.077,6.3,-1
iscgem872979,1963-08-27 03:23:33,-45.936,-76.572,6.1,-1
usp00000bc,1973-01-30 15:03:23.900000,-45.684,-76.637,5.686,-1
usp0000776,1974-07-18 18:29:50.700000,-45.781,-76.348,5.748,-1
usp0000b2n,1975-05-18 16:48:38.300000,-45.672,-76.501,5.694,-1
usp00023yr,1984-04-28 06:59:37.040000,-45.393,-76.121,5.451,-1
usp0002dam,1985-03-30 13:47:28.340000,-45.533,-76.369,5.4,-1
usp0002uqe,1986-06-02 22:29:53.170000,-45.654,-76.816,5.532,-1
usp00030ff,1986-11-28 17:27:01.130000,-45.545,-76.839,5.532,-1
usp00030fh,1986-11-28 20:34:48.280000,-45.712,-75.655,5.3,-1
usp00032ft,1987-02-14 15:24:01.810000,-45.847,-76.788,5.613,-1
usp00032fw,1987-02-14 15:44:16.160000,-45.698,-76.058,5.9,-1
usp0003ans,1987-11-29 07:57:21.650000,-45.715,-76.512,5.5,-1
usp0003u64,1989-04-20 15:02:16.520000,-45.712,-75.56,5.775,-1
usp0005tvt,1993-06-01 15:53:47.110000,-45.711,-77.211,5.9,-1
usp000669y,1994-01-10 18:21:58.020000,-45.958,-76.527,5.694,-1
usp00084ck,1997-07-04 23:52:04.500000,-45.5613519767,-76.7933894166,5.2,1
usp0008q2f,1998-06-18 04:38:37.140000,-45.6077348984,-76.1723678641,5.37,1
usp000955m,1999-03-25 13:21:21.360000,-45.4778028004,-76.7346038101,5.37,1
usp0009cxu,1999-08-12 07:27:13.910000,-45.6180278131,-76.5701722674,5.5,1
usp000azgv,2002-03-03 07:16:15.690000,-45.6955575203,-76.5800626467,5.9,1
usp000azha,2002-03-03 11:57:10.960000,-45.6471858853,-76.3587785565,5.694,1
usp000c0a6,2003-06-20 04:23:28.440000,-45.5606177832,-76.6125091021,5.4,1
usp000d7nv,2004-11-04 08:10:17.870000,-45.6653905286,-76.6048420634,5.0,1
usp000d7nw,2004-11-04 08:29:16.580000,-45.6553705489,-76.6051388306,5.3,1
usp000e1hs,2005-10-10 16:07:00.280000,-45.4790650577,-76.7385236991,5.1,1
usp000efqb,2006-04-28 18:21:54.960000,-45.5868996277,-76.9097047469,5.3,1
usp000eune,2006-10-07 16:32:18.970000,-45.6002385835,-76.5226886623,5.1,1
usp000fnvz,2007-09-22 08:01:03.460000,-45.708006197,-76.6674714739,5.5,1
usp000fqpr,2007-10-16 13:37:53.020000,-45.7186590877,-76.6868557605,5.2,1
usp000gy9u,2009-06-17 07:04:52.730000,-45.554764232,-77.0910017047,5.2,1
usp000gyqt,2009-06-29 03:07:30.910000,-45.5515432166,-76.8034250439,5.3,1
usp000h1f6,2009-09-12 03:56:59.460000,-45.5559312729,-76.7418120465,5.0,1
usp000hf2z,2010-07-09 22:57:17.810000,-45.6578611236,-76.4591722283,5.3,1
usp000hz89,2011-04-04 07:54:35.940000,-45.5606178904,-76.6125113177,5.3,1
usp000jc8s,2011-12-16 12:02:56.980000,-45.6805585686,-76.5264612492,5.4,1
usp000jc8u,2011-12-16 12:54:25.370000,-45.7068771233,-76.614219386,5.8,1
usp000jcge,2011-12-22 15:06:32.600000,-45.6890873006,-76.6135204406,5.0,1
usp000jd24,2012-01-05 00:54:31.110000,-45.6713666469,-76.6680593843,5.613,1
usp000jvgu,2012-11-13 04:31:26.760000,-45.4954223585,-77.6241080727,6.1,1
usb000g64f,2013-04-13 09:19:04.880000,-45.6641956769,-76.488127291,5.4,1
usb000h0sl,2013-05-21 12:51:52.440000,-45.5226253232,-76.7508933047,5.613,1
usb000mzeu,2014-03-02 10:12:21.950000,-45.6035817995,-76.6330722688,5.532,1
usb000mzfd,2014-03-02 11:14:39.680000,-45.6657193673,-76.5911808897,5.613,1
usb000mzih,2014-03-02 16:18:28.280000,-45.6668412729,-76.5748685764,5.451,1
usb000mzjs,2014-03-02 17:03:41.700000,-45.660499067,-76.580130796,5.4,1
us10008vpd,2017-05-27 07:38:41.020000,-45.6506087609,-76.3702026994,5.1,1
us2000a9je,2017-08-18 20:31:50.930000,-45.6421145668,-76.9773563264,5.1,1
us1000er8i,2018-06-14 06:27:39.290000,-45.6832001556,-76.4901331646,5.7,1
us1000h50j,2018-10-01 15:11:49.730000,-45.6611149863,-76.4268076847,5.2,1
us2000i7qy,2018-11-06 21:22:55.750000,-45.5606920459,-76.7911278052,5.3,1
us1000jh45,2019-03-16 17:54:33.291000,-45.5888543134,-76.8625231619,5.0,1
us70008jxh,2020-04-01 04:09:21.850000,-45.5908392825,-76.6205904626,5.2,1
