net,sta,lat,lon,dep,azi,dist
G,AGD,11.529,42.824001,450.0,1.47191834385,6083.41442598
II,ARTI,56.3879,58.3849,320.0,9.40407169538,11170.6283644
G,FOMA,-24.97565,46.978877,28.0,15.2334873031,2101.86375934
II,MSEY,-4.6737,55.4792,475.0,21.6314463775,4502.80335187
II,NIL,33.6506,73.2686,629.0,26.2775123781,9119.52779447
G,RER,-21.1712,55.739861,834.0,32.5163816788,2792.67479141
G,HYB,17.41867,78.55213,510.0,37.8701957055,7718.35572197
G,ROCAM,-19.75553,63.37014,52.0,44.6531666503,3316.55844775
IU,CHTO,18.8141,98.9443,420.0,53.8763848028,9034.40854219
IU,INCN,37.47768,126.62436,55.0,58.412268119,12391.7785462
IC,QIZ,19.0291,109.8445,240.0,61.6282030534,9799.14630968
MS,BTDF,1.3617,103.775002,57.0,69.2441945587,7909.4712158
II,COCO,-12.1901,96.8349,1.0,74.1828613398,6298.85446432
IU,DAV,7.0697,125.5791,151.0,80.9034467872,10062.2801063
II,KAPI,-5.0142,119.7517,300.0,85.6230474741,8671.78106029
G,AIS,-37.796349,77.569183,35.9,90.7688635815,3082.49759396
IU,MBWA,-21.159,119.7313,190.0,98.2264243155,7484.77275136
IU,NWAO,-32.9277,117.239,380.0,107.259822085,6502.66211624
II,KWAJ,8.8019,167.613,0.0,110.019172809,13551.211653
G,PAF,-49.351,70.210708,17.0,116.861425101,2282.79623573
IU,TARA,1.3549,172.9229,20.0,120.348219563,13321.9162577
II,TAU,-42.9099,147.3204,132.0,131.847087974,7928.92413644
II,MSVF,-17.7448,178.0528,801.1,136.778248245,11914.3636398
G,FUTU,-14.307673,-178.121063,97.0,138.275982333,12450.5650362
IU,CASY,-66.2792,110.5354,10.0,146.393639049,4768.3626918
G,DRV,-66.664909,140.002075,40.0,150.970628799,6013.52654482
G,CCD,-75.1065,123.305,3240.0,159.369137271,5161.27361999
GT,VNDA,-77.517273,161.852753,121.1,166.59042418,5990.24492552
H2,H2O,27.88191,-141.99173,-4947.0,168.491710358,18252.8668557
IU,QSPA,-89.9289,144.4382,2850.0,179.904445296,5196.57620961
IU,SPA,-90.0,0.0,2927.0,180.0,5194.8071916
IU,PTCN,-25.0713,-130.0953,220.0,188.038913372,12375.630268
IU,PMSA,-64.7744,-64.0489,40.0,209.158516267,6406.80573726
G,COYC,-45.57299,-72.08139,235.0,221.983825502,8179.11748582
II,EFI,-51.6753,-58.0637,110.0,223.626143842,6957.71278087
II,HOPE,-54.2836,-36.4879,20.0,228.425670898,5553.77815963
IU,LCO,-29.011,-70.7005,2274.0,234.287230886,9439.51902485
G,ICC,-20.284,-70.035004,950.0,240.599417949,10107.543511
IU,OTAV,0.2376,-78.4508,3510.0,248.328641847,12407.9179563
G,SPB,-23.592691,-47.426979,647.0,252.923342883,8172.04217178
G,TRIS,-37.0681,-12.3152,60.0,259.848453383,4561.23455063
CU,GRGR,12.1324,-61.654,195.0,269.740688464,11996.9195264
IU,RCBR,-5.8274,-35.9014,400.0,274.227544589,8557.68464601
IU,WCI,38.2289,-86.2939,210.0,280.591762173,15659.4014509
IU,BBSR,32.371299,-64.696299,30.0,285.400575251,13633.5384603
II,SHEL,-15.9594,-5.7455,537.0,289.182846215,5397.97675262
II,SUR,-32.3797,20.8117,1770.0,296.989803759,2190.19884872
G,SOK,14.494418,-16.456223,70.9,302.84408309,8709.12989261
IU,MACI,28.2502,-16.508199,1674.0,311.420815077,9903.47702084
IU,TSUM,-19.2022,17.5838,1260.0,312.488146548,3498.56557287
GT,LBTB,-25.0151,25.596649,1128.0,319.256431496,2507.01813361
G,TAM,22.791491,5.52838,1410.0,325.487842525,8205.22713996
IU,LSZ,-15.2779,28.1882,1200.0,333.628064964,3368.36169362
II,BFO,48.3301,8.3296,638.0,338.386162851,10671.5570806
II,MBAR,-0.6019,30.7382,1390.0,344.159289296,4862.28030776
IU,NAI,-1.2739,36.8037,1692.0,352.839374509,4690.57959805
IU,FURI,8.8952,38.6798,2570.0,356.339231522,5798.37517562
