id,time,lat,lon,mag,group
iscgem890002,1955-10-14 08:43:01,-3.711,-104.117,6.1,-1
iscgem885037,1958-08-27 02:25:39,-3.97,-104.695,6.0,-1
usp00001zd,1973-05-30 16:32:22.100000,-4.083,-104.105,5.562,-1
usp000064c,1974-04-28 03:57:49.900000,-3.864,-104.02,5.686,-1
usp00015b8,1980-02-06 12:20:57.700000,-3.969,-104.074,5.451,-1
usp000177c,1980-05-14 12:32:04.900000,-3.795,-103.705,5.5,-1
usp0001cfk,1981-03-01 00:17:52.280000,-3.913,-103.97,5.451,-1
usp0001mce,1982-05-16 15:24:07.020000,-3.951,-104.371,5.562,-1
usp0001mcj,1982-05-16 19:21:14.210000,-3.964,-104.326,5.37,-1
usp0001mug,1982-06-11 12:39:30.790000,-4.098,-104.324,5.5,-1
usp00024d5,1984-05-15 07:29:33.960000,-4.41,-104.874,5.6,-1
usp0002q44,1986-01-16 14:00:07.540000,-4.167,-104.475,5.7,-1
usp0002s3q,1986-03-22 16:56:51.770000,-4.377,-104.701,6.1,-1
usp0003fh4,1988-04-29 17:26:47.030000,-3.877,-103.788,5.7,-1
usp0003mk0,1988-10-06 14:05:10.910000,-3.989,-104.263,5.9,-1
usp0003y7e,1989-08-07 23:34:54.550000,-4.44,-104.876,5.7,-1
usp0004gdx,1990-11-01 06:06:53.250000,-4.479,-104.735,5.5,-1
usp0004u9f,1991-07-17 16:41:24.830000,-3.989,-104.094,5.7,-1
usp00058mv,1992-06-03 17:00:53.810000,-4.525,-104.682,5.7,-1
usp0005dvw,1992-09-11 21:06:00.810000,-4.374,-104.65,5.6,-1
usp0006bzj,1994-05-03 09:39:13.910000,-3.80208648377,-103.617191707,5.3,1
usp00073fm,1995-09-16 22:49:14.500000,-3.99631789046,-103.923865786,5.6,1
usp00079v5,1995-12-30 03:26:10.980000,-4.46810344394,-104.86547657,6.1,1
usp0007nzb,1996-08-23 21:56:06.080000,-3.95480797899,-104.347017048,5.9,1
usp0007nzd,1996-08-23 22:18:57.050000,-3.96179575077,-104.223713187,5.8,1
usp0008y7t,1998-11-15 04:51:42.230000,-3.98114861655,-104.158629952,5.5,1
usp0009ek1,1999-09-18 04:01:04.400000,-4.50628362216,-104.755135095,5.6,1
usp000ahgp,2001-06-26 12:33:52.030000,-3.95480549267,-104.347014888,6.1,1
usp000akg8,2001-07-30 04:34:43.470000,-3.99830900164,-103.928086244,5.6,1
usp000atq5,2001-11-29 17:06:58.930000,-3.96728930279,-104.220091416,5.6,1
usp000ax3n,2002-01-24 21:07:11.420000,-4.48367513021,-104.846207618,5.8,1
usp000cdyb,2003-11-26 17:32:51.660000,-3.98046254543,-104.154187706,5.4,1
usp000dxsd,2005-08-21 09:49:50.080000,-3.96428477811,-104.030192291,5.8,1
usp000eh3x,2006-05-14 14:50:07.230000,-3.76059835751,-103.596373604,5.3,1
usp000ey9k,2006-11-19 18:57:33.590000,-4.49216880011,-104.808655571,6.1,1
usp000fgx4,2007-07-23 06:00:35.580000,-3.97477793483,-104.15046621,5.5,1
usp000fgx5,2007-07-23 06:03:52.440000,-3.96056229678,-104.220107477,5.7,1
usp000fmu7,2007-09-10 08:00:49.330000,-3.7952695994,-103.332461076,5.0,1
usp000fnw1,2007-09-22 08:29:56.300000,-3.73529896702,-103.697202101,5.3,1
usp000fnw2,2007-09-22 09:19:50.470000,-3.72654121744,-103.701292994,5.1,1
usp000gw66,2009-04-15 14:04:29.960000,-3.9518652315,-104.360420619,5.2,1
usp000gxfp,2009-05-24 09:57:11.080000,-3.99291685699,-103.928853106,5.6,1
usp000h2ea,2009-10-06 01:59:39.290000,-4.45013900694,-104.95090879,5.7,1
usp000h43r,2009-11-16 13:35:24.380000,-3.95627224222,-104.063770888,5.1,1
usp000hezy,2010-07-07 11:31:21.300000,-3.97409860444,-103.961281191,5.0,1
usp000jdma,2012-01-17 15:27:48.530000,-3.96564684837,-104.021898683,5.4,1
usp000jx2v,2012-12-17 17:41:32.300000,-3.95139000293,-104.3536812,5.9,1
usp000jx2w,2012-12-17 17:46:46.630000,-3.96728631257,-104.220090633,5.7,1
usc000jrid,2013-09-11 12:44:13.210000,-4.48342429038,-104.841076363,6.1,1
usc000tb93,2015-01-02 11:01:22.940000,-3.97164178979,-104.155020537,5.3,1
us10003kus,2015-10-07 02:30:21.560000,-3.95710874425,-104.021548403,5.4,1
us20005haz,2016-04-12 03:22:47.710000,-3.77524087338,-103.981435264,5.8,1
us200062qw,2016-06-08 08:31:39.780000,-3.95139685617,-104.365242062,5.9,1
us2000640t,2016-06-13 00:59:39.890000,-4.45017757966,-104.950584857,5.7,1
us20007cfa,2016-10-06 20:57:08.640000,-3.99289899615,-103.928838181,5.6,1
us600068n8,2019-11-07 14:21:48.609000,-3.96161960593,-104.025736529,5.4,1
