id,time,lat,lon,mag,group
usp0006bzj,1994-05-03 09:39:13.910000,-3.88859411005,-103.644773784,5.3,1
usp00073fm,1995-09-16 22:49:14.500000,-4.08715447636,-103.955437119,5.6,1
usp00079v5,1995-12-30 03:26:10.980000,-4.55707049948,-104.889082136,6.1,1
usp0007nzb,1996-08-23 21:56:06.080000,-4.04102408663,-104.375766689,5.9,1
usp0007nzd,1996-08-23 22:18:57.050000,-4.05026195456,-104.253156515,5.8,1
usp0008y7t,1998-11-15 04:51:42.230000,-4.07411029673,-104.190071765,5.5,1
usp0009ek1,1999-09-18 04:01:04.400000,-4.58556124737,-104.756236652,5.6,1
usp000ahgp,2001-06-26 12:33:52.030000,-4.04429825435,-104.380351354,6.1,1
usp000akg8,2001-07-30 04:34:43.470000,-4.08790948182,-103.957782684,5.6,1
usp000atq5,2001-11-29 17:06:58.930000,-4.05914683123,-104.249044579,5.6,1
usp000ax3n,2002-01-24 21:07:11.420000,-4.57265951038,-104.871499533,5.8,1
usp000cdyb,2003-11-26 17:32:51.660000,-4.07584740878,-104.184711098,5.4,1
usp000dxsd,2005-08-21 09:49:50.080000,-4.05516403787,-104.056232193,5.8,1
usp000eh3x,2006-05-14 14:50:07.230000,-3.85939822893,-103.642516145,5.3,1
usp000ey9k,2006-11-19 18:57:33.590000,-4.5787970154,-104.82964557,6.1,1
usp000fgx4,2007-07-23 06:00:35.580000,-4.06801231298,-104.182769725,5.5,1
usp000fgx5,2007-07-23 06:03:52.440000,-4.05212486981,-104.249055865,5.7,1
usp000fmu7,2007-09-10 08:00:49.330000,-3.90129264082,-103.429834813,5.0,1
usp000fnw1,2007-09-22 08:29:56.300000,-3.83508612925,-103.749301348,5.3,1
usp000fnw2,2007-09-22 09:19:50.470000,-3.82329440745,-103.764972235,5.1,1
usp000gw66,2009-04-15 14:04:29.960000,-4.04246318632,-104.386359491,5.2,1
usp000gxfp,2009-05-24 09:57:11.080000,-4.08790783901,-103.95778043,5.6,1
usp000h2ea,2009-10-06 01:59:39.290000,-4.54080401034,-104.970664355,5.7,1
usp000h43r,2009-11-16 13:35:24.380000,-4.04940663835,-104.096146914,5.1,1
usp000hezy,2010-07-07 11:31:21.300000,-4.06216049064,-103.990199633,5.0,1
usp000jdma,2012-01-17 15:27:48.530000,-4.05920810541,-104.052377498,5.4,1
usp000jx2v,2012-12-17 17:41:32.300000,-4.04429716399,-104.380351102,5.9,1
usp000jx2w,2012-12-17 17:46:46.630000,-4.05914376605,-104.249043779,5.7,1
usc000jrid,2013-09-11 12:44:13.210000,-4.57225270435,-104.855892987,6.1,1
usc000tb93,2015-01-02 11:01:22.940000,-4.06487524713,-104.187323485,5.3,1
us10003kus,2015-10-07 02:30:21.560000,-4.05255167157,-104.052064005,5.4,1
us20005haz,2016-04-12 03:22:47.710000,-3.8660620897,-104.011378285,5.8,1
us200062qw,2016-06-08 08:31:39.780000,-4.03955544944,-104.393037205,5.9,1
us2000640t,2016-06-13 00:59:39.890000,-4.54126327168,-104.966606563,5.7,1
us20007cfa,2016-10-06 20:57:08.640000,-4.08341332743,-103.96086951,5.6,1
us600068n8,2019-11-07 14:21:48.609000,-4.05516423263,-104.056230697,5.4,1
us7000bqqu,2020-09-21 12:27:56.936000,-4.0506451243,-104.253699718,5.5,1
us7000bqr4,2020-09-21 13:37:15.082000,-4.04241359943,-104.378418543,5.8,1
