net,sta,lat,lon,dep,azi,dist
IU,TIXI,71.6341,128.8667,40.0,4.52144733212,11149.9350196
II,BORG,64.7474,-21.3268,110.0,7.78254169696,6460.52270924
II,CMLA,37.7637,-25.5243,429.0,17.2713646483,3532.50144607
II,ESK,55.3167,-3.205,242.0,22.8636625285,6071.83777933
IU,KONO,59.6491,9.5982,216.0,24.4631582075,6963.74967085
G,EVO,38.532001,-8.013,0.0,35.8022417784,4487.52562536
IU,TBT,28.6794,-17.9145,180.0,38.1189165679,3068.66732695
II,KIV,43.9553,42.6863,1054.0,46.64519621,8594.38795461
IU,ANTO,39.868,32.7934,1090.0,50.2911522192,7741.51100752
II,SACV,14.9702,-23.6085,387.0,59.4909873286,1663.43166232
G,TAM,22.791491,5.52838,1410.0,64.8167176682,4836.48702715
G,MBO,14.392024,-16.955467,3.0,69.2476643386,2303.84211921
IU,KOWA,14.4967,-4.014,321.0,75.101004587,3669.33048777
IU,FURI,8.8952,38.6798,2570.0,82.8079459751,8313.11171056
G,BNG,4.435,18.547001,378.0,89.8465697361,6144.80534507
G,EDA,3.778868,10.153427,140.0,91.8960898959,5226.89662231
IU,MSKU,-1.6557,13.6116,312.0,98.2437561386,5701.29844717
IU,LSZ,-15.2779,28.1882,1200.0,109.679880455,7610.53059547
IU,TSUM,-19.2022,17.5838,1260.0,117.260633129,6668.96415736
II,ASCN,-7.9327,-14.3601,173.0,123.997188242,3034.37923787
II,SHEL,-15.9594,-5.7455,537.0,127.295653687,4310.45646763
G,CRZF,-46.43096,51.855308,140.0,136.15361162,10521.7778087
G,PAF,-49.351,70.210708,17.0,139.341286085,11884.9554878
II,WRAB,-19.9336,134.36,366.0,147.208427128,18355.1536418
G,TRIS,-37.0681,-12.3152,60.0,154.281028552,5568.92582375
IU,CASY,-66.2792,110.5354,10.0,165.899211337,13031.75868
IU,RCBR,-5.8274,-35.9014,400.0,175.701282031,1488.93222031
IU,SPA,-90.0,0.0,2927.0,180.0,10842.3795475
IU,PMSA,-64.7744,-64.0489,40.0,191.663405401,8337.38919842
II,EFI,-51.6753,-58.0637,110.0,194.76853138,6872.76290285
G,SPB,-23.592691,-47.426979,647.0,198.090328065,3635.66733784
IU,TRQA,-38.0568,-61.9787,540.0,205.457565685,5684.86348003
IU,SNZO,-41.3087,174.7043,120.0,214.546418505,15148.4993876
IU,LCO,-29.011,-70.7005,2274.0,220.320938813,5435.6950975
IU,LVC,-22.6127,-68.9111,2960.0,225.459403344,4831.20911421
G,ICC,-20.284,-70.035004,950.0,229.068106977,4761.50708227
IU,SAML,-8.9489,-63.1831,120.0,238.361223121,3442.20098463
II,NNA,-11.9875,-76.8422,575.0,244.241914929,4923.23123153
IU,PTGA,-0.7308,-59.9666,237.0,251.198412158,2721.49978824
G,PPTF,-17.5896,-149.565247,705.0,254.130268489,12668.6314843
G,CAY,4.948,-52.317001,25.0,261.152387419,1730.81130127
IU,BOCO,4.5869,-74.0432,3160.0,267.574861458,4123.7030222
IU,SDV,8.8839,-70.634,1620.0,274.613302939,3718.20885249
G,HDC,10.00201,-84.11142,1186.0,276.587037532,5196.77649578
CU,BBGH,13.1434,-59.5588,180.0,285.767494029,2554.5061958
G,FDF,14.734971,-61.146311,467.0,288.735873252,2760.86446119
CU,ANWB,17.66853,-61.78557,39.0,294.819285056,2919.41134746
IU,DWPF,28.1103,-81.4327,30.0,301.690089697,5196.65935193
IU,WVT,36.1297,-87.83,170.0,309.373291127,6045.86230924
IU,BBSR,32.371299,-64.696299,30.0,317.471532034,3972.26999299
IU,SSPA,40.6358,-77.8876,270.0,318.711318653,5462.43323916
IU,HRV,42.5064,-71.5583,200.0,324.436055743,5145.74767999
II,KDAK,57.7828,-152.5835,152.0,331.023463915,10763.6980818
IM,IL08,64.790298,-146.796906,505.0,336.332284747,10165.9726702
G,IVI,61.205808,-48.171178,15.0,353.305445166,6021.04858611
II,ALE,82.5033,-62.35,60.0,356.66961052,8407.34884276
