id,time,lat,lon,mag,group
iscgem893335,1952-08-28 14:21:47,-52.618,25.557,6.1,-1
iscgem892004,1953-09-14 11:12:06,-52.821,25.627,6.1,-1
iscgem888581,1956-08-14 02:50:12,-52.863,26.27,6.4,-1
usp00005d1,1974-02-24 06:12:28.500000,-52.728,26.123,5.451,-1
usp0000fxq,1976-04-18 00:21:24.500000,-53.163,25.316,5.748,-1
usp0000k0v,1976-10-24 08:21:08.200000,-53.391,24.587,5.37,-1
usp0001td0,1983-03-01 00:42:45.670000,-53.397,24.846,5.624,-1
usp0001y3q,1983-09-01 17:59:29.080000,-52.484,25.838,5.996,-1
usp0002bkr,1985-02-03 16:46:39.760000,-53.46,24.912,5.37,-1
usp0002dq5,1985-04-11 13:12:31.140000,-53.237,25.307,5.7,-1
usp0002y6w,1986-09-18 12:19:18.850000,-52.528,25.899,5.451,-1
usp0003ajc,1987-11-25 19:58:53.500000,-53.482,24.583,5.3,-1
usp0003ku6,1988-09-09 16:59:19.360000,-52.583,26.441,5.451,-1
usp000524w,1992-01-23 14:46:15.300000,-53.436,24.861,5.37,-1
usp0009h05,1999-11-02 23:18:18.870000,-53.1026004155,25.7763655165,5.4,1
usp0009ptu,2000-03-17 11:51:17.510000,-53.0525044386,25.7909873339,5.6,1
usp0009pup,2000-03-17 23:38:07.380000,-53.3118949728,25.5929419034,5.1,1
usp000auk9,2001-12-13 23:12:02.260000,-53.4639174745,25.3914879455,5.2,1
usp000aukp,2001-12-14 07:35:25.500000,-53.4437338087,25.388491843,5.5,1
usp000aukx,2001-12-14 10:58:05.970000,-53.4295275193,25.3951783569,5.3,1
usp000d58t,2004-09-28 19:25:02.540000,-52.7430236023,26.2106597399,5.3,1
usp000dmqz,2005-04-09 15:53:52.870000,-53.3275592516,25.6237467312,5.7,1
usp000ekbh,2006-06-14 08:11:04.260000,-52.9796840034,25.8251288856,5.3,1
usp000fgr0,2007-07-20 20:00:07.440000,-52.7245616273,25.9674836559,5.4,1
usp000ha1e,2010-03-27 17:28:30.450000,-52.8179363254,25.9317309892,5.1,1
usp000hsq9,2011-01-07 19:28:34.500000,-53.3768251368,25.5999287578,5.4,1
usp000jsxh,2012-09-25 01:43:14.170000,-53.0358815422,25.7333149764,5.532,1
usb000l96n,2013-12-02 12:18:48.230000,-53.2428632937,25.6760435567,5.5,1
usb000my9c,2014-02-28 15:30:49.980000,-52.8457413902,25.7539821154,5.37,1
usc000nbsx,2014-03-14 20:32:09.630000,-53.3983168056,25.570942939,5.5,1
usc000p609,2014-04-04 21:52:10.600000,-53.4702544476,25.3944060573,5.532,1
usc000tkk8,2015-01-30 18:21:07.610000,-52.7624110774,25.9260457497,5.451,1
usc000tkfd,2015-01-30 18:52:56.680000,-52.9018786722,25.7808947771,5.451,1
us10005bug,2016-04-27 02:04:03.800000,-52.7571384183,25.9669751698,5.4,1
us10008gex,2017-04-10 12:54:01.520000,-53.0954989547,25.7340151139,5.37,1
us2000cmtw,2018-01-22 23:14:59.330000,-52.9213814479,25.8177540754,5.37,1
us2000d3r2,2018-02-17 05:18:29.940000,-53.3739316514,25.5731603526,5.37,1
