id,time,lat,lon,mag,group
usp0009h05,1999-11-02 23:18:18.870000,-53.1062181205,25.7786685284,5.4,1
usp0009ptu,2000-03-17 11:51:17.510000,-53.053657208,25.7937333045,5.6,1
usp0009pup,2000-03-17 23:38:07.380000,-53.3118963755,25.5929390465,5.1,1
usp000auk9,2001-12-13 23:12:02.260000,-53.463918116,25.391487558,5.2,1
usp000aukp,2001-12-14 07:35:25.500000,-53.4437348125,25.388491641,5.5,1
usp000aukx,2001-12-14 10:58:05.970000,-53.4295292818,25.3951804931,5.3,1
usp000d58t,2004-09-28 19:25:02.540000,-52.7557494932,26.2142164933,5.3,1
usp000dmqz,2005-04-09 15:53:52.870000,-53.326819332,25.6242760198,5.7,1
usp000ekbh,2006-06-14 08:11:04.260000,-52.9825691113,25.8274134254,5.3,1
usp000fgr0,2007-07-20 20:00:07.440000,-52.7263390903,25.9557324376,5.4,1
usp000ha1e,2010-03-27 17:28:30.450000,-52.8209433585,25.9343681168,5.1,1
usp000hsq9,2011-01-07 19:28:34.500000,-53.3768271129,25.5999242425,5.4,1
usp000jsxh,2012-09-25 01:43:14.170000,-53.0361610217,25.7334625028,5.532,1
usb000l96n,2013-12-02 12:18:48.230000,-53.2421123566,25.6765323739,5.5,1
usb000my9c,2014-02-28 15:30:49.980000,-52.8457079122,25.7541765468,5.37,1
usc000nbsx,2014-03-14 20:32:09.630000,-53.3983806244,25.5708014068,5.5,1
usc000p609,2014-04-04 21:52:10.600000,-53.4702523391,25.3944071421,5.532,1
usc000tkk8,2015-01-30 18:21:07.610000,-52.7654106883,25.9287017353,5.451,1
usc000tkfd,2015-01-30 18:52:56.680000,-52.9022515542,25.7813716789,5.451,1
us10005bug,2016-04-27 02:04:03.800000,-52.7606730778,25.9720264524,5.4,1
us10008gex,2017-04-10 12:54:01.520000,-53.0955744438,25.7341157028,5.37,1
us2000cmtw,2018-01-22 23:14:59.330000,-52.9217539705,25.8182477778,5.37,1
us2000d3r2,2018-02-17 05:18:29.940000,-53.3741176292,25.5761543036,5.37,1
