net,sta,lat,lon,dep,azi,dist
IU,KBL,34.5408,69.0432,1920.0,2.50076414811,6056.55166388
II,NIL,33.6506,73.2686,629.0,6.91051348812,5994.41017027
IC,WMQ,43.8138,87.7049,850.0,16.52383818,7401.78676543
G,HYB,17.41867,78.55213,510.0,18.2963849784,4355.06640156
II,DGAR,-7.4121,72.4525,1.0,25.0506874719,1543.64697937
IC,HIA,49.2704,119.7414,620.0,31.8169253667,9307.55984941
IU,CHTO,18.8141,98.9443,420.0,41.4206322892,5571.10989542
IC,SSE,31.0948,121.1908,40.0,46.9735869947,8133.80848861
IC,QIZ,19.0291,109.8445,240.0,50.2148092918,6406.88738085
MS,BTDF,1.3617,103.775002,57.0,64.0347310132,4702.78771768
IU,DAV,7.0697,125.5791,151.0,71.2302389837,7122.85359885
IU,GUMO,13.5893,144.8684,170.0,73.2774140544,9343.1525999
II,COCO,-12.1901,96.8349,1.0,79.4660938197,3347.01939876
II,KWAJ,8.8019,167.613,0.0,85.4887725633,11495.8092857
IU,PMG,-9.4047,147.1597,90.0,95.8029186832,8684.18058568
IU,MBWA,-21.159,119.7313,190.0,101.094749551,5513.49392932
II,WRAB,-19.9336,134.36,366.0,102.809801679,7036.29310361
G,SANVU,-15.447148,167.203232,56.0,108.240553615,10501.3021967
IU,NWAO,-32.9277,117.239,380.0,116.674683608,5192.37034326
G,CAN,-35.318714,148.996323,700.0,121.976840078,8078.55086956
II,TAU,-42.9099,147.3204,132.0,129.568489305,7774.99168589
IU,SNZO,-41.3087,174.7043,120.0,134.429468978,9974.02453222
AU,MCQ,-54.4986,158.9561,14.0,143.033841843,8359.2035834
G,AIS,-37.796349,77.569183,35.9,153.844092845,2227.40388363
IU,CASY,-66.2792,110.5354,10.0,159.751325088,6010.80447748
G,CCD,-75.1065,123.305,3240.0,165.905772801,6928.95793054
G,PAF,-49.351,70.210708,17.0,175.148414994,3257.48219716
IU,SPA,-90.0,0.0,2927.0,180.0,7774.68749409
G,CRZF,-46.43096,51.855308,140.0,201.334160994,3210.71657548
G,COYC,-45.57299,-72.08139,235.0,208.488047875,11620.5850799
II,HOPE,-54.2836,-36.4879,20.0,215.193109827,9026.03641238
IU,TRQA,-38.0568,-61.9787,540.0,219.44287812,11626.7861135
IU,LVC,-22.6127,-68.9111,2960.0,227.650934161,13256.6515812
G,ICC,-20.284,-70.035004,950.0,228.873036036,13514.0897917
IU,TRIS,-37.0681,-12.3152,60.0,236.816426317,7729.40612815
II,SUR,-32.3797,20.8117,1770.0,243.708744595,4730.45320197
G,FOMA,-24.97565,46.978877,28.0,251.458856159,2083.79370212
GT,LBTB,-25.0151,25.596649,1128.0,254.834159773,4233.55202273
G,RER,-21.1712,55.739861,834.0,262.29991609,1135.16904154
II,ASCN,-7.9327,-14.3601,173.0,265.494864711,8774.28246991
II,ABPO,-19.018,47.229,1528.0,270.18108834,2032.95893188
CU,ANWB,17.66853,-61.78557,39.0,276.094158367,14607.7972748
IU,MSKU,-1.6557,13.6116,312.0,282.59979858,6106.64492378
G,BNG,4.435,18.547001,378.0,292.01873546,5912.13902328
IU,KMBO,-1.1271,37.2525,1950.0,299.729907944,3821.81374106
G,TAM,22.791491,5.52838,1410.0,302.49644864,8154.73897399
G,EVO,38.532001,-8.013,0.0,310.880949128,10120.0420048
IU,FURI,8.8952,38.6798,2570.0,313.768594036,4432.97915247
II,MSEY,-4.6737,55.4792,475.0,323.417455315,2091.00794196
IU,GRFO,49.6909,11.2203,384.0,327.583758394,9459.71067069
II,RAYN,23.5225,45.5032,631.0,333.629284836,5343.89704079
IU,GNI,40.148,44.741,1609.0,341.394304059,7047.7157958
II,UOSS,24.9453,56.2042,284.4,346.845068384,5112.24920606
II,ABKT,37.9304,58.1189,678.0,352.140557749,6487.8240032
II,ARTI,56.3879,58.3849,320.0,355.327236543,8514.01483289
