id,time,lat,lon,mag,along_strike_distance
usp0007r02,1996-10-06 07:44:59.720000,-43.417,39.181,5.5,6186.68602532
usp000aadq,2001-02-26 06:03:29.600000,-43.31,39.283,5.6,6185.40198214
usp000bf0h,2002-10-22 06:38:48.170000,-43.978,39.017,5.2,6216.83412117
usp000h3w0,2009-11-09 00:21:38.940000,-43.462,39.613,5.5,6216.76221427
usp000hf75,2010-07-12 19:24:04.070000,-43.45,39.932,5.2,6235.86283987
usc000fgx6,2013-03-06 10:30:53.700000,-43.473,39.988,5.532,6240.98947789
usc000fgyu,2013-03-06 12:28:14.600000,-43.417,39.673,5.451,6217.326158
usb000fgyd,2013-03-07 06:39:25.060000,-43.437,39.571,5.451,6212.37226512
usb000fis0,2013-03-11 12:52:12.200000,-43.349,39.564,5.37,6205.70518141
us10007aj3,2016-11-19 12:47:05.100000,-44.2101,39.0547,5.451,6235.87349901
us10007asg,2016-11-20 03:19:56.190000,-44.3457,39.1283,5.451,6250.12964618
us10007ax6,2016-11-20 15:29:35.350000,-44.2459,39.1518,5.37,6244.35690651
us10007ayr,2016-11-20 17:56:13.970000,-44.2612,39.2326,5.532,6250.37264874
us10007b08,2016-11-20 22:44:36.060000,-44.2408,39.1295,5.37,6242.63378649
us10007b4z,2016-11-21 13:00:24.330000,-44.1498,38.2898,5.451,6185.25340216
