id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us10007b08,2016-11-20 22:44:36.060000,-44.2698741833,38.5764581947,5.37,us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,37.0834503229,54.2464292101,14.3692354549,291.59142605,273.75442909,26.1856669523,1,1
us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,35.7518364131,35.578496435,8.02523428163,290.209189633,288.652946356,20.2425377208,1,1
usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,93.5656579677,77.9588288095,43.5238581399,225.52351626,220.628211483,60.403860722,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,94.2764745393,66.5396912558,55.984142844,225.737193643,214.301193028,77.9216638628,1,1
usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,95.9680290208,26.7193825653,33.1115096169,228.460973065,170.74653131,87.4990624466,1,1
usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,119.009870688,67.4907640154,58.7371166961,234.843737477,217.354354542,85.6800146408,1,1
us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,us10007b08,2016-11-20 22:44:36.060000,-44.2698741833,38.5764581947,5.37,1.59808436908,3.36552565106,22.029638324,144.476012874,144.100572887,64.3158733556,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,us10007b08,2016-11-20 22:44:36.060000,-44.2698741833,38.5764581947,5.37,85.8564185959,92.9688183344,71.5788654649,202.579528469,201.360259499,68.8991346571,1,1
us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,37.3826597608,51.7902509842,15.7092316125,112.982529959,277.695217589,32.488372839,1,1
us10007b08,2016-11-20 22:44:36.060000,-44.2698741833,38.5764581947,5.37,us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,0.769269604896,1.71248196505,0.789632421396,179.248468379,359.250636868,34.6514401275,1,1
us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,2.2726850422,2.97193915447,1.28476083717,155.608812285,155.609165697,28.6809061089,1,1
us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,3.18986631918,5.51326293721,3.46761172771,130.893799234,121.13142045,45.5003460003,1,1
usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,86.053380064,93.3342669563,28.7505365967,201.974410648,199.275961504,26.6958509056,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,86.5618034753,93.0562108454,16.8667322284,202.375528449,198.795777915,13.953587695,1,1
usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,86.3167318784,92.0812632771,5.8772797366,205.572918354,202.487805509,4.24842684835,1,1
usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,105.526840281,112.712015485,77.0045057822,221.485454155,221.809016155,75.3186537529,1,1
usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,103.697972935,108.774829131,5.55406339017,217.18419675,214.814088676,2.68227412639,1,1
usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,20.8595309929,23.1306225023,1.837199124,135.402906783,135.40231779,7.07679728475,1,1
us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,38.7217715398,27.2126533703,17.0093574161,114.050504716,301.938461563,33.9815749865,1,1
us10007b08,2016-11-20 22:44:36.060000,-44.2698741833,38.5764581947,5.37,us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,2.17300003067,2.88974967108,19.2096658013,153.749140284,324.710472796,61.0400686474,1,1
us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,1.51529652533,1.51547654658,0.34401030872,141.125058183,321.097224775,17.0765553457,1,1
us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,3.75900969955,3.37435977031,0.935155101572,149.825630277,151.816802992,16.8519093866,1,1
us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,4.68873175934,4.68881962669,1.25509838449,134.19130132,134.191979109,16.4924656836,1,1
usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,86.7951651967,91.3133441841,34.4472057352,201.098387839,197.638380298,36.4239407693,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,87.2941500494,89.2066800525,28.8776430415,201.501118173,195.485856928,34.5581003084,1,1
usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,86.9733943377,95.4283625234,24.7433519667,204.669831227,202.998835139,23.4501816457,1,1
usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,105.775311069,109.513582732,32.3779373436,220.674770194,219.780404243,32.4868585439,1,1
usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,104.059488007,102.700581816,87.9949508773,216.372504109,215.059843161,77.0549491871,1,1
usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,22.3674691042,22.3685026421,3.82389351413,135.798539018,148.428950408,13.47417487,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,85.0298913002,82.051356348,47.0513664449,203.49674778,195.294383268,58.2179262601,1,1
us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,34.366646361,28.3819430257,16.2173386657,111.322067308,291.326319473,45.1903327289,1,1
us10007b08,2016-11-20 22:44:36.060000,-44.2698741833,38.5764581947,5.37,us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,2.73990707816,4.15746987661,1.79575232542,298.757706566,118.807007855,32.2443179539,1,1
us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,1.47333749429,1.25432034626,1.29852859279,270.695780912,238.484411783,60.1377744625,1,1
usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,85.0886759159,90.1815696004,27.9461949224,204.010433086,200.822308229,28.6091019993,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,85.6185529754,74.4120615985,20.7096131584,204.403746534,191.948606598,23.9477153081,1,1
usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,85.5479379508,90.2898186373,17.8303713311,207.637276269,206.431882799,14.1494647754,1,1
usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,105.642909897,113.897297516,6.57718602109,223.215438243,223.915721751,2.77427617071,1,1
usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,103.571998951,93.1053493489,80.0222313782,218.946522161,215.400152076,80.989900841,1,1
us10007b08,2016-11-20 22:44:36.060000,-44.2698741833,38.5764581947,5.37,usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,85.3458236464,91.2871758022,2.50769998588,22.456100277,200.565827547,1.46284606218,1,1
us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,84.5095530965,89.9682498244,63.2815445395,23.3829180807,202.397406928,79.151550665,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,0.797198195036,0.796421102242,0.682440638368,252.546822573,252.552426262,63.0266317128,1,1
usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,30.9556307208,27.8976806047,9.42024288279,265.05890155,280.276392422,30.8235852748,1,1
us10007b08,2016-11-20 22:44:36.060000,-44.2698741833,38.5764581947,5.37,usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,85.6298720126,89.6610198721,29.8689751877,26.1276379803,202.939207123,31.1868046919,1,1
us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,84.8829042002,91.3508396727,38.3943978674,27.0851564261,202.986837895,37.8120352744,1,1
usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,5.48434940111,5.48349442363,1.38756326999,111.044560986,291.004594367,20.6392434226,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,4.88564007888,4.28223757493,1.52404676048,116.866925913,301.754237357,28.7127815902,1,1
usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,26.1234194795,21.2694967301,7.04710787042,259.831002804,278.74330783,31.7416852706,1,1
us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,123.107089689,115.837695095,85.9696200148,59.0343543951,231.695133925,94.5673175059,1,1
us10007b08,2016-11-20 22:44:36.060000,-44.2698741833,38.5764581947,5.37,usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,104.964113778,105.082886454,57.8418877198,42.3784955624,221.813121318,54.5815535398,1,1
us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,104.641082058,112.57302074,7.35034996605,43.2421855523,223.846165856,3.54955473967,1,1
usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,38.1708467831,37.3491192309,18.6661170834,91.7244880959,277.146471217,49.0504571046,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,37.4187756577,34.2227999537,15.5656262949,92.1188593868,278.110521617,53.4453640232,1,1
usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,33.0452000741,22.7273033064,15.9946011544,88.533227212,272.016597782,75.2089458169,1,1
usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,8.17305834846,5.42162018022,2.17836008082,116.445139124,117.945291079,32.2557476016,1,1
us10007b08,2016-11-20 22:44:36.060000,-44.2698741833,38.5764581947,5.37,usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,103.096882352,100.601172671,39.6446845733,37.9947154744,216.726641354,33.6406107354,1,1
us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,102.655157675,95.1438796502,60.0754141825,38.8581300324,216.505183814,70.691855753,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,30.178660979,30.1786629586,11.3502884193,85.6499018327,275.314450818,32.7864644483,1,1
us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,94.4627863707,101.645878045,56.364750755,52.8699595368,229.336790936,66.3316965101,1,1
us10007b08,2016-11-20 22:44:36.060000,-44.2698741833,38.5764581947,5.37,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,81.8062726308,82.4333568703,59.2982900545,29.7004960154,204.753809629,66.5555172889,1,1
us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,82.4703459539,85.7110473477,48.7455822208,29.4295557764,204.711400693,52.4303301547,1,1
us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,83.0424472957,86.5226216579,15.511786993,28.4498149064,203.773919782,14.681541494,1,1
us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,81.1497525383,87.1682122525,30.4451173766,30.733151298,209.797649744,31.5441767523,1,1
us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,81.8971854767,86.2732069673,2.50116916528,31.6383383932,209.09129986,1.16987899573,1,1
usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,11.1350722066,12.2089517808,0.989940690843,134.294182509,314.226928109,5.35783212964,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,10.7805232846,11.4425077489,1.0645127094,138.022270718,317.512307309,7.51161388868,1,1
usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,6.46907748535,6.46906855489,0.909541750664,153.801777373,339.206439541,11.20821704,1,1
usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,30.9024949452,30.9799041739,5.47422516917,257.290514748,85.2471618038,14.7922801554,1,1
usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,25.0940380709,22.4646684572,11.9449287074,245.501561696,75.9775946452,51.0915855683,1,1
usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,79.3538122972,83.0162936558,14.4834185846,44.2046106261,41.4290921404,9.66639317444,1,1
usp0007r02,1996-10-06 07:44:59.720000,-43.6261978607,38.7546269755,5.5,usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,26.1555333912,55.6580134324,18.2023315786,90.8500008647,54.3522077922,20.4892510585,1,1
us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,19.8166468969,3.38080198471,13.2940207989,89.1288858442,282.010816662,70.8373586603,1,1
us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,18.7449880207,17.1184040954,6.24932858503,312.86952286,147.846819105,34.2001159055,1,1
us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,17.6807711403,16.8585636634,4.24350693318,316.089540691,153.906466386,19.7099720808,1,1
usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,80.2267525252,83.674788148,18.1531021139,215.820044802,33.0801897256,15.5693667418,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,80.8670554672,85.5643655448,14.6832958531,216.151362001,32.2505196281,9.21889386181,1,1
usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,81.7975079614,83.5214130148,22.1494935066,219.493308838,34.0460549083,15.3621088161,1,1
usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,106.426570013,108.377381871,18.6873017602,232.771412379,52.3686839276,8.4316267138,1,1
usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,103.054363579,103.679951103,14.2844186725,228.760230014,47.1283037236,6.26024438718,1,1
usp0007r02,1996-10-06 07:44:59.720000,-43.6261978607,38.7546269755,5.5,usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,64.3788710008,68.010997857,20.7045260144,206.698305067,210.160418799,15.625869225,1,1
usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,usp000aadq,2001-02-26 06:03:29.600000,-43.6516699938,38.7111584105,5.6,24.004513192,12.8124339098,20.1545978616,244.591678668,195.202511073,70.4117505203,1,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,usp000aadq,2001-02-26 06:03:29.600000,-43.6516699938,38.7111584105,5.6,24.7942731067,14.5281600965,28.5351025039,244.840355697,52.4723654307,65.8124906104,1,1
usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,usp000aadq,2001-02-26 06:03:29.600000,-43.6516699938,38.7111584105,5.6,28.0658910526,10.2229974707,30.516346217,252.690405187,196.669134708,65.3985786499,1,1
usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,usp000aadq,2001-02-26 06:03:29.600000,-43.6516699938,38.7111584105,5.6,60.5318565302,8.95549765676,36.9514029872,260.979420766,184.2656473,55.5718087436,1,1
usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,usp000aadq,2001-02-26 06:03:29.600000,-43.6516699938,38.7111584105,5.6,54.0777211889,46.3965198322,26.5127524814,256.018899085,78.6232762214,35.9575791897,1,1
usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,usp000aadq,2001-02-26 06:03:29.600000,-43.6516699938,38.7111584105,5.6,60.3028452361,51.4500370002,20.0439543224,25.1804397957,200.82558659,35.3084947171,1,1
usp0007r02,1996-10-06 07:44:59.720000,-43.6261978607,38.7546269755,5.5,usp000aadq,2001-02-26 06:03:29.600000,-43.6516699938,38.7111584105,5.6,4.5068941995,4.50694922438,0.664061445776,231.086257462,231.0869074,10.2124973659,1,1
