id,time,lat,lon,mag,group
usp0007r02,1996-10-06 07:44:59.720000,-43.6261978607,38.7546269755,5.5,1
usp000aadq,2001-02-26 06:03:29.600000,-43.6516699938,38.7111584105,5.6,1
usp000bf0h,2002-10-22 06:38:48.170000,-44.1432705361,38.3931273146,5.2,1
usp000h3w0,2009-11-09 00:21:38.940000,-43.629230874,39.0786843898,5.5,1
usp000hf75,2010-07-12 19:24:04.070000,-43.5359233681,39.3616310521,5.2,1
usc000fgx6,2013-03-06 10:30:53.700000,-43.5686479005,39.4522152106,5.532,1
usc000fgyu,2013-03-06 12:28:14.600000,-43.5769925345,39.0432963535,5.451,1
usb000fgyd,2013-03-07 06:39:25.060000,-43.5571326954,38.9893398072,5.451,1
usb000fis0,2013-03-11 12:52:12.200000,-43.5592843595,38.9799274237,5.37,1
us10007aj3,2016-11-19 12:47:05.100000,-44.2580072054,38.5463800755,5.451,1
us10007asg,2016-11-20 03:19:56.190000,-44.2581697076,38.5648282267,5.451,1
us10007ax6,2016-11-20 15:29:35.350000,-44.287412522,38.5884996216,5.37,1
us10007ayr,2016-11-20 17:56:13.970000,-44.2767966111,38.5765845844,5.532,1
us10007b08,2016-11-20 22:44:36.060000,-44.2698741833,38.5764581947,5.37,1
us10007b4z,2016-11-21 13:00:24.330000,-44.1462503328,38.1454875283,5.451,1
