net,sta,lat,lon,dep,azi,dist
G,AGD,11.529,42.824001,450.0,4.22926378183,6103.76973326
II,RAYN,23.5225,45.5032,631.0,6.1951025298,7447.79307767
II,ABPO,-19.018,47.229,1528.0,17.7887140972,2814.37776264
G,FOMA,-24.97565,46.978877,28.0,21.2894695175,2170.8046058
II,MSEY,-4.6737,55.4792,475.0,24.9448391707,4586.62189349
IC,WMQ,43.8138,87.7049,850.0,33.0951465648,10802.1668833
G,RER,-21.1712,55.739861,834.0,36.849609137,2907.78142063
II,PALK,7.2728,80.7022,460.0,47.5208380353,7000.63503659
G,ROCAM,-19.75553,63.37014,52.0,48.0763818323,3458.98221953
IU,CHTO,18.8141,98.9443,420.0,55.5825261052,9192.81678598
IC,QIZ,19.0291,109.8445,240.0,63.2226895916,9969.30781125
MS,BTDF,1.3617,103.775002,57.0,70.9811197734,8088.31283668
II,COCO,-12.1901,96.8349,1.0,75.9781740514,6481.60331176
IU,DAV,7.0697,125.5791,151.0,82.4819619877,10248.0957119
II,KAPI,-5.0142,119.7517,300.0,87.2059081622,8858.27525144
G,AIS,-37.796349,77.569183,35.9,92.0904273672,3268.32697224
IU,MBWA,-21.159,119.7313,190.0,99.6639237166,7666.94596485
IU,MIDW,28.2156,-177.3698,20.0,105.574008822,16339.7694311
G,CRZF,-46.43096,51.855308,140.0,112.579146951,1041.36698647
G,PAF,-49.351,70.210708,17.0,116.287705153,2444.35448416
IU,TARA,1.3549,172.9229,20.0,122.490743829,13474.9981978
G,CAN,-35.318714,148.996323,700.0,128.430272376,8755.27734962
II,TAU,-42.9099,147.3204,132.0,133.032868995,8058.81968186
II,MSVF,-17.7448,178.0528,801.1,138.769870228,12031.2562203
IU,CASY,-66.2792,110.5354,10.0,146.435403541,4862.10446363
G,DRV,-66.664909,140.002075,40.0,151.466640374,6093.43082155
G,CCD,-75.1065,123.305,3240.0,159.436955316,5216.37470682
GT,VNDA,-77.517273,161.852753,121.1,166.969261668,6022.00939432
IU,SBA,-77.8492,166.7572,50.0,168.147944076,6082.21235289
IU,QSPA,-89.9289,144.4382,2850.0,179.905244659,5185.77530128
IU,SPA,-90.0,0.0,2927.0,180.0,5183.69704073
IU,PTCN,-25.0713,-130.0953,220.0,190.239170078,12335.0911023
IU,PMSA,-64.7744,-64.0489,40.0,209.829148194,6305.47464942
II,EFI,-51.6753,-58.0637,110.0,224.602751103,6820.14364421
II,HOPE,-54.2836,-36.4879,20.0,229.121426027,5406.43316813
IU,TRQA,-38.0568,-61.9787,540.0,234.353984754,8001.71859294
IU,LVC,-22.6127,-68.9111,2960.0,241.348553065,9671.45731683
IU,OTAV,0.2376,-78.4508,3510.0,250.099697908,12229.9273827
G,SPB,-23.592691,-47.426979,647.0,254.3877432,7990.27492466
G,TRIS,-37.0681,-12.3152,60.0,261.220925244,4375.77798526
CU,GTBY,19.9268,-75.1108,79.0,268.442786299,13463.243728
IU,RCBR,-5.8274,-35.9014,400.0,275.870423914,8373.22039641
IU,WCI,38.2289,-86.2939,210.0,281.667775163,15478.8805071
IU,BBSR,32.371299,-64.696299,30.0,286.634245215,13457.6647366
II,SHEL,-15.9594,-5.7455,537.0,291.376507942,5227.19856158
II,SACV,14.9702,-23.6085,387.0,299.510607379,9091.21502919
II,SUR,-32.3797,20.8117,1770.0,301.191298122,2032.87549271
II,FFC,54.725,-101.9783,338.0,307.984393573,16974.057109
IU,TSUM,-19.2022,17.5838,1260.0,316.144217782,3373.10114884
IU,MSKU,-1.6557,13.6116,312.0,323.992416172,5288.06668626
GT,LBTB,-25.0151,25.596649,1128.0,324.234890727,2400.42519559
G,BNG,4.435,18.547001,378.0,333.040659811,5703.41619149
IU,LSZ,-15.2779,28.1882,1200.0,337.926583376,3302.08917382
II,MBAR,-0.6019,30.7382,1390.0,347.473097972,4827.42721583
IU,KIEV,50.7012,29.2242,180.0,353.589983118,10482.7089017
IU,NAI,-1.2739,36.8037,1692.0,356.272780586,4683.97481884
